Cre01.g000050	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)	
Cre02.g075350	NimA (never-in-mitosis) related kinase homolog 1 [gi:34334391, PMID: 15068267]	
Cre02.g075350	NimA (never-in-mitosis) related kinase homolog 1 [gi:34334391, PMID: 15068267]	
Cre02.g075350	NimA (never-in-mitosis) related kinase homolog 1 [gi:34334391, PMID: 15068267]	
Cre02.g075700	Cytosolic 80S ribosomal protein L19; Cytosolic 60S large ribosomal subunit protein L19	
Cre02.g075850	Serine/Threonine protein kinase.  Previously annotated as STPK12 and SNRK2 (for SNF-1 related kinase)	
Cre02.g075850	Serine/Threonine protein kinase.  Previously annotated as STPK12 and SNRK2 (for SNF-1 related kinase)	
Cre02.g075900	Serine/Threonine protein kinase.  Previously annotated as STPK9	
Cre02.g076000	Serine/Threonine protein kinase.  Previously annotated as STPK1	
Cre02.g076250	Putative chloroplast elongation factor G, (fusA), GTP binding; likely locus for previously described C. reinhardtii fsr1 (fus-1) mutant resistant to fusidic acid (Carbonera et al. 1981, FEBS Lett. 132, 227-230)	
Cre02.g076300	Uroporphyrinogen decarboxylase, chloroplast precursor (URO-D) (UPD) (HemE).  Previously annotated as UROD2	
Cre02.g076350	Vacuolar ATP synthase subunit B, V-ATPase B, ATP synthase V-type alpha subunit	
Cre02.g076400	Expressed Protein. Similar to VPS25-like proteins, components of the ESCRT-II complex involved in protein sorting at the MVB.	
Cre02.g076750	Similar to Complex I intermediate-associated CIA30 protein [PMID: 15450959; PMID: 15710684]; mitochondrial	
Cre02.g076800	Delta14-sterol reductase, membrane protein involved in ergosterol biosynthesis and related to the ERG4/ERG24 protein family.  Has homology to the lamin B receptor	
Cre02.g076900	Involved in signal transduction initiated by flagellar agglutination during mating [PMID: 16678098]; found in the flagellar proteome [PMID: 15998802]	
Cre02.g077100	Gamma-glutamylcysteine synthetase, chloroplast precursor (Glutamate-cysteine ligase) (Gamma-ECS) (GCS) [EC:6.3.2.2]	
Cre02.g077150	Conserved protein	
Cre02.g077300	Homologue of Fibrillarin; required for pre-ribosomal RNA processing. Likely carries the methyltransferase activity that modifies the C/D snoRNA-guided 2'OH methylation of pre-rRNA; Gene has no introns	
Cre02.g077350	Histidinol dehydrogenase (EC 1.1.1.23); Target-P predicted organelle targeting; histidine biosynthesis pathway	
Cre02.g077500	Expressed Protein. Conserved protein similar to TRS23, a component of the TRAPP complex, involved in ER to Golgi trafficking.	
Cre02.g077600	Flagellar Associated Coiled-Coil Protein, found in the flagellar proteome [PMID: 15998802]	
Cre02.g077750	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre02.g077850	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre02.g078100	Eukaryotic initiation factor, eIF-5B, similar to human EIF5B.  Homolog of prokaryotic IF2.  Factors eIF1A (homolog of prokaryotic IF1) and eIF5B interact on the ribosome along with other initiation factors and GTP to position the initiation methionine tRN	
Cre02.g078300	Glutathione peroxidase.  Contains a selenocysteine in position 75; most similar to plant homologues, which have a Cys at the corresponding position.  Previously annotated as PHGPx1.  This is the protein sequenced by Fu et al. 2002, accession AY051144 [PMI	
Cre02.g078550	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre02.g078600	An armadillo repeat protein in the radial spoke stalk [PMID: 16507594; GI:83284711]	
Cre02.g078750	RNA pseudouridine synthase, mitochondrial precursor	
Cre02.g078858	Aspartic protease (A22 family), catalytic subunit of the gamma-secretase complex; carries out intramembrane cleavage of type I monotopic membrane proteins like beta-Amyloid Precursor Protein (PMID: 17047369); presenilin is activated by cleavage in the non	Aspartic protease (A22 family), catalytic subunit of the gamma-secretase complex; carries out intramembrane cleavage of type I monotopic membrane proteins like beta-Amyloid Precursor Protein (PMID: 17047369); presenilin is activated by cleavage in the non
Cre02.g079300	Expressed Protein. Similar to VPS4/SKD1 AAA-ATPase, involved in vacuolar protein transport	
Cre02.g079550	Expressed Protein. Similar to the DRP2 (ADL3/ADL6) class of Dynamin GTPases involved in many vesicle trafficking events at the Golgi, Plasma membrane, etc.; is missing GTPase domain from N-terminus, with no VISTA or cDNA support.  Matsuo et al.'s (2008) r	
Cre02.g079700	Aspartate carbamoyltransferase (PYRB)[EC:2.1.3.2]	
Cre02.g079800	Mitochondrial ATP synthase associated protein 6; unknown evolutionary origin [PMID: 11744727, PMID: 15710684]	
Cre02.g079850	Homologous to eukaryotic DNA polymerase kappa.  Involved in DNA damage bypass/translesion synthesis (TLS); a class Y polymerase.  See Burgers et al. (2001) (PMID: 11579108).  Previously annotated as POLK1	
Cre02.g080100	Putative polyadenylation cleavage/specificity factor	
Cre02.g080200	Transketolase (EC 2.2.1.1), possible plastid precursor, based on predicted organelle targeting sequence and similarity to potato transketolase plastid precursor (GenBank CAA90427)	
Cre02.g080650	HSP90B is one of 3 HSP90 genes in Chlamydomonas; HSP90B is localized to the ER; PMID: 16143837 and 15995001. Acclimation to changing CO2 concentrations and light intensities was studied by Yamano et al. 2008 [PMID: 18322145].	
Cre02.g080700	HSP70-like protein containing an ER retention motif, an ER-targeting sequence;  it forms a cluster with ER-targeted chaperones HSP90B and BIP2 [PMID: 16143837]; similar to ER-HSP70s from other organisms including BIP proteins in Arabidopsis.  Acclimation	
Cre02.g080900	Peroxiredoxin Type II, thioredoxin dependent peroxidase, N-terminal sequence predicted as a chloroplast targeting signal BUT the protein is more closely related to mitochondrial type II PRX from Arabidopsis (AtPRXIIF)	
Cre02.g081050	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]	
Cre02.g081400	Plastidic branched chain amino acid aminotransferase (BCAT) (EC:2.6.1.42); class IV aminotransferase.	
Cre02.g082200	Putative homoserine kinase (EC:2.7.1.39), based on similarity to Arabidopsis homoserine kinase (GenBank AAD33097); Target-P predicts mitochondrial targeting sequence; predicted as plastidic based on homology	
Cre02.g082350	Related to copper binding protein CutA found in chloroplasts of Arabidopsis and ubiquitously distributed in other organisms.  Previously annotated as CUTA1	
Cre02.g082350	Related to copper binding protein CutA found in chloroplasts of Arabidopsis and ubiquitously distributed in other organisms.  Previously annotated as CUTA1	
Cre02.g082550	Zeaxanthin epoxidase, chloroplast precursor (ABA1) (NPQ2) [PMID: 12671093].  Previously annotated as ZEP	
Cre02.g082700	Cytochrome c oxidase (complex IV) assembly factor, mitochondrial respiratory chain	
Cre02.g082750	Encoding a 4.1 kDa subunit for PS2 with a single TMH [PMID: 16143838].	
Cre02.g083100	Similar to pathogenesis-related protein 1, extracellular	
Cre02.g083700	Putative signal transducer for phototaxis; essential for normal phototaxis behavior [PMID: 15657081, independent sequence: AB194902]	
Cre02.g083800	dTDP-glucose 4,6-dehydratase.  NAD-dependent epimerase/dehydratase; belongs to a family of proteins which utilise NAD as a cofactor and use nucleotide-sugar substrates for a variety of chemical reactions.  Previously annotated as SNE5	
Cre02.g083800	dTDP-glucose 4,6-dehydratase.  NAD-dependent epimerase/dehydratase; belongs to a family of proteins which utilise NAD as a cofactor and use nucleotide-sugar substrates for a variety of chemical reactions.  Previously annotated as SNE5	
Cre02.g083950	Plastid-specific ribosomal protein 3, imported to chloroplast; Chloroplast small ribosomal subunit protein Plastid-Specific Ribosomal Protein 3. This is not the same as plastid ribosomal protein S3, which is encoded by the chloroplast rps3 gene in C. rein	
Cre02.g084050	Expressed Protein. Similar to SEC62 component of the ER translocation apparatus.	
Cre02.g084300	UbiE/COQ5 methyltransferase family.  Previously annotated as COQ5C	
Cre02.g084350	Putative plastid protein	
Cre02.g084800	DNA topoisomerase VI subunit A (type IIB), involved in meiosis; homolog of eukaryotic SPO11; Chlamydomonas has at least two homologues.	
Cre02.g085450	Coproporphyrinogen III oxidase, chloroplast precursor; GI:837299; CPO1; HEM13; HEM6 [PMID: 15849308]; Predicted chloroplast transit peptide 1-31	
Cre02.g085850	Arylsulfatase	
Cre02.g086050	RNA pseudouridine synthase-like protein, with a putative mitochondrial targeting sequence	
Cre02.g086100	Conserved expressed protein of unidentified function; some similarity to Arabidopsis protein gi|18402865|ref|NP_564561.1| - Also a domain COG0741: Soluble lytic murein transglycosylase and related regulatory proteins in Rickettsia	
Cre02.g086650	Subunit of the condensin complex, which reorganizes chromosomes during cell division; coiled-coil protein of the SMC family involved in chromosome condensation and segregation. Forms heterodimers with SMC4.  ChromoDB CPC3402	
Cre02.g086700	Expressed protein. Similar to COG7, component of oligomeric golgi complex 7, involved in vesicle tethering and other Golgi functions	
Cre02.g087400	Putative ZIP transporter.  Possible vacuolar proteinase B, cerevisin homolog.  Functional evidence suggesting this is a ZIP transporter seems to be lacking.  Mapping of v3 ZIP1 gene model fails to map to the coding regions of this gene, but the sequence f	
Cre02.g087700	L-ascorbate peroxidase, possibly localized to plastid	
Cre02.g087800	Putative protein tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)	
Cre02.g087850	Putative protein tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)	
Cre02.g088000	Prohibitin.  Possibly mitochondrial; (POC17), found in basal body proteome [PMID: 15964273]	
Cre02.g088200	Protein disulfide isomerase 1 (CrPDI1 [PMID: 16143836]. Located in the chloroplast and the endoplasmic reticulum. The Rb60 protein is part of a complex involved in the control of psbA mRNA translation by light [PMID: 1721866, PMID: 7798310, PMID: 8668172,	
Cre02.g088350	Putative Golgi membrane protein, SNARE-associated.  Previously annotated as DEG1A	
Cre02.g088400	(HtrA), similar to DegP protease; serine protease, trypsin family, DegP type (HtrA) (protease Do) most similar to At3g27925 (DegP1) and to degP5, localized in thylakoid membrane, lumen side [PMID: 15137941]; probably results from a recent duplication of D	
Cre02.g088400	(HtrA), similar to DegP protease; serine protease, trypsin family, DegP type (HtrA) (protease Do) most similar to At3g27925 (DegP1) and to degP5, localized in thylakoid membrane, lumen side [PMID: 15137941]; probably results from a recent duplication of D	
Cre02.g088450	Conserved expressed protein	
Cre02.g088500	Conserved expressed protein	
Cre02.g088600	ATP Citrate Lyase (ACL), subunit B (EC 2.3.3.8); ATP-citrate synthase, subunit B; location uncertain, but likely to be cytosol; Similar to Arabidopsis ATP citrate lyase subunit B (GenBank NP_187317), which is similar to the carboxy half of the human ACL [	
Cre02.g088900	Chloroplast ribosomal protein L1, imported to chloroplast; Chloroplast large ribosomal subunit protein L1	
Cre02.g089100	Expressed Protein. Delta-COP. Subunit of COP-I protein complex.	
Cre02.g089200	SET domain containing protein, histone methyltransferase; Protein contains a SET domain with similarity to Arabidopsis thaliana SUVH4/KYP/SET33 (At5g13960); published Chlamydomonas cDNA (AY702654); [PMID: 16100335].  Previously annotated as SET3.  ChromoD	
Cre02.g090050	Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; transcript upregulated during flagellar regeneration [PMID: 15738400].  This gene model consolidates two v3 gene models: FAP170 and FAP285; unclear if this gene model should b	
Cre02.g090150	Pantothenate synthetase; Pantoate-beta-alanine ligase.  Previously annotated as PANC	
Cre02.g090650	Endoplasmic reticulum Qb-SNARE protein, Sec20-family (Qb.I).  Conserved Protein. Class Qb.I SNARE, involved in Golgi-to-ER trafficking (PMID: 17596510). Previously annotated as SEC20	
Cre02.g090700	Mitogen Activated Protein Kinase Kinase Kinase Homolog 8, putative	
Cre02.g090850	ClpB chaperone, Hsp100 family; probably chloroplastic or mitochondrial, by homology to At5g15450 and At2g25140 (PMID: 17144892)	
Cre02.g091050	Delta-aminolevulinic acid dehydratase, chloroplast precursor (porphobilinogen synthase) (ALADH) (HEM2) [PMID: 7894023; PMID: 12228605]; predicted chloroplast targeting sequence amino acids 1-70 by ChloroP.  Previously annotated as ALAD and ALAD1	
Cre02.g091100	Cytosolic 80S ribosomal protein L15; Cytosolic 60S large subunit ribosomal protein L15	
Cre02.g091150	Expressed Protein. Component of COP-II vesicle coat complex involved in ER-to-Golgi transport. Part of Sec23/24 sub-complex.	
Cre02.g091400	Incomplete; localization unknown; could be inactive, as it lack the Walker B DE sequence in the second AAA domain	
Cre02.g091700	Rib72, a novel component of the ribbon compartment of flagellar microtubules.	
Cre02.g091950	Probable domain of larger protein similar to guanylate cyclase 1 (GCYB2) from Homo sapiens	
Cre02.g092000	Serine protease, trypsin family, DegP type (HtrA) (protease Do) most similar to At2g47940 (DegP2), At1g65630 (DegP3) and BAB08526 (cf At5g40560, DegP13) [PMID: 11299370, PMID: 12185496]; one C-terminal PDZ domain, probably involved in substrate recognitio	
Cre02.g092050	Mitochondrial substrate carrier protein.  Previously annotated as MITC6	
Cre02.g092200	Quinonprotein alcohol dehydrogenase-like	
Cre02.g092250	Multi-domain protein, with a FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8, PPIase, Rotamase), a TPR repeat, a calmodulin-binding site, a transmembrane region, a large unknown central domain and a C-terminal Leucine-repeat [PMID: 15701785]	
Cre02.g092350	Cytochrome P450, CYP51 superfamily, CYP51G family.  Similar to CYP51A (ABC59074), possible sterol 14-demethylase involved in sterol/ergosterol biosynthesis. CYP51G1 is the P450 nomenclature for sterol 14 alpha demethylases of green plants. ERG11 is a name	
Cre02.g092500	Putative regulator of nonsense transcripts 1 (UPF1). Part of a post-splicing multiprotein complex involved in both mRNA nuclear export and mRNA surveillance. Cytoplasmic localization. High homology to Arabidopsis thaliana accession.  Forms a �surveillance	
Cre02.g092600	Coproporphyrinogen III oxidase, mitochondrial or chloroplast precursor; CPO2 [PMID: 15849308]; Predicted chloroplast transit peptide 1-32	
Cre02.g092700	Flagella Associated Protein, found in the flagellar proteome [PMID: 15998802]; in basal body proteome as BUG28 [PMID: 15964273]. Transcript highly upregulated during flagellar regeneration [PMID: 15738400]. Weakly similar to nasopharyngeal epithelium-spec	
Cre02.g092750	Putative ribosomal RNA methyltransferase; identified by comparative genomics as being present only in organisms having cilia, including non-motile cilia; may have role in sensing, structure and/or assembly (SSA).  Previously annotated as SSA18	
Cre02.g092800	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre02.g092850	Outer dynein arm light chain 1, LC1. Mutants in this gene were characterized by Patel-King and King, PMID: 19620633.  Previously annotated as DLC1	
Cre02.g092900	Glutamine hydrolyzing	
Cre02.g093450	Fructose-1,6-bisphosphate aldolase [EC 4.1.2.13]; glycolytic enzyme that catalyses the reversible aldol cleavage or condensation of fructose-1,6-bisphosphate into dihydroxyacetone-phosphate and glyceraldehyde 3-phosphate.  Originally annotated as ALD2.	
Cre02.g093500	Contains a sterol sensing 5-transmembrane domain similar to those in SCAP, Patched, NPC1 and HMGR	
Cre02.g093500	Contains a sterol sensing 5-transmembrane domain similar to those in SCAP, Patched, NPC1 and HMGR	
Cre02.g093550	C terminal domain similar to Guanylyl Cyclase family member (gcy-4) [Caenorhabditis elegans]	
Cre02.g093750	Nucleoredoxin, nuclear thioredoxin-like protein, contains two thioredoxin motifs with a WCPPC active site in each motif.	
Cre02.g093800	Related to animal thioredoxin, nucleoredoxin	
Cre02.g093800	Related to animal thioredoxin, nucleoredoxin	
Cre02.g094100	Nucleoredoxin, nuclear thioredoxin-like protein, contains two thioredoxin motifs with a WCPPC active site in each motif; may be a redox regulator of nuclear protein, such as transcriptional factors, under stress conditions [PMID: 9119370]. Low-CO2 inducib	
Cre02.g094300	Putative electron-transferring-flavoprotein dehydrogenase (ETFDH); electron transfer flavoprotein ubiquinone oxidoreductase.	
Cre02.g094450	Pherophorin-C21 (PHC21) [PMID: 16367971]; partial sequence similar to extracellular matrix protein (cell wall protein) pherophorin-C5 [Genbank entry DQ196111], which belongs to the large pherophorin-family, a family of glycoproteins with a central hydroxy	
Cre02.g095000	Phospholipase A2 protein, similar to Arabidopsis thaliana At4g29460	
Cre02.g095070	Conserved Hypothetical Protein. Similar to the SRP19 subunit of the Signal Recognition Particle. Involved in ER protein translocation.	Conserved Hypothetical Protein. Similar to the SRP19 subunit of the Signal Recognition Particle. Involved in ER protein translocation.
Cre02.g095072	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre02.g095074	Hypothetical Conserved Protein. Similar to VPS11 (vacuolar protein sorting-associated protein 11)-type proteins.  Matsuo et al.'s (2008) roc12 (rhythm of chloroplast) circadian rhythm mutant locus maps here; this mutant exhibits a low-amplitude rhythm phe	
Cre02.g095076	Major facilitator superfamily transporter.  Matsuo et al.'s (2008) roc39 (rhythm of chloroplast) circadian rhythm mutant locus maps here	
Cre02.g095087	Cysteine-type endopeptidase, papain type.  Partial sequence similar to Volvox carteri clone B cysteine protease; belongs to the peptidase C1 family; [PMID:9596636].  Previously annotated as CPR1	Cysteine-type endopeptidase, papain type.  Partial sequence similar to Volvox carteri clone B cysteine protease; belongs to the peptidase C1 family; [PMID:9596636].  Previously annotated as CPR1
Cre02.g095092	Phytoene synthase (prephytoene-diphosphate synthase) (geranylgeranyl-diphosphate geranylgeranyltransferase) [PMID:15579683], putative chloroplast precursor.  Tran et al. 2009 [PMID: 19066941] included this in a comparison of PSY genes in various organisms	Phytoene synthase (prephytoene-diphosphate synthase) (geranylgeranyl-diphosphate geranylgeranyltransferase) [PMID:15579683], putative chloroplast precursor.  Tran et al. 2009 [PMID: 19066941] included this in a comparison of PSY genes in various organisms
Cre02.g095095	Pherophorin-C12 (PHC12) [PMID: 16367971]; very similar to extracellular matrix protein (cell wall protein) pherophorin-C6 [Genbank entry DQ196112], which belongs to the large pherophorin-family, a family of glycoproteins with a central hydroxyproline-rich	
Cre02.g095097	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase); probably chloroplastic (by homology to At1g18170), anchored in the thylakoid membrane on lumenal surface (RR motif without SP cleavage site) [PMID: 15701785]	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase); probably chloroplastic (by homology to At1g18170), anchored in the thylakoid membrane on lumenal surface (RR motif without SP cleavage site) [PMID: 15701785]
Cre02.g095097	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase); probably chloroplastic (by homology to At1g18170), anchored in the thylakoid membrane on lumenal surface (RR motif without SP cleavage site) [PMID: 15701785]	
Cre02.g095100	Pyridoxamine 5'-phosphate oxidase-like protein.  Plant-lineage-and-diatoms conserved expressed protein.  Previously annotated as CPLD26.  Enzymatic activity is unproven	
Cre02.g095102	Expressed Protein. Similar to VPS5/SNX1, component of Retromer Coat complex involved in endosomal to Golgi trafficking.	Expressed Protein. Similar to VPS5/SNX1, component of Retromer Coat complex involved in endosomal to Golgi trafficking.
Cre02.g095110	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre02.g095111	Expressed protein, similar to vacuolar sorting receptor from land plants	Expressed protein, similar to vacuolar sorting receptor from land plants
Cre02.g095120	Protein of unknown function with ankyrin repeats	
Cre02.g095122	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase); probably targeted to the chloroplast lumen (homology to At5g13410 and bipartite cTP with RR motif) [PMID: 15701785]	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase); probably targeted to the chloroplast lumen (homology to At5g13410 and bipartite cTP with RR motif) [PMID: 15701785]
Cre02.g095126	alpha-1,4-glucanotransferase; transfers mostly maltosyl residues from a donor oligosaccharide to the nonreducing end of an acceptor; probable cytosolic isoform.  Previously incorrectly annotated as DPE1, which properly referred to the gene model/locus for	alpha-1,4-glucanotransferase; transfers mostly maltosyl residues from a donor oligosaccharide to the nonreducing end of an acceptor; probable cytosolic isoform.  Previously incorrectly annotated as DPE1, which properly referred to the gene model/locus for
Cre02.g095137	Pyruvate-ferredoxin oxidoreductase.  COG0674, PorA, Pyruvate:ferredoxin oxidoreductase; pfam01855, Pyruvate flavodoxin/ferredoxin oxidoreductase (= NIFJ), thiamine diP-binding domain suggests it requires thiamine pyrophosphate (TPP) as a co-factor.  Previ	
Cre02.g095137	Pyruvate-ferredoxin oxidoreductase.  COG0674, PorA, Pyruvate:ferredoxin oxidoreductase; pfam01855, Pyruvate flavodoxin/ferredoxin oxidoreductase (= NIFJ), thiamine diP-binding domain suggests it requires thiamine pyrophosphate (TPP) as a co-factor.  Previ	Pyruvate-ferredoxin oxidoreductase.  COG0674, PorA, Pyruvate:ferredoxin oxidoreductase; pfam01855, Pyruvate flavodoxin/ferredoxin oxidoreductase (= NIFJ), thiamine diP-binding domain suggests it requires thiamine pyrophosphate (TPP) as a co-factor.  Previ
Cre02.g095147	Glycosyltransferase, group 1; mannosyltransferase	Glycosyltransferase, group 1; mannosyltransferase
Cre02.g095149	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]; in basal body proteome as BUG9 [PMID: 15964273]. Transcript upregulated during flagellar regeneration [PMID: 15738400]	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]; in basal body proteome as BUG9 [PMID: 15964273]. Transcript upregulated during flagellar regeneration [PMID: 15738400]
Cre02.g095450	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase); probably directed to thylakoid lumen (homology to AtFKBP16-1 and bipartite cTP: 51 + RR motif); [PMID: 15701785]	
Cre02.g096150	Superoxide dismutase [Mn], mitochondrial precursor; the name MSD1 replaces the previous designation SodA.	
Cre02.g096250	Flavin-containing monooxygenase. This family includes diverse enzymes that utilise FAD - 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases [Coenzyme metabolism/Energy production and conversion - this gene is about 20 kb aw	
Cre02.g096300	Master regulator of CO2-responsive genes including low-CO2 inducible genes necessary for carbon-concentrating mechanism; CCM1-A and CCM1-B, are generated by an alternative splicing between 3rd and 4th exons, CCM1B=CIA5=698aa, CCM1A=699aa, Zn-finger domain	
Cre02.g096300	Master regulator of CO2-responsive genes including low-CO2 inducible genes necessary for carbon-concentrating mechanism; CCM1-A and CCM1-B, are generated by an alternative splicing between 3rd and 4th exons, CCM1B=CIA5=698aa, CCM1A=699aa, Zn-finger domain	
Cre02.g097200	Scavenger receptor cysteine-rich protein; contains ligand-binding SRCR domain found in speract/scavenger receptor (PMID: 14995912)	
Cre02.g097400	Eukaryotic initiation factor, eIF-5A.  Found in the flagellar proteome [PMID: 15998802]	
Cre02.g097650	26S proteasome regulatory complex, lid subcomplex, non-ATPase subunit RPN6 (subunit 9) (PSD11) (PSMD11)	
Cre02.g097800	Putative ABC transporter, high light-induced, requiring both high light and low CO2 (ambient) levels for activation [PMID: 12000678]; MRP subfamily of ABC transporters [PMID: 15710683]; MRP1 is regulated by CCM1 [PMID: 15235119].  Previously annotated as	
Cre02.g097900	Putative aspartate aminotransferase (EC 2.6.1.1); predicted by Target-P as mitochondrial; predicted as plastidic by homology, Found in proteomic survey of the mitochondrion	
Cre02.g098450	Putative eukaryotic translation initiation factor 2 subunit 3, eIF2 gamma subunit.  Also known as EIF2S3 (eIF2 subunit 3)	
Cre02.g098850	NADPH-dependent thioredoxin reductase 2, similar to AtNTRA and AtNTRB targeted to cytosol and mitochondria in Arabidopsis due to alternative initiation of transcription. Apparently no alternative initiation of trancription for this NTR in chlamy but prese	
Cre02.g098950	Late endosomal Qc-SNARE protein, Syx6/Tlg1/Syp5/6-family (Qc.III.b).  Expressed Protein.  Involved in endosomal/cell plate trafficking; part of 2-member gene family of tandemly repeated genes (<-71 <-72).  Class Qc.III.b SNARE, targeted to late endosomes	
Cre02.g099000	Late endosomal Qc-SNARE protein, Syx6/Tlg1/Syp5/6-family (Qc.III.b).  Expressed Protein.  Involved in endosomal/cell plate trafficking; part of 2-member gene family of tandemly repeated genes (<-71 <-72).  Class Qc.III.b SNARE, targeted to late endosomes	
Cre02.g099150	Adaptor protein that connects NSF to cis-SNARE complexes. Expressed Protein. Found in the flagellar proteome [PMID: 15998802].  Required for vesicular transport between the endoplasmic reticulum and the Golgi apparatus.  Previously annotates as SNAPA1	
Cre02.g099300	Protein of unknown function with ankyrin repeats	
Cre02.g099350	Scavenger receptor cysteine-rich protein; contains ligand-binding SRCR domain found in speract/scavenger receptor (PMID: 14995912)	
Cre02.g099400	Exostosin-like glycosyltransferases.  Contains thiamine pyrophosphate binding conserved site	
Cre02.g099850	Pyruvate dehydrogenase (EC 1.2.4.1), E1 component alpha subunit (ODPA, PDC2_E1a). The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). It contains multiple copies of three enzymatic components: pyruvate	
Cre02.g100000	Replication protein A 30 kDa DNA-binding subunit; homologous to eukaryotic RPA 30 kDa subunit; RP-A; RF-A; Replication factor-A protein 2.  Previously annotated as RPA30	
Cre02.g100200	Mitochondrial NADH:ubiquinone oxidoreductase (Complex I) 22 kDa subunit precursor, mitochondrial [AAS58502; PMID: 15710684, PMID: 15450959]; similar to At3g07480 gene product; unknown evolutionary origin	
Cre02.g100450	Similar to guanylate cyclase 1 (GCYB2) from Homo sapiens, possible acid phosphatase	
Cre02.g100500	Similar to guanylate cyclase 1 (GCYB2) from Homo sapiens	
Cre02.g100500	Similar to guanylate cyclase 1 (GCYB2) from Homo sapiens	
Cre02.g101350	Cytosolic 80S ribosomal protein L10a; Cytosolic 60S large ribosomal subunit protein L10a	
Cre02.g101400	Clathrin Heavy Chain, vesicle coat protein; Expressed Protein. Identified by Abe et al. 2004 [PMID: 15459796] as NSG15, a gene expressed during nitrogen-starved gametogenesis.	
Cre02.g101500	Mg2+ dependent mitochondrial pre-mRNA splicing factor, with homology to CorA, a Mg2+ transporter protein.  Probably is essential for group II intron splicing in mitochondria in response to Mg2+ (see PMID: 11544180).  Homologous to the MRS2 splicing factor	
Cre02.g101950	tRNA (uracil-5)-methyltransferase.  Previously annotated as TRM2B	
Cre02.g102000	Expressed Protein. Similar to ArfC-type GTPase, involved in vesicle trafficking in the late secretory system.; ARF-like 5, a member of the ARF/Sar1 GTPase family. Conserved broadly in eukaryotes (human ortholog - ARL5) but exact function to be clarified	
Cre02.g102250	Cytosolic 80S ribosomal protein S3; Cytosolic 40S small ribosomal subunit protein S3	
Cre02.g102350	Expressed Protein. Similar to Aut1p/Apg3p protein involved in autophagy.; Conjugates the ubiquitin-like protein APG8 to lipid molecules during autophagy	
Cre02.g102800	RNA polymerase I, II and III 16.5 kDa subunit (RNA polymerase II subunit, putative)	
Cre02.g103250	Putative ABC transporter, MRP subfamily, membrane protein PMID: 15710683	
Cre02.g103550	Eukaryotic translation initiation factor 1A, eIF-1A.  Also known as EIF4C	
Cre02.g103850	Imidazoleglycerol-phosphate (IGP) dehydratase (EC 4.2.1.19); histidine biosynthesis pathway	
Cre02.g103950	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]	
Cre02.g104350	Protein Disulfide Isomerase 5. Unusual active site sequence, WCHWC instead of WCGHC; PMID: 16143836	
Cre02.g104350	Protein Disulfide Isomerase 5. Unusual active site sequence, WCHWC instead of WCGHC; PMID: 16143836	
Cre02.g104500	DnaJ-like protein, targeted to the chloroplast; contains N-terminal J-domain (pfam00226) and Ferredoxin domain (COG1141); described in Henselmann and Schroda, Diploma thesis, University of Freiburg. Characterized by Dorn et al. 2010 [PMID: 20113313]	
Cre02.g104900	Flagellar Associated Protein similar to GTP-binding protein; found in the flagellar proteome [PMID: 15998802]	
Cre02.g105300	Protein of unknown function with ankyrin repeats, flagella associated; partial sequence; found in the flagellar proteome as FAP231 [PMID: 15998802]	
Cre02.g105400	Cell Division Cycle 14 (Protein Tyrosine Phosphatase)(PTP)	
Cre02.g105500	Putative acetylornithine deacetylase (EC 3.5.1.16); arginine biosynthesis pathway; Target-P predicts no organelle targeting	
