Gene ID	Contig	Strand	Start	End	GeneType	description	GO-labels	protein domains	KOGid
Bathy04g04830	bathy_chrom_04	-	944447	946144	mRNA	small conductance mechanosensitive ion channel family	GO:0016020;GO:0055085	IPR006685: Mechanosensitive ion channel MscS	NA
Bathy04g04840	bathy_chrom_04	-	946351	947520	mRNA	unknown protein	NA	NA	NA
Bathy04g04850	bathy_chrom_04	-	947778	949646	mRNA	predicted protein	NA	G3DSA:3.90.1410.10: no description; IPR015353: Rubisco LS methyltransferase, substrate-binding domain; PTHR13271: FAMILY NOT NAMED; SSF82199: SET domain	NA
Bathy04g04860	bathy_chrom_04	+	949811	952105	mRNA	unknown protein	NA	NA	NA
Bathy04g04870	bathy_chrom_04	+	952867	989142	mRNA	filamin like protein	NA	IPR001298: Filamin/ABP280 repeat; IPR013783: Immunoglobulin-like fold; IPR016134: Cellulosome enzyme, dockerin type I; IPR011527: ABC transporter, transmembrane domain, type 1; SSF48726: Immunoglobulin; IPR000424: Primosome PriB/single-strand DNA-binding; IPR017868: Filamin/ABP280 repeat-like	NA
Bathy04g04880	bathy_chrom_04	+	989455	991449	mRNA	predicted protein	GO:0005634;GO:0003677;GO:0016570;GO:0006352	IPR018144: Plus-3 domain, subgroup; IPR004343: Plus-3; PTHR13115: FAMILY NOT NAMED	NA
Bathy04g04890	bathy_chrom_04	-	991624	991968	mRNA	U6 snRNA-associated Sm-like protein LSm3	NA	IPR001163: Like-Sm ribonucleoprotein (LSM) domain; PTHR13110: FAMILY NOT NAMED; G3DSA:2.30.30.100: no description; IPR006649: Like-Sm ribonucleoprotein (LSM) domain, eukaryotic/archaea-type	NA
Bathy04g04900	bathy_chrom_04	-	992133	993626	mRNA	siroheme synthase	GO:0008168;GO:0006779	IPR000878: Tetrapyrrole methylase; PTHR21091: FAMILY NOT NAMED; IPR014777: Tetrapyrrole methylase, subdomain 1; IPR014776: Tetrapyrrole methylase, subdomain 2; IPR006366: Uroporphyrin-III C-methyltransferase, C-terminal; IPR003043: Uroporphiryn-III C-methyltransferase, conserved site	NA
Bathy04g04910	bathy_chrom_04	-	993820	996164	mRNA	phosphoadenosine phosphosulfate reductase	NA	IPR018247: EF-Hand 1, calcium-binding site; IPR012335: Thioredoxin fold; IPR011992: EF-hand-like domain; IPR013766: Thioredoxin domain; IPR014729: Rossmann-like alpha/beta/alpha sandwich fold; IPR018249: EF-HAND 2; IPR002500: Phosphoadenosine phosphosulphate reductase; IPR017936: Thioredoxin-like; IPR012336: Thioredoxin-like fold; PTHR23056: FAMILY NOT NAMED	NA
Bathy04g04920	bathy_chrom_04	-	996418	996954	mRNA	7,8-dihydro-8-oxoguanine triphosphatase	GO:0016787	PTHR22769: FAMILY NOT NAMED; IPR003563: 7,8-dihydro-8-oxoguanine triphosphatase; IPR000086: NUDIX hydrolase domain	NA
Bathy04g04930	bathy_chrom_04	+	997350	997520	mRNA	unknown protein	NA	NA	NA
Bathy04g04940	bathy_chrom_04	+	998060	998473	mRNA	predicted protein	NA	PTHR23123: FAMILY NOT NAMED; IPR021998: Protein of unknown function DUF3594	NA
Bathy04g04950	bathy_chrom_04	+	998792	999231	mRNA	predicted protein	NA	G3DSA:2.30.30.140: no description	NA
Bathy04g04960	bathy_chrom_04	-	999303	1000592	mRNA	unknown protein	NA	NA	NA
Bathy04g04970	bathy_chrom_04	+	1001205	1003990	mRNA	predicted protein	NA	IPR015330: DNA primase/polymerase, bifunctional, N-terminal; SSF56747: Prim-pol domain	NA
Bathy04g04980	bathy_chrom_04	-	1004433	1005944	mRNA	unknown protein	NA	NA	NA
Bathy04g04990	bathy_chrom_04	+	1006067	1009024	mRNA	predicted protein	GO:0003677;GO:0006306	G3DSA:2.30.30.160: no description; IPR001525: C-5 cytosine methyltransferase; G3DSA:3.40.50.150: no description	NA
Bathy04g05000	bathy_chrom_04	+	1009736	1011922	mRNA	dihydropyridine-sensitive l-type calcium channel	GO:0005515	G3DSA:3.40.50.410: no description; PTHR10166: VOLTAGE-DEPENDENT CALCIUM CHANNEL; IPR002035: von Willebrand factor, type A	NA
Bathy04g05010	bathy_chrom_04	-	1012491	1014876	mRNA	hypothetical protein BpV1_073	NA	NA	NA
Bathy04g05020	bathy_chrom_04	-	1015064	1015294	mRNA	unknown protein	NA	NA	NA
Bathy04g05030	bathy_chrom_04	-	1015393	1015713	mRNA	unknown protein	NA	NA	NA
Bathy04g05040	bathy_chrom_04	-	1016484	1019441	mRNA	predicted protein	GO:0003677;GO:0006306	G3DSA:2.30.30.160: no description; IPR001525: C-5 cytosine methyltransferase; G3DSA:3.40.50.150: no description	NA
Bathy04g05050	bathy_chrom_04	+	1019564	1021075	mRNA	unknown protein	NA	NA	NA
Bathy04g05060	bathy_chrom_04	-	1021752	1024537	mRNA	predicted protein	NA	IPR015330: DNA primase/polymerase, bifunctional, N-terminal; SSF56747: Prim-pol domain	NA
Bathy04g05070	bathy_chrom_04	+	1025471	1026436	mRNA	predicted protein	GO:0015976;GO:0008270;GO:0004089	IPR019560: Mitochondrial 18kDa protein; IPR001765: Carbonic anhydrase	NA
Bathy04g05080	bathy_chrom_04	-	1026583	1027347	mRNA	unknown protein	NA	NA	NA
Bathy04g05090	bathy_chrom_04	+	1027605	1029953	mRNA	predicted protein	NA	PTHR20961: FAMILY NOT NAMED	NA
Bathy04g05100	bathy_chrom_04	+	1030231	1033788	mRNA	DEAH (Asp-Glu-Ala-His) box polypeptide 16	GO:0005524;GO:0004386;GO:0003676	IPR007502: Helicase-associated domain; IPR011545: DNA/RNA helicase, DEAD/DEAH box type, N-terminal; IPR011709: Domain of unknown function DUF1605; PTHR18934: FAMILY NOT NAMED; G3DSA:3.40.50.300: no description; IPR002464: DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site; SSF52540: P-loop containing nucleoside triphosphate hydrolases; IPR014001: DEAD-like helicase; IPR001650: Helicase, C-terminal	NA
Bathy04g05110	bathy_chrom_04	+	1033944	1037489	mRNA	unknown protein	NA	NA	NA
Bathy05g00010	bathy_chrom_05	-	273	1745	mRNA	exported exo-alpha-sialidase	NA	IPR011040: Neuraminidase; IPR002860: BNR repeat	NA
Bathy05g00020	bathy_chrom_05	+	2024	3871	mRNA	predicted protein	GO:0006400;GO:0008176	IPR002885: Pentatricopeptide repeat; IPR011990: Tetratricopeptide-like helical; IPR003358: tRNA (guanine-N-7) methyltransferase; G3DSA:3.40.50.150: no description; PTHR24015: FAMILY NOT NAMED	NA
Bathy05g00030	bathy_chrom_05	+	3980	7936	mRNA	predicted protein	GO:0005524;GO:0006298;GO:0030983	IPR007696: DNA mismatch repair protein MutS, core; PTHR11361: FAMILY NOT NAMED; IPR007695: DNA mismatch repair protein MutS-like, N-terminal; G3DSA:3.40.50.300: no description; IPR016151: DNA mismatch repair protein MutS, N-terminal; G3DSA:1.10.1420.10: no description; IPR000432: DNA mismatch repair protein MutS, C-terminal domain; SSF52540: P-loop containing nucleoside triphosphate hydrolases; IPR015536: DNA mismatch repair protein MutS-homologue MSH6	NA
Bathy05g00040	bathy_chrom_05	-	8107	9729	mRNA	major facilitator superfamily	NA	IPR020846: Major facilitator superfamily; IPR011701: Major facilitator superfamily MFS-1; G3DSA:1.20.1250.20: no description; PTHR24003: FAMILY NOT NAMED; IPR016196: Major facilitator superfamily, general substrate transporter	NA
Bathy05g00050	bathy_chrom_05	+	10204	10881	mRNA	protein of unknown function UPF0047	NA	IPR001602: Uncharacterised protein family UPF0047	NA
Bathy05g00060	bathy_chrom_05	-	11083	12246	mRNA	predicted protein	NA	PTHR13135: FAMILY NOT NAMED; IPR019385: Phosphorylated adapter RNA export protein, RNA-binding domain	NA
Bathy05g00070	bathy_chrom_05	+	13342	13644	mRNA	unknown	GO:0005516;GO:0042651;GO:0015979;GO:0009522	IPR008796: Photosystem I PsaN, reaction centre subunit N	NA
Bathy05g00080	bathy_chrom_05	+	14031	14321	mRNA	predicted protein	NA	NA	NA
Bathy05g00090	bathy_chrom_05	+	14497	16488	mRNA	predicted protein	NA	NA	NA
Bathy05g00100	bathy_chrom_05	-	16602	17774	mRNA	unknown protein	NA	NA	NA
Bathy05g00110	bathy_chrom_05	+	18669	20123	mRNA	predicted protein	GO:0005634;GO:0030528;GO:0045449	IPR007282: NOT2/NOT3/NOT5; PTHR23326: FAMILY NOT NAMED	NA
Bathy05g00120	bathy_chrom_05	-	20299	23199	mRNA	predicted protein	GO:0005515	IPR001440: Tetratricopeptide TPR-1; IPR011990: Tetratricopeptide-like helical; PTHR12558: FAMILY NOT NAMED; IPR013026: Tetratricopeptide repeat-containing; IPR019734: Tetratricopeptide repeat	NA
Bathy05g00130	bathy_chrom_05	+	23454	24197	mRNA	predicted protein	NA	G3DSA:3.60.20.10: no description; IPR000426: Proteasome, alpha-subunit, conserved site; IPR001353: Proteasome, subunit alpha/beta; PTHR11599: FAMILY NOT NAMED; IPR023332: Proteasome A-type subunit; SSF56235: N-terminal nucleophile aminohydrolases (Ntn hydrolases)	NA
Bathy05g00140	bathy_chrom_05	+	25586	26614	mRNA	allantoinase	GO:0016787	PTHR11647: FAMILY NOT NAMED; IPR002195: Dihydroorotase, conserved site; IPR006680: Amidohydrolase 1; SSF51556: Metallo-dependent hydrolases; G3DSA:3.20.20.140: no description	NA
Bathy05g00150	bathy_chrom_05	+	27107	27382	mRNA	allantoinase	NA	PTHR11647: FAMILY NOT NAMED; SSF51556: Metallo-dependent hydrolases; G3DSA:3.20.20.140: no description	NA
Bathy05g00160	bathy_chrom_05	+	27728	27886	mRNA	unknown protein	NA	PTHR11647: FAMILY NOT NAMED	NA
Bathy05g00170	bathy_chrom_05	-	27954	29027	mRNA	predicted protein	GO:0000166	G3DSA:3.40.50.300: no description; PTHR21231: FAMILY NOT NAMED; IPR004130: Uncharacterised protein family, ATP binding	NA
Bathy05g00180	bathy_chrom_05	+	29201	30904	mRNA	5FI8BORFP (ISS)	NA	SSF53335: S-adenosyl-L-methionine-dependent methyltransferases; G3DSA:3.40.50.150: no description; IPR019410: Nicotinamide N-methyltransferase, putative; IPR008775: Phytanoyl-CoA dioxygenase; G3DSA:2.60.120.620: no description; PTHR14614: FAMILY NOT NAMED	NA
Bathy05g00190	bathy_chrom_05	-	30994	31701	mRNA	Proteasome subunit alpha type-2	NA	G3DSA:3.60.20.10: no description; IPR000426: Proteasome, alpha-subunit, conserved site; IPR001353: Proteasome, subunit alpha/beta; PTHR11599: FAMILY NOT NAMED; IPR023332: Proteasome A-type subunit; SSF56235: N-terminal nucleophile aminohydrolases (Ntn hydrolases)	NA
Bathy05g00200	bathy_chrom_05	-	32074	33057	mRNA	predicted protein	NA	NA	NA
Bathy05g00210	bathy_chrom_05	+	33933	35663	mRNA	predicted protein	GO:0019867	IPR000184: Bacterial surface antigen (D15); PTHR12815: FAMILY NOT NAMED	NA
Bathy05g00220	bathy_chrom_05	-	35838	36689	mRNA	predicted protein	GO:0005975;GO:0003824	IPR022383: Lactate/malate dehydrogenase, C-terminal; IPR016040: NAD(P)-binding domain; IPR010097: Malate dehydrogenase, type 1; PTHR11540: FAMILY NOT NAMED; IPR001236: Lactate/malate dehydrogenase, N-terminal; IPR001557: L-lactate/malate dehydrogenase; IPR001252: Malate dehydrogenase, active site; IPR015955: Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal	NA
Bathy05g00230	bathy_chrom_05	-	36750	37046	mRNA	unknown protein	GO:0055114;GO:0016491	IPR010097: Malate dehydrogenase, type 1; IPR016040: NAD(P)-binding domain; PTHR11540: FAMILY NOT NAMED; IPR001236: Lactate/malate dehydrogenase, N-terminal	NA
Bathy05g00240	bathy_chrom_05	+	37317	43229	mRNA	adenylate cyclase	GO:0016849;GO:0009190;GO:0035556	IPR001054: Adenylyl cyclase class-3/4/guanylyl cyclase; PTHR11017: FAMILY NOT NAMED; G3DSA:3.40.190.10: no description	NA
Bathy05g00250	bathy_chrom_05	-	43437	44009	mRNA	Qc-SNARE, Bet1/mBET1 family	GO:0005515	PTHR12791: FAMILY NOT NAMED; IPR000727: Target SNARE coiled-coil domain; G3DSA:1.20.5.110: no description	NA
Bathy05g00260	bathy_chrom_05	+	44060	44776	mRNA	predicted protein	NA	PTHR12709: FAMILY NOT NAMED; IPR005576: RNA polymerase Rpb7, N-terminal; IPR013238: RNA polymerase III, subunit Rpc25	NA
Bathy05g00270	bathy_chrom_05	-	44835	49157	mRNA	tubulin folding cofactor D	GO:0005488	IPR000357: HEAT; IPR022577: Tubulin-specific chaperone D, C-terminal; IPR011989: Armadillo-like helical; PTHR12658: FAMILY NOT NAMED; IPR021133: HEAT, type 2; IPR016024: Armadillo-type fold	NA
Bathy05g00280	bathy_chrom_05	+	49486	52545	mRNA	predicted protein	NA	G3DSA:3.30.70.890: no description; G3DSA:2.170.190.11: no description; IPR005111: MoeA, C-terminal, domain IV; IPR006204: GHMP kinase; IPR006206: Mevalonate/galactokinase; IPR005110: MoeA, N-terminal and linker domain; IPR020568: Ribosomal protein S5 domain 2-type fold; IPR001453: Molybdopterin binding; IPR014721: Ribosomal protein S5 domain 2-type fold, subgroup; PTHR10192: MOLYBDOPTERIN BIOSYNTHESIS PROTEIN; G3DSA:3.90.105.10: no description	NA
Bathy05g00290	bathy_chrom_05	-	52628	54352	mRNA	unknown protein	NA	IPR002014: VHS; G3DSA:1.20.58.160: no description; IPR008942: ENTH/VHS; PTHR13856: FAMILY NOT NAMED	NA
Bathy05g00300	bathy_chrom_05	+	55117	55944	mRNA	PREDICTED: similar to predicted protein	NA	IPR020683: Ankyrin repeat-containing domain	NA
Bathy05g00310	bathy_chrom_05	-	56049	57518	mRNA	unknown protein	NA	NA	NA
Bathy05g00320	bathy_chrom_05	+	57611	58978	mRNA	predicted protein	NA	NA	NA
Bathy05g00330	bathy_chrom_05	-	59101	63690	mRNA	Rad5p	GO:0003677;GO:0005524	IPR001841: Zinc finger, RING-type; IPR001965: Zinc finger, PHD-type; IPR000330: SNF2-related; IPR013083: Zinc finger, RING/FYVE/PHD-type; SSF52540: P-loop containing nucleoside triphosphate hydrolases; IPR014001: DEAD-like helicase; PTHR10799: SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY-RELATED; IPR019787: Zinc finger, PHD-finger	NA
Bathy05g00340	bathy_chrom_05	+	63869	65116	mRNA	predicted protein	NA	IPR001602: Uncharacterised protein family UPF0047	NA
Bathy05g00350	bathy_chrom_05	-	65319	65618	mRNA	unnamed protein product	NA	NA	NA
Bathy05g00360	bathy_chrom_05	+	65976	68801	mRNA	leucyl-tRNA synthetase	GO:0005524;GO:0006418;GO:0000166;GO:0006412;GO:0004812;GO:0005737	IPR001412: Aminoacyl-tRNA synthetase, class I, conserved site; G3DSA:1.10.730.10: no description; PTHR11946: FAMILY NOT NAMED; IPR009080: Aminoacyl-tRNA synthetase, class 1a, anticodon-binding; IPR014729: Rossmann-like alpha/beta/alpha sandwich fold; IPR002302: Leucyl-tRNA synthetase, class Ia, bacterial/mitochondrial; SSF52374: Nucleotidylyl transferase; IPR013155: Valyl/Leucyl/Isoleucyl-tRNA synthetase, class I, anticodon-binding; IPR009008: Valyl/Leucyl/Isoleucyl-tRNA synthetase, class Ia, editing domain; IPR002300: Aminoacyl-tRNA synthetase, class Ia	NA
Bathy05g00370	bathy_chrom_05	-	69165	70148	mRNA	predicted protein	NA	IPR019782: WD40 repeat 2; IPR017986: WD40-repeat-containing domain; PTHR19877: FAMILY NOT NAMED; IPR019775: WD40 repeat, conserved site; IPR015943: WD40/YVTN repeat-like-containing domain; IPR001680: WD40 repeat; IPR019781: WD40 repeat, subgroup; IPR020472: G-protein beta WD-40 repeat	NA
Bathy05g00380	bathy_chrom_05	-	70573	71157	mRNA	unknown protein	NA	NA	NA
Bathy05g00390	bathy_chrom_05	+	72018	73487	mRNA	adenylosuccinate synthetase	GO:0000287;GO:0006164;GO:0005525;GO:0005737;GO:0004019	G3DSA:3.90.170.10: no description; IPR018220: Adenylosuccinate synthase, active site; IPR001114: Adenylosuccinate synthetase; SSF52540: P-loop containing nucleoside triphosphate hydrolases; G3DSA:3.40.440.10: no description; G3DSA:1.10.300.10: no description	NA
Bathy05g00400	bathy_chrom_05	-	73599	75695	mRNA	OPT family oligopeptide transporter	GO:0055085	PTHR22601: FAMILY NOT NAMED; IPR004813: Oligopeptide transporter OPT superfamily	NA
Bathy05g00410	bathy_chrom_05	+	75981	76853	mRNA	predicted protein	NA	IPR021788: Protein of unknown function DUF3353	NA
Bathy05g00420	bathy_chrom_05	+	77140	79881	mRNA	predicted protein	NA	NA	NA
Bathy05g00430	bathy_chrom_05	-	81475	82476	mRNA	spermidine synthase	GO:0003824	G3DSA:2.30.140.10: no description; IPR001045: Spermine synthase; G3DSA:3.40.50.150: no description	NA
Bathy05g00440	bathy_chrom_05	-	82961	83656	mRNA	predicted protein	NA	IPR020683: Ankyrin repeat-containing domain	NA
Bathy05g00450	bathy_chrom_05	+	83854	87183	mRNA	conserved hypothetical protein	GO:0005524	G3DSA:3.40.50.300: no description; IPR003959: ATPase, AAA-type, core; IPR003593: ATPase, AAA+ type, core; SSF52540: P-loop containing nucleoside triphosphate hydrolases; PTHR15828: FAMILY NOT NAMED	NA
Bathy05g00460	bathy_chrom_05	-	87258	89942	mRNA	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1	GO:0006486;GO:0030173;GO:0008373	PTHR13713: FAMILY NOT NAMED; IPR001675: Glycosyl transferase, family 29	NA
Bathy05g00470	bathy_chrom_05	-	90361	91233	mRNA	PREDICTED: similar to predicted protein	NA	IPR020683: Ankyrin repeat-containing domain	NA
Bathy05g00480	bathy_chrom_05	+	91701	93677	mRNA	predicted protein	NA	IPR015943: WD40/YVTN repeat-like-containing domain; IPR001680: WD40 repeat; IPR019781: WD40 repeat, subgroup; PTHR11227: FAMILY NOT NAMED	NA
Bathy05g00490	bathy_chrom_05	+	93996	94451	mRNA	unknown protein	NA	NA	NA
Bathy05g00500	bathy_chrom_05	+	94568	95662	mRNA	predicted protein	NA	NA	NA
Bathy05g00510	bathy_chrom_05	+	96386	97153	mRNA	chaperone protein dnaJ	GO:0031072	PTHR24076: FAMILY NOT NAMED; IPR001623: Heat shock protein DnaJ, N-terminal; IPR003095: Heat shock protein DnaJ; IPR018253: Heat shock protein DnaJ, conserved site	NA
Bathy05g00520	bathy_chrom_05	-	97298	99115	mRNA	peptidase M20	GO:0016787	PTHR11014: FAMILY NOT NAMED; G3DSA:3.30.70.360: no description; IPR002933: Peptidase M20; G3DSA:3.40.630.10: no description; IPR011650: Peptidase M20, dimerisation	NA
Bathy05g00530	bathy_chrom_05	+	100265	101485	mRNA	predicted protein	NA	IPR011991: Winged helix-turn-helix transcription repressor DNA-binding; SSF46785: "Winged helix" DNA-binding domain	NA
Bathy05g00540	bathy_chrom_05	-	101830	103077	mRNA	predicted protein	GO:0031072	PTHR24077: FAMILY NOT NAMED; IPR001623: Heat shock protein DnaJ, N-terminal	NA
Bathy05g00550	bathy_chrom_05	+	103387	103611	mRNA	conserved hypothetical protein	GO:0005515	IPR001440: Tetratricopeptide TPR-1; IPR023114: Elongated TPR repeat-containing domain; IPR013026: Tetratricopeptide repeat-containing; IPR019734: Tetratricopeptide repeat; PTHR22904: FAMILY NOT NAMED	NA
Bathy05g00560	bathy_chrom_05	+	104192	105511	mRNA	predicted protein	GO:0005515	IPR006636: Heat shock chaperonin-binding; IPR001440: Tetratricopeptide TPR-1; IPR011990: Tetratricopeptide-like helical; IPR013105: Tetratricopeptide TPR2; IPR013026: Tetratricopeptide repeat-containing; IPR019734: Tetratricopeptide repeat; PTHR22904: FAMILY NOT NAMED	NA
Bathy05g00570	bathy_chrom_05	-	105789	106601	mRNA	carbohydrate-binding module family 20 protein	GO:0005975;GO:0003824	IPR013783: Immunoglobulin-like fold; IPR013784: Carbohydrate-binding-like fold; IPR002044: Glycoside hydrolase, carbohydrate-binding; IPR015902: Alpha amylase	NA
Bathy05g00580	bathy_chrom_05	-	106935	108044	mRNA	unknown protein	NA	NA	NA
Bathy05g00590	bathy_chrom_05	+	108392	110083	mRNA	predicted protein	NA	IPR019782: WD40 repeat 2; IPR022052: Histone-binding protein RBBP4; IPR017986: WD40-repeat-containing domain; PTHR22850: FAMILY NOT NAMED; IPR019775: WD40 repeat, conserved site; IPR015943: WD40/YVTN repeat-like-containing domain; IPR001680: WD40 repeat; IPR019781: WD40 repeat, subgroup	NA
Bathy05g00600	bathy_chrom_05	+	110224	111663	mRNA	PREDICTED: similar to predicted protein	GO:0005515	IPR020683: Ankyrin repeat-containing domain; IPR002110: Ankyrin repeat	NA
Bathy05g00610	bathy_chrom_05	-	111852	112235	mRNA	predicted protein	GO:0005737;GO:0000045	SSF54236: Ubiquitin-like; IPR007242: Autophagy-related protein 12	NA
Bathy05g00620	bathy_chrom_05	-	112486	113586	mRNA	phosphoglycerate kinase	GO:0006096;GO:0004618	IPR015824: Phosphoglycerate kinase, N-terminal; IPR001576: Phosphoglycerate kinase; IPR015901: Phosphoglycerate kinase, C-terminal	NA
Bathy05g00630	bathy_chrom_05	-	113945	114328	mRNA	unknown protein	NA	NA	NA
Bathy05g00640	bathy_chrom_05	+	114882	116993	mRNA	predicted protein	GO:0003723	IPR018111: K Homology, type 1, subgroup; IPR004087: K Homology; IPR004088: K Homology, type 1; G3DSA:3.30.1370.10: no description; PTHR10288: KH DOMAIN CONTAINING RNA BINDING PROTEIN	NA
Bathy05g00650	bathy_chrom_05	-	117466	117750	mRNA	predicted protein	NA	IPR023329: Chlorophyll a/b binding protein domain	NA
Bathy05g00660	bathy_chrom_05	-	118037	118936	mRNA	PREDICTED: similar to predicted protein	NA	PTHR24132: FAMILY NOT NAMED; IPR020683: Ankyrin repeat-containing domain	NA
Bathy05g00670	bathy_chrom_05	+	119099	120058	mRNA	unknown protein	NA	NA	NA
Bathy05g00680	bathy_chrom_05	-	120324	121715	mRNA	predicted protein	NA	IPR001680: WD40 repeat; IPR015943: WD40/YVTN repeat-like-containing domain; IPR019781: WD40 repeat, subgroup; PTHR11227: FAMILY NOT NAMED	NA
Bathy05g00690	bathy_chrom_05	-	122091	122696	mRNA	unknown protein	GO:0008168	PTHR18895: FAMILY NOT NAMED; IPR007848: Methyltransferase small; SSF53335: S-adenosyl-L-methionine-dependent methyltransferases; G3DSA:3.40.50.150: no description	NA
Bathy05g00700	bathy_chrom_05	-	123274	125667	mRNA	unknown protein	NA	NA	NA
Bathy05g00710	bathy_chrom_05	+	126062	126487	mRNA	unknown protein	NA	NA	NA
Bathy05g00720	bathy_chrom_05	-	126573	128513	mRNA	glycosyltransferase, putative	GO:0006506;GO:0016757;GO:0031227	IPR005599: GPI mannosyltransferase	NA
Bathy05g00730	bathy_chrom_05	-	128641	129213	mRNA	predicted protein	NA	NA	NA
Bathy05g00740	bathy_chrom_05	+	129275	129640	mRNA	unknown protein	NA	NA	NA
Bathy05g00750	bathy_chrom_05	-	129725	131206	mRNA	predicted protein	NA	IPR017441: Protein kinase, ATP binding site; IPR000719: Protein kinase, catalytic domain; IPR002290: Serine/threonine-protein kinase domain; G3DSA:3.30.200.20: no description; G3DSA:1.10.510.10: no description; IPR017442: Serine/threonine-protein kinase-like domain; PTHR24362: FAMILY NOT NAMED; IPR011009: Protein kinase-like domain	NA
Bathy05g00760	bathy_chrom_05	-	131530	132387	mRNA	PREDICTED: similar to predicted protein	NA	IPR020683: Ankyrin repeat-containing domain	NA
Bathy05g00770	bathy_chrom_05	+	132504	135278	mRNA	predicted protein	NA	NA	NA
Bathy05g00780	bathy_chrom_05	-	135395	136063	mRNA	predicted protein	NA	NA	NA
Bathy05g00790	bathy_chrom_05	+	136329	136856	mRNA	predicted protein	GO:0005515	PTHR24180: FAMILY NOT NAMED; IPR020683: Ankyrin repeat-containing domain; IPR002110: Ankyrin repeat	NA
Bathy05g00800	bathy_chrom_05	-	136938	139502	mRNA	predicted protein	NA	NA	NA
Bathy05g00810	bathy_chrom_05	-	140255	141970	mRNA	heat shock protein 70	NA	IPR018181: Heat shock protein 70, conserved site; G3DSA:2.60.34.10: no description; IPR001023: Heat shock protein Hsp70; SSF100920: Heat shock protein 70kD (HSP70), peptide-binding domain; G3DSA:3.90.640.10: no description; G3DSA:3.30.420.40: no description; IPR013126: Heat shock protein 70; G3DSA:3.30.30.30: no description	NA
Bathy05g00820	bathy_chrom_05	+	142841	143938	mRNA	predicted protein	NA	IPR013078: Histidine phosphatase superfamily, clade-1; SSF53254: Phosphoglycerate mutase-like; G3DSA:3.40.50.1240: no description	NA
Bathy05g00830	bathy_chrom_05	-	144051	145064	mRNA	GTP cyclohydrolase II	GO:0003935;GO:0009231	IPR000926: GTP cyclohydrolase II, RibA; PTHR21327: FAMILY NOT NAMED	NA
Bathy05g00840	bathy_chrom_05	-	145364	146728	mRNA	predicted protein	NA	IPR006968: Protein of unknown function DUF647	NA
Bathy05g00850	bathy_chrom_05	+	147667	148326	mRNA	predicted protein	NA	NA	NA
Bathy05g00860	bathy_chrom_05	-	148480	149457	mRNA	unknown protein	NA	NA	NA
Bathy05g00870	bathy_chrom_05	-	149729	150691	mRNA	predicted protein	NA	PTHR13063: FAMILY NOT NAMED	NA
Bathy05g00880	bathy_chrom_05	+	150820	152193	mRNA	predicted protein	NA	NA	NA
Bathy05g00890	bathy_chrom_05	-	152285	154102	mRNA	serine/threonine protein kinase	NA	IPR017441: Protein kinase, ATP binding site; IPR002290: Serine/threonine-protein kinase domain; G3DSA:3.30.200.20: no description; IPR017442: Serine/threonine-protein kinase-like domain; PTHR24362: FAMILY NOT NAMED; IPR011009: Protein kinase-like domain; IPR000719: Protein kinase, catalytic domain; G3DSA:1.10.510.10: no description; IPR008266: Tyrosine-protein kinase, active site	NA
Bathy05g00900	bathy_chrom_05	-	154290	155201	mRNA	predicted protein	NA	NA	NA
Bathy05g00910	bathy_chrom_05	+	155702	156403	mRNA	large conductance mechanosensitive channel protein	GO:0006810;GO:0005216;GO:0016021	IPR001185: Large-conductance mechanosensitive channel	NA
Bathy05g00920	bathy_chrom_05	-	156522	158210	mRNA	unknown protein	NA	NA	NA
Bathy05g00930	bathy_chrom_05	-	158776	160137	mRNA	unknown protein	GO:0005515	IPR000555: Mov34/MPN/PAD-1; PTHR10540: EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT F-RELATED	NA
Bathy05g00940	bathy_chrom_05	+	160312	160653	mRNA	unknown protein	NA	NA	NA
Bathy05g00950	bathy_chrom_05	+	160889	168139	mRNA	predicted protein	GO:0005515	IPR011989: Armadillo-like helical; IPR017986: WD40-repeat-containing domain; IPR015943: WD40/YVTN repeat-like-containing domain; IPR004083: Regulatory associated protein of TOR; IPR001680: WD40 repeat	NA
Bathy05g00960	bathy_chrom_05	-	168204	171647	mRNA	predicted protein	GO:0005488	PTHR13366: FAMILY NOT NAMED; IPR016024: Armadillo-type fold	NA
Bathy05g00970	bathy_chrom_05	+	172071	173738	mRNA	unknown protein	NA	NA	NA
Bathy05g00980	bathy_chrom_05	+	173969	175288	mRNA	unnamed protein product	NA	NA	NA
Bathy05g00990	bathy_chrom_05	+	175817	176470	mRNA	hypothetical protein SYNPCC7002_A1369	GO:0010181	IPR012349: FMN-binding split barrel	NA
Bathy05g01000	bathy_chrom_05	-	176551	180594	mRNA	WASH complex subunit strumpellin	NA	IPR019393: WASH complex, subunit strumpellin	NA
