Vocar.0001s0003.1	5-formyltetrahydrofolate cycloligase.
Vocar.0002s0621.1	Similar to copper type II, ascorbate-dependent monooxygenase. Appears to be orthologous to Chlamydomonas model 196798.
Vocar.0002s0622.1	Putative serine/threonine dehydratase (EC 4.3.1.19) - serine racemase (EC 5.1.1.10) ; based on similarity to bifunctional Arabidopsis serine racemase (GenBank AB206823) (PMID: 16483618); converts L-serine to D-serine (serine racemase) or to pyruvate (seri
Vocar.0002s0624.1	Similar to mRNA export protein. (The Chlamydomonas ortholog is called: RAE1).
Vocar.0002s0626.1	Putative mitochondrial 50S ribosomal protein L1 (The Chlamydomonas ortholog is called: MRPL1).
Vocar.0002s0627.1	Serine/threonine phosphatase, family 2C. (The Chlamydomonas ortholog is model 142396).
Vocar.0002s0635.1	One match in Chlamydomonas (144176), but several copies in Volvox. Transposon? Or repeated gene?.
Vocar.0002s0637.1	unknown protein. Possible Chlamydomonas ortholog: model 167355.
Vocar.0002s0637.2	unknown protein. Possible Chlamydomonas ortholog: model 167355.
Vocar.0002s0639.1	unknown protein. Tandem gene pair. Chlamydomonas ortholog: model 206193.
Vocar.0002s0640.1	unknown protein. Tandem gene pair. Similar to Chlamydomonas model 206193.
Vocar.0002s0642.1	2-isopropylmalate synthase, putative [EC:2.3.3.13]; involved in leucine biosynthesis. (The Chlamydomonas ortholog is called: LEU2).
Vocar.0002s0643.1	pyruvate carboxylase [EC:6.4.1.1]; a biotin-dependent enzyme; catalyses the ATP-dependent carboxylation of pyruvate to oxaloacetate; enzyme is essential in gluconeogenesis.
Vocar.0002s0652.1	Conserved protein of unknown function, Chlamy ortholog predicted to have seven transmembrane domains; member of pfam01027, UPF0005, Uncharacterised protein family UPF0005.
Vocar.0002s0662.1	ribosomal protein L37A; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0003s0031.1	diacylglycerol kinase.
Vocar.0003s0100.1	MAP kinase phosphatase 5; dual specificity protein phosphatase; dephosphorylates phosphotyrosine, phosphoserine, and phosphothreonine residues.
Vocar.0003s0114.1	minichromosome maintenance protein 4, DNA replication protein.
Vocar.0003s0177.1	3-Isopropylmalate dehydrogenase (Leu Biosynthesis), probably chloroplastic. Potential thioredoxin target [PMID: 15123830]. (The Chlamydomonas ortholog is called: LEU3).
Vocar.0003s0179.1	magnesium chelatase H subunit, chloroplast precursor; orthologous to the bacterial protein BchH [PMID: 9359397]; binds protoporphyrin and is acted upon by the ChlI:ChlD complex for magnesium insertion [PMID: 11469861]; gene is known as GUN5 in Arabidopsis
Vocar.0003s0225.1	pseudouridine synthase, mitochondrial precursor.
Vocar.0003s0237.1	transmembrane protein with a DUF221 domain of unknown function; this domain is present in many eukaryotes, in particular in Arabidopsis ERD4 (early response to dehydration).
Vocar.0003s0245.1	Contains a DNA/RNA non-specific endonuclease domain (IPR001604); similarity to mitochondrial endonucleases, including the human EndoG involved in apoptosis.
Vocar.0003s0326.1	gene conserved only in ciliated organisms, including those with non-motile (sensory, structural and assembly, SSA) cilia; identified by comparative genomics.
Vocar.0003s0379.1	NADH:ubiquinone oxidoreductase (complex I) 17 kDa subunit precursor, mitochondrial.
Vocar.0003s0405.1	putative kinesin-like protein; possibly member of ncd/Kar3 subfamily. Please see the longer model (PID:93886).
Vocar.0003s0405.2	putative kinesin-like protein; possibly member of ncd/Kar3 subfamily. Please see the longer model (PID:93886).
Vocar.0003s0451.1	NimA-related protein kinase homolog 4 (Nim = never in mitosis); G2-specific serine/threonine protein kinase.
Vocar.0003s0510.1	Prismane/CO dehydrogenase family.
Vocar.0003s0510.2	Prismane/CO dehydrogenase family.
Vocar.0004s0052.1	encodes protein very similar to C. reinhardtii class XI myosin heavy chain MYO1.
Vocar.0004s0058.1	kinesin-like protein; lies next to 95391, gene for another kinesin-like protein.
Vocar.0004s0060.1	thioredoxin; thioredoxins are small ubiquitous oxidoreductases found in all free living organisms; they take part in thiol-disulfide exchange reactions; thioredoxins reduce disulfide bridges of various target proteins and are involved in a large variety o
Vocar.0004s0073.1	Glyoxal or galactose oxidase; the substrate of this family of oxidases is unsure, as the similarity is to both glyoxal oxidases and galactose oxidases, found in fungi, bacteria, animals and plants (both use the same Tyr-Cys radical / metal mechanism); the
Vocar.0004s0087.1	DnaJ-like heat shock protein 45; DnaJ superfamily; molecular chaperone.
Vocar.0004s0092.1	ribosomal protein S20; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0004s0097.1	plastid / chloroplast ribosomal protein S5; imported to chloroplast; plastid / chloroplast small ribosomal subunit protein S5.
Vocar.0004s0107.1	ribosomal protein L5; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0004s0107.2	ribosomal protein L5; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0004s0116.1	pherophorin-V11; extracellular matrix protein (ECM protein, cell wall protein); belongs to the large pherophorin-family, a family of glycoproteins with a central hydroxyproline-rich (HR) domain; reference: Hallmann, A. (2006) Plant J. 45: 292-307 [PMID: 1
Vocar.0004s0129.1	Putative ribulose-1,5 bisphosphate carboxylase oxygenase large subunit N-methyltransferase, [EC:2.1.1.127]; Similarity to Chlamydomonas rubisco large subunit N-methyltransferase (XP_001697868) and Arabidopsis ribulose-1,5 bisphosphate carboxylase oxygenas
Vocar.0004s0133.1	ribosomal protein L34; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0004s0134.1	mitogen-activated protein kinase 7; downstream kinase in the canonical MAP kinase pathway.
Vocar.0004s0184.1	very similar to C. reinhardtii intraflagellar transport particle protein IFT140.
Vocar.0004s0200.1	succinate-CoA ligase beta chain, succinyl-CoA synthetase, mitochondrial precursor.
Vocar.0004s0203.1	very similar to C. reinhardtii IFT172.
Vocar.0004s0210.1	ribosomal protein L14, component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0004s0214.1	DnaJ-like heat shock protein 1; member of the DnaJ superfamily; molecular chaperone.
Vocar.0004s0216.1	thioredoxin-like protein; thioredoxins are small ubiquitous oxidoreductases found in all free living organisms; they take part in thiol-disulfide exchange reactions; thioredoxins reduce disulfide bridges of various target proteins and are involved in a la
Vocar.0004s0217.1	ribosomal protein L27; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0004s0218.1	plastidic ACP-like delta-9 stearate desaturase.
Vocar.0004s0230.1	20S proteasome alpha subunit A (type 6).
Vocar.0004s0240.1	succinate dehydrogenase (complex II), subunit A, flavoprotein precursor.
Vocar.0004s0255.1	pherophorin I; extracellular matrix protein (ECM protein, cell wall protein); belongs to the large pherophorin-family, a family of glycoproteins with a central hydroxyproline-rich (HR) domain; reference: Sumper, M., Berg, E., Wenzl, S. and Godl, K. (1993)
Vocar.0004s0298.1	Alb3 is a chloroplast protein required for the integration of the light-harvesting complex protein into the thylakoid membrane. PMID: 12215522. (The Chlamydomonas ortholog is called: ALB3.2).
Vocar.0004s0314.1	1,4-alpha-glucan branching enzyme II (Glgb8); alpha-amylase; isoamylase.
Vocar.0004s0349.1	Encodes an Hsp70 family member that is most similar to ER-localized Hsp70s from other species; orthologous to C. reinhardtii BIP1.
Vocar.0004s0384.1	protein of unknown function UPF5; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123098.
Vocar.0004s0393.1	Volvocales specific cyclin.
Vocar.0004s0396.1	chitinase, lysozyme (Chi3); probably localized in extracellular matrix.
Vocar.0004s0404.1	isocitrate dehydrogenase, NAD-dependent, possibly cytosolic.
Vocar.0004s0445.1	L-ascorbate peroxidase; L-ascorbate peroxidase is a main enzyme responsible for hydrogen peroxide removal in chloroplasts and cytosol.
Vocar.0004s0500.1	gonidia-specific cDNA G46, AF110781; PMID:10654090. Photosystem I reaction center subunit N, chloroplast precursor. (The Chlamydomonas ortholog is called: PSAN).
Vocar.0004s0500.2	gonidia-specific cDNA G46, AF110781; PMID:10654090. Photosystem I reaction center subunit N, chloroplast precursor. (The Chlamydomonas ortholog is called: PSAN).
Vocar.0005s0012.1	radial spoke protein 17; a subunit in the radial spoke stalk; contains a coiled coil, which is typical for filamentous polypeptides.
Vocar.0005s0023.1	predicted ABC transporter activity; possibly localized to plastids.
Vocar.0005s0030.1	mitochondrial F1F0 ATP synthase associated protein (Asa1).
Vocar.0005s0053.1	histone H2B (histone H2B-9); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0005s0054.1	histone H2A (histone H2A-9); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0005s0072.1	Copper response defect 1 protein, chloroplast precursor; Produced under copper and/or oxygen deficient conditions [GI:7542488; PMID: 11910013; PMID: 10811605; PMID: 11910013; PMID: 14673103]; Mg-protoporphyrin IX monomethyl ester (oxidative) cyclase, aero
Vocar.0005s0098.1	Mg2+ transporter protein (Mrs3), metal ion transporter, CorA-like.
Vocar.0005s0100.1	plastid / chloroplast ribosomal protein L32; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L32.
Vocar.0005s0104.1	acetyl-CoA synthetase (EC 6.2.1.1); acetate-CoA ligase.
Vocar.0005s0151.1	autophagy protein; ubiquitin activating E1 enzyme-like protein.
Vocar.0005s0151.2	autophagy protein; ubiquitin activating E1 enzyme-like protein.
Vocar.0005s0152.1	photosystem I reaction center subunit VIII, chloroplast precursor.
Vocar.0005s0214.1	protein conserved only in organisms with motile cilia (Mot21); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0005s0215.1	kinesin-like protein.
Vocar.0005s0224.1	pseudouridine synthase, mitochondrial precursor.
Vocar.0005s0239.1	contains several RNA binding S1 domains (IPR003029) and RNA-processing protein, HAT helix domains (IPR003107).
Vocar.0005s0240.1	mitogen-activated protein kinase 4; downstream kinase in the canonical MAP kinase pathway.
Vocar.0005s0264.1	acetylglucosaminyltransferase (Elg22); belongs to the family of exostosin-like glycosyltransferases.
Vocar.0005s0266.1	ribosomal protein L37; component of cytosolic 80S ribosome and 60S large subunit; mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123081.
Vocar.0005s0286.1	encodes microtubule severing protein katanin, p80 subunit; putative ortholog of C. reinhardtii PF15.
Vocar.0005s0308.1	Microtubule-severing protein katanin, p60 (catalytic) subunit.
Vocar.0005s0310.1	profilin (prfA); actin-binding protein; mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123079.
Vocar.0005s0343.1	Pyruvate phosphate dikinase (PPDK) (EC 2.7.9.1); Pyruvate orthophosphate dikinase (PODK); similar to PPDK from Phytophthora (GenBank AAK74150), probably cytosolic.
Vocar.0005s0361.1	light-harvesting protein of photosystem I.
Vocar.0005s0361.2	light-harvesting protein of photosystem I.
Vocar.0005s0415.1	Arf-related GTPase (Arf5) belongs to Arf/Sar1 GTPase family of small GTPases; GTP-binding protein.
Vocar.0005s0416.1	26S proteasome regulatory complex, lid subcomplex, non-ATPase subunit Rpn12 (Psd8).
Vocar.0006s0028.1	heat-shock inducible Hsp70 (hsp70A); reference: Cheng,Q. , Hallmann,A. , Edwards, L. and Miller, S.M. (2006) Gene 371: 112-120 [PMID: 16476527]; Genbank entries DQ059998 and DQ059999.
Vocar.0006s0035.1	NADH:ubiquinone oxidoreductase (complex I) 12.5 kDa subunit precursor, mitochondrial.
Vocar.0006s0042.1	histone H3 (histone H3-10); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0006s0043.1	histone H4 (histone H4-10); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0006s0044.1	dihydrodipicolinate synthase (DHDPS) (EC:4.2.1.520); expected to be plastidic based on homology. (The Chlamydomonas ortholog is called: DPS1).
Vocar.0006s0071.1	cytokinesis-related protein Mob1; involved in mitotic exit and regulation of cytokinesis.
Vocar.0006s0082.1	26S proteasome regulatory complex, lid subcomplex, non-ATPase subunit Rpn9 (subunit 13; Psd13; PSMD13).
Vocar.0006s0087.1	Encodes FtsZ homolog FtsZ2; plastid division protein.
Vocar.0006s0087.2	Encodes FtsZ homolog FtsZ2; plastid division protein.
Vocar.0006s0087.3	Encodes FtsZ homolog FtsZ2; plastid division protein.
Vocar.0006s0088.1	eukaryotic translation initiation factor 1A (eIF-1A).
Vocar.0006s0088.2	eukaryotic translation initiation factor 1A (eIF-1A).
Vocar.0006s0088.3	eukaryotic translation initiation factor 1A (eIF-1A).
Vocar.0006s0090.1	ABC-type system involved in Fe-S cluster assembly, likely localized to plastid.
Vocar.0006s0096.1	ribosomal protein S19; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0006s0096.2	ribosomal protein S19; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0006s0098.1	photosystem I reaction center subunit III; plastocyanin binding subunit; chloroplast precursor.
Vocar.0006s0120.1	multidrug resistance associated protein (Mrp1), ABC transporter, membrane protein.
Vocar.0006s0122.1	flagellar outer dynein arm light chain 7 (Roadblock-like outer arm dynein light chain).
Vocar.0006s0125.1	vacuolar ATP synthase subunit E, V-ATPase E subunit, vacuolar proton pump E subunit.
Vocar.0006s0125.2	vacuolar ATP synthase subunit E, V-ATPase E subunit, vacuolar proton pump E subunit.
Vocar.0006s0133.1	Era-like, small Ras-type GTPase; involved in cell cycle control and cell division in mitochondria.
Vocar.0006s0135.1	autophagy protein.
Vocar.0006s0138.1	plastid / chloroplast ribosomal protein L3; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L3.
Vocar.0006s0140.1	ribosomal protein L13, component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0006s0140.2	ribosomal protein L13, component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0006s0182.1	histone H4 (histone H4-5); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0006s0183.1	histone H3 (histone H3-5); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0006s0196.1	histone H2A (histone H2A-8); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0006s0197.1	histone H2B (histone H2B-8); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0006s0217.1	DnaJ-like heat shock protein 29; member of the DnaJ superfamily; molecular chaperone.
Vocar.0006s0255.1	prohibitin; anti-proliferative protein; inhibits DNA synthesis.
Vocar.0006s0265.1	ribosomal protein S17; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0006s0270.1	Magnesium protoporphyrin IX S-adenosyl methionine O-methyl transferase, chloroplast precursor; Magnesium-protoporphyrin IX methyltransferase, Magnesium-protoporphyrin O-methyltransferase.
Vocar.0006s0271.1	eukaryotic translation elongation factor 1 alpha 2.
Vocar.0006s0277.1	ribosomal protein S7; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0006s0277.2	ribosomal protein S7; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0006s0277.3	ribosomal protein S7; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0006s0284.1	sulfur acclimation protein 3, Snf1-like serine/threonine kinase; positive and negative regulator of sulfur deficiency responses.
Vocar.0006s0294.1	putative ABC transporter involved in Fe-S cluster assembly, permease protein, homologous Arabidopsis protein Nap6 localized to plastid.
Vocar.0006s0303.1	ribosomal protein S11; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0006s0315.1	NimA-related protein kinase homolog 6 (Nim = never in mitosis); G2-specific serine/threonine protein kinase.
Vocar.0006s0320.1	Proliferating cell nuclear antigen. Required for DNA replication. Second omolog pcn1a present downstream of model.
Vocar.0006s0326.1	eukaryotic translation initiation factor 3k.
Vocar.0006s0331.1	elongation factor 2 (EF-2, EF-TU).
Vocar.0006s0336.1	NADH:ubiquinone oxidoreductase (Complex I) subunit related to gamma carbonic anhydrase.
Vocar.0006s0349.1	Similar to the RabF/Rab5/Ypt51,52,53/Ypt5 (At/Hs/Sc/Sp) type Rab GTPase, involved in vesicle trafficking in the endosomal system. Rab-related GTPase, belongs to Rab5/Ypt51 family of small GTPases; GTP-binding protein; closely related to C. reinhardtii RAB
Vocar.0006s0360.1	contains Von Willebrand factor type A (vWA) domain; related to extra-cellular structural proteins.
Vocar.0006s0363.1	nucleotide cyclase (Cyc53); member of the large guanylyl- and adenylyl cyclase family (E.C.4.6.1.1 / E.C.4.6.1.2); cyclic nucleotide synthesis; carries a conserved class III cyclase domain.
Vocar.0006s0366.1	DnaJ-like heat shock protein 3; member of the DnaJ superfamily; molecular chaperone.
Vocar.0006s0383.1	NADH:ubiquinone oxidoreductase (complex I) subunit 8.
Vocar.0006s0391.1	thioredoxin; thioredoxins are small ubiquitous oxidoreductases found in all free living organisms; they take part in thiol-disulfide exchange reactions; thioredoxins reduce disulfide bridges of various target proteins and are involved in a large variety o
Vocar.0006s0434.1	eukaryotic translation initiation factor 4.
Vocar.0006s0438.1	kinesin-like protein KlpA; highly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123073. Kif3 type kinesin-like protein. In Chlamydomonas, this protei
Vocar.0006s0438.2	kinesin-like protein KlpA; highly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123073. Kif3 type kinesin-like protein. In Chlamydomonas, this protei
Vocar.0007s0099.1	aci-reductone dioxygenase involved in the methionine salvage pathway; homologue of human MTCBP-1 and yeast ADI1.
Vocar.0007s0110.1	beta tubulin (tubB1), protein in microtubules; reference: Harper, J.F. and Mages, W. (1988) Mol. Gen. Genet. 213: 315-324 [PMID: 3185505]; Genbank entry X12855.
Vocar.0007s0110.2	beta tubulin (tubB1), protein in microtubules; reference: Harper, J.F. and Mages, W. (1988) Mol. Gen. Genet. 213: 315-324 [PMID: 3185505]; Genbank entry X12855.
Vocar.0007s0110.3	beta tubulin (tubB1), protein in microtubules; reference: Harper, J.F. and Mages, W. (1988) Mol. Gen. Genet. 213: 315-324 [PMID: 3185505]; Genbank entry X12855.
Vocar.0007s0112.1	gonidia-specific protein KA_k47; mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry AY835994.
Vocar.0007s0124.1	radial spoke protein 5; subunit in the radial spoke stalk; putative aldo/keto reductase.
Vocar.0007s0141.1	pumilio family (Puf) protein; contains pumilio-family RNA binding domains; the pumilio protein family is thought to repress gene expression by affecting mRNA translation or stability.
Vocar.0007s0147.1	ubiquitin conjugating enzyme E2; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123085.
Vocar.0007s0156.1	similar to C. reinhardtii kinesin FAP125.
Vocar.0007s0168.1	protein conserved only in organisms with motile cilia (Mot3); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0007s0168.2	protein conserved only in organisms with motile cilia (Mot3); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0007s0216.1	light-harvesting chlorophyll-a/b binding protein LhcII-3.
Vocar.0007s0222.1	strictosidine synthase; this alkaloid synthase converts tryptamine and secaloganin into strictosidine, the precursor of monoterpenoid indole alkaloids; homologue of plant, animal and bacterial strictosidine synthases.
Vocar.0007s0229.1	beta tubulin (tubB2), protein in microtubules; reference: Harper, J.F. and Mages, W. (1988) Mol. Gen. Genet. 213: 315-324 [PMID: 3185505]; Genbank entry X12855.
Vocar.0007s0247.1	peroxiredoxin type II; thioredoxin dependent peroxidase.
Vocar.0007s0251.1	mitochondrial ribosomal protein L3; imported to mitochondria.
Vocar.0007s0281.1	catalase, peroxidase.
Vocar.0007s0281.2	catalase, peroxidase.
Vocar.0007s0287.1	minichromosome maintenance protein 5, DNA replication protein.
Vocar.0007s0296.1	serine/threonine kinase involved in circadian clock; homology to casein kinase 1 of higher plants and animals where it is involved in phosphorylation of components of the circadian clock.
Vocar.0007s0299.1	DnaJ-like heat shock protein 14; member of the DnaJ superfamily; molecular chaperone.
Vocar.0007s0299.2	DnaJ-like heat shock protein 14; member of the DnaJ superfamily; molecular chaperone.
Vocar.0007s0331.1	phosphofructokinase (phosphofructo-1-kinase); phosphofructokinase family protein; pyrophosphate-dependent enzyme; catalyses the phosphorylation of fructose-6-phosphate to fructose-1,6-bisphosphate; key regulatory step in the glycolytic pathway.
Vocar.0007s0362.1	acetylglucosaminyltransferase (Elg4); belongs to the family of exostosin-like glycosyltransferases.
Vocar.0007s0424.1	Protein containing a SET domain that is split into two segments by an Zinc finger-MYND domain; Similarity to Arabidopsis ASHR1/SDG37 (AT2G17900).
Vocar.0007s0425.1	dihydrolipoamide dehydrogenase (EC 1.8.1.4), E3 component of pyruvate dehydrogenase complex, plastid precursor.
Vocar.0007s0436.1	plastid / chloroplast ribosomal protein S21; imported to chloroplast; plastid / chloroplast small ribosomal subunit protein S21.
Vocar.0008s0014.1	protein conserved only in organisms with motile cilia (Mot19); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0008s0023.1	phosphoenolpyruvate carboxykinase; PEP carboxykinase (EC 4.1.1.49).
Vocar.0008s0028.1	low-CO2 inducible protein; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123093.
Vocar.0008s0038.1	protein conserved only in organisms with motile cilia (Mot31); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0008s0070.1	plastid / chloroplast ribosomal protein L17; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L17.
Vocar.0008s0098.1	Cyclin dependent kinase; Plant specific CDKC ortholog; PITAIRE motif.
Vocar.0008s0099.1	Contains a BolA-like domain (IPR002634).
Vocar.0008s0140.1	nitrate reductase; cytoplasmic protein; FAD binding; haem binding; molybdenum-cofactor binding, nitrate assimilation; reference: Gruber, H., Goetinck, S.D., Kirk, D.L. and Schmitt, R. (1992) Gene 120: 75-83 [PMID: 1398126]; Genbank entry X64136.
Vocar.0008s0151.1	ribosomal protein S10; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0008s0151.2	ribosomal protein S10; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0008s0151.3	ribosomal protein S10; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0008s0151.4	ribosomal protein S10; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0008s0200.1	high affinity nitrite transporter and low affinity nitrate transporter (system III).
Vocar.0008s0217.1	MAP kinase phosphatase 3; dual specificity protein phosphatase; dephosphorylates and inactivates MAP kinases.
Vocar.0008s0218.1	Contains a BolA-like domain (IPR002634).
Vocar.0008s0220.1	plastid / chloroplast ribosomal protein S1; imported to chloroplast; plastid / chloroplast small ribosomal subunit protein S1.
Vocar.0008s0221.1	mitochondrial substrate carrier, mitochondrial carrier protein (Mitc16).
Vocar.0008s0229.1	polyubiquitin (ubqB); contains ubiquitin tandem repeats; ubiquitin acts through its post-translational attachment (ubiquitinylation) to other proteins for proteasome-mediated degradation, internalization etc.; reference: Schiedlmeier, B. and Schmitt, R. (
Vocar.0008s0238.1	encodes actin-related protein complex member ArpC3; similar to C. reinhardtii 117962.
Vocar.0008s0243.1	T-complex protein 1, zeta subunit (CCT6); TCP-1 zeta subunit; subunit of cytosolic chaperonin complex.
Vocar.0008s0246.1	Cytosolic 80S ribosomal protein S6; Cytosolic 40S small ribosomal subunit protein S6. (The Chlamydomonas ortholog is called: RPS6).
Vocar.0008s0246.2	Cytosolic 80S ribosomal protein S6; Cytosolic 40S small ribosomal subunit protein S6. (The Chlamydomonas ortholog is called: RPS6).
Vocar.0008s0246.3	Cytosolic 80S ribosomal protein S6; Cytosolic 40S small ribosomal subunit protein S6. (The Chlamydomonas ortholog is called: RPS6).
Vocar.0008s0255.1	Contains both a Zn-finger, A20-like (IPR002653) and a Zn-finger, AN1-like (IPR000058) domain. A20 (an inhibitor of cell death)-like zinc fingers are believed to mediate self-association in A20. These fingers also mediate IL-1-induced NF-kappa B activation
Vocar.0008s0296.1	ADP/ATP carrier protein, adenine nucleotide translocase; probably mitochondrial.
Vocar.0008s0302.1	Dihydrolipoamide acetyltransferase (EC 2.3.1.12); E2 component of pyruvate dehydrogenase complex; probably mitochondrial (The Chlamydomonas ortholog is called: DLA1).
Vocar.0008s0318.1	bifunctional aspartate kinase/homoserine dehydrogenase (AK-HSDH) (EC:2.7.2.4 1.1.1.3); based on similarity to aspartate kinase-homoserine dehydrogenase-like protein from Arabidopsis.
Vocar.0008s0338.1	Flagellar outer dynein arm heavy chain beta. (The Chlamydomonas ortholog is called: ODA4).
Vocar.0008s0375.1	26S proteasome regulatory complex, base subcomplex, ATPase Rpt3 (subunit 6B; PRS6B).
Vocar.0008s0392.1	mitochondrial ribosomal protein L30; imported to mitochondria.
Vocar.0008s0413.1	T-complex protein 1, delta subunit (CCT4); TCP-1 delta subunit; subunit of cytosolic chaperonin complex.
Vocar.0008s0416.1	ribosomal protein S15A; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0008s0426.1	NADH:ubiquinone oxidoreductase (complex I) 24 kD subunit, mitochondrial.
Vocar.0008s0449.1	thioredoxin; thioredoxins are small ubiquitous oxidoreductases found in all free living organisms; they take part in thiol-disulfide exchange reactions; thioredoxins reduce disulfide bridges of various target proteins and are involved in a large variety o
Vocar.0009s0009.1	U type cyclin.
Vocar.0009s0011.1	contains a DAD domain (IPR003038). contains a DAD domain (IPR003038).
Vocar.0009s0018.1	F1F0 ATP synthase, subunit C, mitochondrial.
Vocar.0009s0018.2	F1F0 ATP synthase, subunit C, mitochondrial.
Vocar.0009s0032.1	mitochondrial ribosomal protein S15; imported to mitochondria.
Vocar.0009s0040.1	kinesin required for IFT. Kif3 type kinesin.
Vocar.0009s0046.1	hexokinase; catalyses the ATP-dependent conversion of aldo- and keto-hexose sugars to the hexose-6-phosphate (H6P).
Vocar.0009s0053.1	F1F0 ATP synthase, subunit alpha, mitochondrial.
Vocar.0009s0056.1	2-cys peroxiredoxin; thioredoxin dependent peroxidase; probably cytosolic; more closely related to mammalian peroxiredoxins than to plant peroxiredoxins.
Vocar.0009s0068.1	ribosomal protein L27A; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0009s0108.1	peroxiredoxin Q, thioredoxin dependent peroxidase, chloroplast precursor.
Vocar.0009s0119.1	malate dehydrogenase (MDH) (= malic dehydrogenase) [EC:1.1.1.37]; NAD-dependent; putative glyoxysomal localization.
Vocar.0009s0119.2	malate dehydrogenase (MDH) (= malic dehydrogenase) [EC:1.1.1.37]; NAD-dependent; putative glyoxysomal localization.
Vocar.0009s0130.1	RNA pseudouridine synthase, mitochondrial precursor.
Vocar.0009s0157.1	DnaJ-like heat shock protein 23; member of the DnaJ superfamily; molecular chaperone.
Vocar.0009s0158.1	ribosomal protein S4; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0009s0158.2	ribosomal protein S4; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0009s0158.3	ribosomal protein S4; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0009s0165.1	mitochondrial F1F0 ATP synthase associated protein (Asa6).
