Gene ID	description
Bathy04g01680	unknown protein
Bathy04g01690	predicted protein
Bathy04g01700	conserved hypothetical protein
Bathy04g01710	unknown protein
Bathy04g01720	PREDICTED: similar to predicted protein
Bathy04g01730	ATP-dependent protease ATP-binding subunit HslU
Bathy04g01740	predicted protein
Bathy04g01750	predicted protein
Bathy04g01760	predicted protein
Bathy04g01770	hypothetical protein
Bathy04g01780	predicted protein
Bathy04g01790	predicted protein
Bathy04g01800	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy04g01810	predicted protein
Bathy04g01820	predicted protein
Bathy04g01830	unknown protein
Bathy04g01840	predicted protein
Bathy04g01850	predicted protein
Bathy04g01860	predicted protein
Bathy04g01870	predicted protein
Bathy04g01880	unknown protein
Bathy04g01890	predicted protein
Bathy04g01900	DNA repair protein RAD16
Bathy04g01910	serine/threonine-protein kinase gad8
Bathy04g01920	predicted protein
Bathy04g01930	2OG-Fe(II) oxygenase
Bathy04g01940	predicted protein
Bathy04g01950	predicted protein
Bathy04g01960	unknown protein
Bathy04g01970	unknown protein
Bathy04g01980	predicted protein
Bathy04g01990	predicted protein
Bathy04g02000	unknown protein
Bathy04g02010	predicted protein
Bathy04g02020	Derlin-2
Bathy04g02030	predicted protein
Bathy04g02040	PREDICTED: similar to predicted protein
Bathy04g02050	predicted protein
Bathy04g02060	predicted protein
Bathy04g02070	unknown protein
Bathy04g02080	unknown protein
Bathy04g02090	FKBP-type peptidyl-prolyl cis-trans isomerase
Bathy04g02100	predicted protein
Bathy04g02110	predicted protein
Bathy04g02120	aminopeptidase N
Bathy04g02130	GTP-binding protein Era
Bathy04g02140	predicted protein
Bathy04g02150	eukaryotic translation initiation factor 3 subunit E
Bathy04g02160	predicted protein
Bathy04g02170	predicted protein
Bathy04g02180	predicted protein
Bathy04g02190	predicted protein
Bathy04g02200	unknown protein
Bathy04g02210	unknown protein
Bathy04g02220	predicted protein
Bathy04g02230	PREDICTED: similar to predicted protein
Bathy04g02240	predicted protein
Bathy04g02250	predicted protein
Bathy04g02260	predicted protein
Bathy04g02270	DENN domain-containing protein 1A
Bathy04g02280	PREDICTED: similar to predicted protein
Bathy04g02290	tRNA-splicing endonuclease, putative
Bathy04g02300	predicted protein
Bathy04g02310	hypothetical protein
Bathy04g02320	unknown protein
Bathy04g02330	predicted protein
Bathy04g02340	predicted protein
Bathy04g02350	predicted protein
Bathy04g02360	predicted protein
Bathy04g02370	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy04g02380	predicted protein
Bathy04g02390	predicted protein
Bathy04g02400	predicted protein
Bathy04g02410	unknown protein
Bathy04g02420	unknown protein
Bathy04g02430	predicted protein
Bathy04g02440	H+-or Na+-translocating f-type, v-type and A-type ATPase superfamily
Bathy04g02450	predicted protein
Bathy04g02460	predicted protein
Bathy04g02470	predicted protein
Bathy04g02480	hypothetical protein
Bathy04g02490	MLH1
Bathy04g02500	unnamed protein product
Bathy04g02510	translation elongation factor-like protein
Bathy04g02520	predicted protein
Bathy04g02530	T-complex protein 1 subunit zeta
Bathy04g02540	predicted protein
Bathy04g02550	dihydroorotase
Bathy04g02560	predicted protein
Bathy04g02570	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy04g02580	p-type ATPase superfamily
Bathy04g02590	predicted protein
Bathy04g02600	unknown protein
Bathy04g02610	conserved hypothetical protein
Bathy04g02620	unknown protein
Bathy04g02630	unnamed protein product
Bathy04g02640	unknown protein
Bathy04g02650	predicted protein
Bathy04g02660	predicted protein
Bathy04g02670	predicted protein
Bathy04g02680	auxin efflux carrier family
Bathy04g02690	predicted protein
Bathy04g02700	unknown protein
Bathy04g02710	predicted protein
Bathy04g02720	unknown protein
Bathy04g02730	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy04g02740	predicted protein
Bathy04g02750	unknown protein
Bathy04g02760	predicted protein
Bathy04g02770	predicted protein
Bathy04g02780	glycyl-tRNA synthetase
Bathy04g02790	predicted protein
Bathy04g02795	unknown protein
Bathy04g02800	ribosome recycling factor
Bathy04g02810	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy04g02820	unknown protein
Bathy04g02830	putative ribosomal-protein S6 kinase (ISS)
Bathy04g02840	unknown protein
Bathy04g02850	Ypk1p
Bathy04g02860	PREDICTED: similar to predicted protein
Bathy04g02870	FeS assembly protein SufD
Bathy04g02880	predicted protein
Bathy04g02890	nucleotide-binding protein-like protein
Bathy04g02900	hypothetical protein
Bathy04g02910	predicted protein
Bathy04g02920	prefoldin subunit 1
Bathy04g02930	predicted protein
Bathy04g02940	predicted protein
Bathy04g02950	unknown protein
Bathy04g02960	unknown protein
Bathy04g02970	unknown protein
Bathy04g02980	predicted protein
Bathy04g02990	unknown protein
Bathy04g03000	predicted protein
Bathy04g03010	predicted protein
Bathy04g03020	predicted protein
Bathy04g03030	unknown protein
Bathy04g03040	predicted protein
Bathy04g03050	predicted protein
Bathy04g03060	predicted protein
Bathy04g03070	predicted protein
Bathy04g03080	unknown protein
Bathy04g03090	unknown protein
Bathy04g03100	ADP-glucose pyrophosphorylase small subunit
Bathy04g03110	kinesin heavy chain
Bathy04g03120	unknown protein
Bathy04g03130	MYG1 protein
Bathy04g03140	unnamed protein product
Bathy04g03150	predicted protein
Bathy04g03160	predicted protein
Bathy04g03170	unknown protein
Bathy04g03180	predicted protein
Bathy04g03190	predicted protein
Bathy04g03200	predicted protein
Bathy04g03210	ribosome-binding factor A
Bathy04g03220	unknown protein
Bathy04g03230	DNA-directed RNA polymerases I and III subunit RPAC1
Bathy04g03240	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy04g03250	predicted protein
Bathy04g03260	predicted protein
Bathy04g03270	predicted protein
Bathy04g03280	Qb-SNARE, NPSN1-family
Bathy04g03290	unknown protein
Bathy04g03300	predicted protein
Bathy04g03310	predicted protein
Bathy04g03320	TPR repeat-containing protein
Bathy04g03330	TPR repeat-containing protein
Bathy04g03340	SNF2 super family
Bathy04g03350	predicted protein
Bathy04g03360	predicted protein
Bathy04g03370	6-phosphogluconate dehydrogenase
Bathy04g03380	Haloacid dehalogenase domain-containing protein hydrolase
Bathy04g03390	predicted protein
Bathy04g03400	unknown protein
Bathy04g03410	predicted protein
Bathy04g03420	gamma-tubulin complex component 5-like (ISS)
Bathy04g03430	antibiotic biosynthesis monooxygenase
Bathy04g03440	60S ribosomal protein L37
Bathy04g03450	fructokinase
Bathy04g03460	predicted protein
Bathy04g03470	unknown protein
Bathy04g03480	V-type proton ATPase subunit C 1
Bathy04g03490	predicted protein
Bathy04g03500	predicted protein
Bathy04g03510	predicted protein
Bathy04g03520	Glycogenin-1
Bathy04g03530	phosphoglycerate mutase
Bathy04g03540	RNA-binding motif protein, X-linked 2
Bathy04g03550	predicted protein
Bathy04g03560	predicted protein
Bathy04g03570	predicted protein
Bathy04g03580	eukaryotic translation initiation factor 5
Bathy04g03590	predicted protein
Bathy04g03600	elongation factor G
Bathy04g03610	ABC transporter ATP-binding protein
Bathy04g03620	predicted protein
Bathy04g03630	predicted protein
Bathy04g03640	predicted protein
Bathy04g03650	HIRA
Bathy04g03660	predicted protein
Bathy04g03670	unknown protein
Bathy04g03680	SNF2 super family
Bathy04g03690	unknown protein
Bathy04g03700	phosphoserine phosphatase
Bathy04g03710	predicted protein
Bathy04g03720	enoyl-ACP reductase
Bathy04g03730	predicted protein
Bathy04g03740	predicted protein
Bathy04g03750	predicted protein
Bathy04g03760	predicted protein
Bathy04g03770	predicted protein
Bathy04g03780	unknown protein
Bathy04g03790	predicted protein
Bathy04g03800	hypothetical protein MICPUCDRAFT_50739
Bathy04g03810	predicted protein
Bathy04g03820	unknown protein
Bathy04g03830	maintenance of killer 11 protein
Bathy04g03840	unknown protein
Bathy04g03850	predicted protein
Bathy04g03860	predicted protein
Bathy04g03870	p-type ATPase superfamily
Bathy04g03880	metal-transporting ATPase-like protein (ISS)
Bathy04g03890	predicted protein
Bathy04g03900	PREDICTED: similar to predicted protein
Bathy04g03910	predicted protein
Bathy04g03920	deoxyhypusine synthase
Bathy04g03930	phytanoyl-CoA dioxygenase domain-containing protein 1
Bathy04g03940	unknown protein
Bathy04g03950	unknown protein
Bathy04g03960	predicted protein
Bathy04g03970	unknown protein
Bathy04g03980	predicted protein
Bathy04g03990	phenylalanyl-tRNA synthetase, beta subunit
Bathy04g04000	predicted protein
Bathy04g04010	unknown protein
Bathy04g04020	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
Bathy04g04030	uracil phosphoribosyltransferase
Bathy04g04040	predicted protein
Bathy04g04050	predicted protein
Bathy04g04060	epsilon frustilin
Bathy04g04070	grf-like transcription factor
Bathy04g04080	predicted protein
Bathy04g04090	predicted protein
Bathy04g04100	Drug/Metabolite transporter superfamily
Bathy04g04110	ADP-glucose pyrophosphorylase small subunit
Bathy04g04120	unknown protein
Bathy04g04130	predicted protein
Bathy04g04140	PREDICTED: similar to predicted protein
Bathy04g04150	Gat2p
Bathy04g04160	riboflavin synthase subunit alpha
Bathy04g04170	predicted protein
Bathy04g04180	predicted protein
Bathy04g04190	predicted protein
Bathy04g04200	predicted protein
Bathy04g04210	1-acyl-sn-glycerol-3-phosphate acyltransferase
Bathy04g04220	predicted protein
Bathy04g04230	unknown protein
Bathy04g04240	tryptophan synthase subunit beta
Bathy04g04250	predicted protein
Bathy04g04260	hypothetical protein MICPUN_54058
Bathy04g04270	predicted protein
Bathy04g04280	17 beta-hydroxysteroid dehydrogenase type 3, HSD17B3 (ISS)
Bathy04g04290	predicted protein
Bathy04g04300	Qc-SNARE protein, SFT1 family
Bathy04g04310	predicted protein
Bathy04g04320	MFS family transporter
Bathy04g04330	PREDICTED: similar to predicted protein
Bathy04g04340	predicted protein
Bathy04g04350	predicted protein
Bathy04g04360	unknown protein
Bathy04g04370	Na+/H+ antiporter
Bathy04g04380	PREDICTED: similar to MGC52879 protein
Bathy04g04390	putative lycopene beta cyclase
Bathy04g04400	GTP-binding protein Era
Bathy04g04410	unknown protein
Bathy04g04420	predicted protein
Bathy04g04430	predicted protein
Bathy04g04440	tetrapyrrole methylase family protein
Bathy04g04450	predicted protein
Bathy04g04460	ion channel putative
Bathy04g04470	unknown protein
Bathy04g04480	U3 small nucleolar ribonucleoprotein protein IMP3
Bathy04g04490	predicted protein
Bathy04g04500	predicted protein
Bathy04g04510	predicted protein
Bathy04g04520	unknown protein
Bathy04g04530	unknown protein
Bathy04g04540	THO complex subunit 4
Bathy04g04550	unknown protein
Bathy04g04560	unknown protein
Bathy04g04570	unknown protein
Bathy04g04580	predicted protein
Bathy04g04590	unknown protein
Bathy04g04600	predicted protein
Bathy04g04610	polyprotein
Bathy04g04620	auxin efflux carrier family
Bathy04g04630	predicted protein
Bathy04g04640	peptide methionine sulfoxide reductase
Bathy04g04650	phosphoribosylaminoimidazole-succinocarboxamide synthase
Bathy04g04660	unknown protein
Bathy04g04670	unknown protein
Bathy04g04680	predicted protein
Bathy04g04690	cytochrome c biogenesis protein
Bathy04g04700	50S ribosomal protein L33
Bathy04g04710	predicted protein
Bathy04g04720	unknown protein
Bathy04g04730	predicted protein
Bathy04g04740	succinate dehydrogenase flavoprotein subunit
Bathy04g04750	predicted protein
Bathy04g04760	60S acidic ribosomal protein P0
Bathy04g04770	ruvB-like 2
Bathy04g04780	predicted protein
Bathy04g04790	Hap2-like protein
Bathy04g04800	GPI inositol deacylase of the ER that negatively regulates COPII vesicle formation
Bathy04g04810	predicted protein
Bathy04g04820	predicted protein
Bathy04g04830	small conductance mechanosensitive ion channel family
Bathy04g04840	unknown protein
Bathy04g04850	predicted protein
Bathy04g04860	unknown protein
Bathy04g04870	filamin like protein
Bathy04g04880	predicted protein
Bathy04g04890	U6 snRNA-associated Sm-like protein LSm3
Bathy04g04900	siroheme synthase
Bathy04g04910	phosphoadenosine phosphosulfate reductase
Bathy04g04920	7,8-dihydro-8-oxoguanine triphosphatase
Bathy04g04930	unknown protein
Bathy04g04940	predicted protein
Bathy04g04950	predicted protein
Bathy04g04960	unknown protein
Bathy04g04970	predicted protein
Bathy04g04980	unknown protein
Bathy04g04990	predicted protein
Bathy04g05000	dihydropyridine-sensitive l-type calcium channel
Bathy04g05010	hypothetical protein BpV1_073
Bathy04g05020	unknown protein
Bathy04g05030	unknown protein
Bathy04g05040	predicted protein
Bathy04g05050	unknown protein
Bathy04g05060	predicted protein
Bathy04g05070	predicted protein
Bathy04g05080	unknown protein
Bathy04g05090	predicted protein
Bathy04g05100	DEAH (Asp-Glu-Ala-His) box polypeptide 16
Bathy04g05110	unknown protein
Bathy05g00010	exported exo-alpha-sialidase
Bathy05g00020	predicted protein
Bathy05g00030	predicted protein
Bathy05g00040	major facilitator superfamily
Bathy05g00050	protein of unknown function UPF0047
Bathy05g00060	predicted protein
Bathy05g00070	unknown
Bathy05g00080	predicted protein
Bathy05g00090	predicted protein
Bathy05g00100	unknown protein
Bathy05g00110	predicted protein
Bathy05g00120	predicted protein
Bathy05g00130	predicted protein
Bathy05g00140	allantoinase
Bathy05g00150	allantoinase
Bathy05g00160	unknown protein
Bathy05g00170	predicted protein
Bathy05g00180	5FI8BORFP (ISS)
Bathy05g00190	Proteasome subunit alpha type-2
Bathy05g00200	predicted protein
Bathy05g00210	predicted protein
Bathy05g00220	predicted protein
Bathy05g00230	unknown protein
Bathy05g00240	adenylate cyclase
Bathy05g00250	Qc-SNARE, Bet1/mBET1 family
Bathy05g00260	predicted protein
Bathy05g00270	tubulin folding cofactor D
Bathy05g00280	predicted protein
Bathy05g00290	unknown protein
Bathy05g00300	PREDICTED: similar to predicted protein
Bathy05g00310	unknown protein
Bathy05g00320	predicted protein
Bathy05g00330	Rad5p
Bathy05g00340	predicted protein
Bathy05g00350	unnamed protein product
Bathy05g00360	leucyl-tRNA synthetase
Bathy05g00370	predicted protein
Bathy05g00380	unknown protein
Bathy05g00390	adenylosuccinate synthetase
Bathy05g00400	OPT family oligopeptide transporter
Bathy05g00410	predicted protein
Bathy05g00420	predicted protein
Bathy05g00430	spermidine synthase
Bathy05g00440	predicted protein
Bathy05g00450	conserved hypothetical protein
Bathy05g00460	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1
Bathy05g00470	PREDICTED: similar to predicted protein
Bathy05g00480	predicted protein
Bathy05g00490	unknown protein
Bathy05g00500	predicted protein
Bathy05g00510	chaperone protein dnaJ
Bathy05g00520	peptidase M20
Bathy05g00530	predicted protein
Bathy05g00540	predicted protein
Bathy05g00550	conserved hypothetical protein
Bathy05g00560	predicted protein
Bathy05g00570	carbohydrate-binding module family 20 protein
Bathy05g00580	unknown protein
Bathy05g00590	predicted protein
Bathy05g00600	PREDICTED: similar to predicted protein
Bathy05g00610	predicted protein
Bathy05g00620	phosphoglycerate kinase
Bathy05g00630	unknown protein
Bathy05g00640	predicted protein
Bathy05g00650	predicted protein
Bathy05g00660	PREDICTED: similar to predicted protein
Bathy05g00670	unknown protein
Bathy05g00680	predicted protein
Bathy05g00690	unknown protein
Bathy05g00700	unknown protein
Bathy05g00710	unknown protein
Bathy05g00720	glycosyltransferase, putative
Bathy05g00730	predicted protein
Bathy05g00740	unknown protein
Bathy05g00750	predicted protein
Bathy05g00760	PREDICTED: similar to predicted protein
Bathy05g00770	predicted protein
Bathy05g00780	predicted protein
Bathy05g00790	predicted protein
Bathy05g00800	predicted protein
Bathy05g00810	heat shock protein 70
Bathy05g00820	predicted protein
Bathy05g00830	GTP cyclohydrolase II
Bathy05g00840	predicted protein
Bathy05g00850	predicted protein
Bathy05g00860	unknown protein
Bathy05g00870	predicted protein
Bathy05g00880	predicted protein
Bathy05g00890	serine/threonine protein kinase
Bathy05g00900	predicted protein
Bathy05g00910	large conductance mechanosensitive channel protein
Bathy05g00920	unknown protein
Bathy05g00930	unknown protein
Bathy05g00940	unknown protein
Bathy05g00950	predicted protein
Bathy05g00960	predicted protein
Bathy05g00970	unknown protein
Bathy05g00980	unnamed protein product
Bathy05g00990	hypothetical protein SYNPCC7002_A1369
Bathy05g01000	WASH complex subunit strumpellin
Bathy05g01010	predicted protein
Bathy05g01020	50S ribosomal protein L13
Bathy05g01030	glutathione S-transferase
Bathy05g01040	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
Bathy05g01050	predicted protein
Bathy05g01060	predicted protein
Bathy05g01070	RNA polymerase sigma factor RpoD
Bathy05g01080	acylamide amidohydrolase
Bathy05g01090	unknown protein
Bathy05g01100	predicted protein
Bathy05g01110	predicted protein
Bathy05g01120	predicted protein
Bathy05g01130	unknown protein
Bathy05g01140	predicted protein
Bathy05g01150	ATP-dependent RNA helicase DDX39
Bathy05g01160	unknown protein
Bathy05g01170	short-chain dehydrogenase/reductase SDR
Bathy05g01180	40S ribosomal protein S12
Bathy05g01190	PREDICTED: similar to nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1
Bathy05g01200	Ankyrin repeat domain-containing protein 39
Bathy05g01210	predicted protein
Bathy05g01220	predicted protein
Bathy05g01230	predicted protein
Bathy05g01240	thioredoxin
Bathy05g01250	unknown protein
Bathy05g01260	predicted protein
Bathy05g01270	predicted protein
Bathy05g01280	predicted protein
Bathy05g01290	predicted protein
Bathy05g01300	predicted protein
Bathy05g01310	unnamed protein product
Bathy05g01320	DUF819 protein
Bathy05g01330	nuclear condensin complex subunit Smc4, putative
Bathy05g01340	condensin complex component
Bathy05g01350	unknown protein
Bathy05g01360	predicted protein
Bathy05g01370	predicted protein
Bathy05g01380	ferredoxin
Bathy05g01390	predicted protein
Bathy05g01400	predicted protein
Bathy05g01410	predicted protein
Bathy05g01420	predicted protein
Bathy05g01430	plasma-membrane proton-efflux P-type ATPase
Bathy05g01440	predicted protein
Bathy05g01450	predicted protein
Bathy05g01460	unnamed protein product
Bathy05g01470	glutathione synthetase
Bathy05g01480	hypothetical protein
Bathy05g01490	predicted protein
Bathy05g01500	hemolysin A
Bathy05g01510	predicted protein
Bathy05g01520	predicted protein
Bathy05g01530	U6 snRNA-associated Sm-like protein LSm4
Bathy05g01540	unnamed protein product
Bathy05g01550	predicted protein
Bathy05g01560	cysteine proteinase, putative
Bathy05g01570	unknown protein
Bathy05g01580	40S ribosomal protein S11
Bathy05g01590	ABC transporter family protein
Bathy05g01600	predicted protein
Bathy05g01610	viral A-type inclusion protein
Bathy05g01620	peptide chain release factor 2
Bathy05g01630	unknown protein
Bathy05g01640	predicted protein
Bathy05g01650	predicted protein
Bathy05g01660	predicted protein
Bathy05g01670	ribulose-phosphate 3-epimerase
Bathy05g01680	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
Bathy05g01690	unknown protein
Bathy05g01700	unknown protein
Bathy05g01710	Poly(A)+ RNA export protein
Bathy05g01720	anthranilate phosphoribosyltransferase
Bathy05g01730	predicted protein
Bathy05g01740	predicted protein
Bathy05g01750	unnamed protein product
Bathy05g01760	unknown protein
Bathy05g01770	ribulose-phosphate 3-epimerase
Bathy05g01780	predicted protein
Bathy05g01790	unknown protein
Bathy05g01800	predicted protein
Bathy05g01810	predicted protein
Bathy05g01820	unknown protein
Bathy05g01830	GTP-binding protein HflX
Bathy05g01840	unknown protein
Bathy05g01850	unknown protein
Bathy05g01860	predicted protein
Bathy05g01870	conserved hypothetical protein
Bathy05g01880	carbohydrate-binding module family 20 protein
Bathy05g01890	predicted protein
Bathy05g01900	unknown protein
Bathy05g01910	predicted protein
Bathy05g01920	predicted protein
Bathy05g01930	predicted protein
Bathy05g01940	predicted protein
Bathy05g01950	predicted protein
Bathy05g01960	predicted protein
Bathy05g01970	unknown protein
Bathy05g01980	conserved hypothetical protein
Bathy05g01990	unknown protein
Bathy05g02000	major facilitator superfamily
Bathy05g02010	unknown protein
Bathy05g02020	unknown protein
Bathy05g02030	unknown protein
Bathy05g02040	unknown protein
Bathy05g02050	predicted protein
Bathy05g02060	PREDICTED: similar to predicted protein
Bathy05g02070	predicted protein
Bathy05g02080	predicted protein
Bathy05g02090	DNA polymerase IV
Bathy05g02100	predicted protein
Bathy05g02110	predicted protein
Bathy05g02120	RNA-binding S4
Bathy05g02130	predicted protein
Bathy05g02140	predicted protein
Bathy05g02150	predicted protein
Bathy05g02160	predicted protein
Bathy05g02170	predicted protein
Bathy05g02180	predicted protein
Bathy05g02190	hypothetical protein
Bathy05g02200	PREDICTED: similar to predicted protein
Bathy05g02210	5-oxoprolinase
Bathy05g02220	unnamed protein product
Bathy05g02230	rRNA-processing protein FCF1 homolog
Bathy05g02240	unknown protein
Bathy05g02250	predicted protein
Bathy05g02260	unknown protein
Bathy05g02270	predicted protein
Bathy05g02280	unknown protein
Bathy05g02290	conserved hypothetical protein
Bathy05g02300	predicted protein
Bathy05g02310	predicted protein
Bathy05g02320	peptide chain release factor 1
Bathy05g02330	predicted protein
Bathy05g02340	DNA topoisomerase I
Bathy05g02350	predicted protein
Bathy05g02360	predicted protein
Bathy05g02370	PREDICTED: similar to predicted protein
Bathy05g02380	predicted protein
Bathy05g02390	predicted protein
Bathy05g02400	predicted protein
Bathy05g02410	unknown protein
Bathy05g02420	MYB-related transcription factor LHY
Bathy05g02430	unknown protein
Bathy05g02440	unknown protein
Bathy05g02450	predicted protein
Bathy05g02460	predicted protein
Bathy05g02470	pili assembly chaperone
Bathy05g02480	predicted protein
Bathy05g02490	ATP-binding cassette superfamily
Bathy05g02500	unknown protein
Bathy05g02510	predicted protein
Bathy05g02520	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases) (ISS)
Bathy05g02530	tryptophanyl-tRNA synthetase
Bathy05g02540	unknown protein
Bathy05g02550	unknown protein
Bathy05g02560	predicted protein
Bathy05g02570	unknown protein
Bathy05g02580	unknown protein
Bathy05g02590	unnamed protein product
Bathy05g02600	unknown protein
Bathy05g02610	conserved hypothetical protein
Bathy05g02620	predicted protein
Bathy05g02630	predicted protein
Bathy05g02640	actin superfamily
Bathy05g02650	DNA polymerase I
Bathy05g02660	histone H2B
Bathy05g02670	unknown protein
Bathy05g02680	predicted protein
Bathy05g02690	protein of unknown function DUF395 YeeE/YedE
Bathy05g02700	unknown protein
Bathy05g02710	predicted protein
Bathy05g02720	unknown protein
Bathy05g02730	Drug/Metabolite transporter superfamily
Bathy05g02740	aspartate aminotransferase
Bathy05g02750	PREDICTED: similar to predicted protein
Bathy05g02760	predicted protein
Bathy05g02770	unknown protein
Bathy05g02780	unknown protein
Bathy05g02790	unknown protein
Bathy05g02800	DNA mismatch repair protein MutS
Bathy05g02810	predicted protein
Bathy05g02820	unknown protein
Bathy05g02830	predicted protein
Bathy05g02840	predicted protein
Bathy05g02850	predicted protein
Bathy05g02860	inositol monophosphatase
Bathy05g02870	predicted protein
Bathy05g02880	predicted protein
Bathy05g02890	unknown protein
Bathy05g02900	HNH endonuclease
Bathy05g02910	unknown protein
Bathy05g02920	unknown protein
Bathy05g02930	predicted protein
Bathy05g02940	predicted protein
Bathy05g02950	predicted protein
Bathy05g02960	unknown
Bathy05g02970	predicted protein
Bathy05g02980	predicted protein
Bathy05g02990	unknown protein
Bathy05g03000	PREDICTED: similar to predicted protein
Bathy05g03010	hydroxyacylglutathione hydrolase
Bathy05g03020	predicted protein
Bathy05g03030	predicted protein
Bathy05g03040	predicted protein
Bathy05g03050	cytoplasmic membrane protein
Bathy05g03060	predicted protein
Bathy05g03070	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy05g03080	predicted protein
Bathy05g03090	predicted protein
Bathy05g03100	unknown protein
Bathy05g03110	RNA-binding protein 8A
Bathy05g03120	proliferating cell nuclear antigen
Bathy05g03130	predicted protein
Bathy05g03140	dihydropteroate synthase
Bathy05g03150	predicted protein
Bathy05g03160	tyrosyl-tRNA synthetase
Bathy05g03170	predicted protein
Bathy05g03180	predicted protein
Bathy05g03190	granule-bound starch synthase I
Bathy05g03200	predicted protein
Bathy05g03210	phosphoribosylglycinamide formyltransferase
Bathy05g03220	unknown protein
Bathy05g03230	unknown protein
Bathy05g03240	predicted protein
Bathy05g03250	ATP-dependent RNA helicase DOB1
Bathy05g03260	60S ribosomal protein L17
Bathy05g03270	predicted protein
Bathy05g03280	predicted protein
Bathy05g03290	predicted protein
Bathy05g03300	predicted protein
Bathy05g03310	unknown protein
Bathy05g03320	predicted protein
Bathy05g03330	predicted protein
Bathy05g03340	predicted protein
Bathy05g03350	ATP-dependent Clp protease proteolytic subunit
Bathy05g03360	predicted protein
Bathy05g03370	predicted protein
Bathy05g03380	predicted protein
Bathy05g03390	soluble starch synthase III-1
Bathy05g03400	R-SNARE, VAMP72-family
Bathy05g03410	predicted protein
Bathy05g03420	predicted protein
Bathy05g03430	GPR1/FUN34/yaaH family protein
Bathy05g03440	predicted protein
Bathy05g03450	predicted protein
Bathy05g03460	unknown protein
Bathy05g03470	unnamed protein product
Bathy05g03480	chaperonin HslO
Bathy05g03490	predicted protein
Bathy05g03500	predicted protein
Bathy05g03510	single-stranded nucleic acid binding R3H domain-containing protein
Bathy05g03520	unknown protein
Bathy05g03530	predicted protein
Bathy05g03540	Syntaxin 4
Bathy05g03550	predicted protein
Bathy05g03560	ammonium transporter
Bathy05g03570	predicted protein
Bathy05g03580	predicted protein
Bathy05g03590	unknown protein
Bathy05g03600	unknown protein
Bathy05g03610	predicted protein
Bathy05g03620	predicted protein
Bathy05g03630	PREDICTED: similar to predicted protein
Bathy05g03640	glutamyl-tRNA synthetase
Bathy05g03650	unknown protein
Bathy05g03660	unknown
Bathy05g03670	midasin
Bathy05g03680	predicted protein
Bathy05g03690	predicted protein
Bathy05g03700	G-patch domain-containing protein
Bathy05g03710	preprotein translocase subunit SecA
Bathy05g03720	unknown protein
Bathy05g03730	predicted protein
Bathy05g03740	AMP-dependent synthetase and ligase
Bathy05g03750	PREDICTED: similar to predicted protein
Bathy05g03760	protoporphyrinogen oxidase
Bathy05g03770	predicted protein
Bathy05g03780	5'-3' exoribonuclease
Bathy05g03790	photosystem I assembly protein Ycf4
Bathy05g03800	dynein heavy chain
Bathy05g03810	unknown protein
Bathy05g03820	unknown protein
Bathy05g03830	predicted protein
Bathy05g03840	predicted protein
Bathy05g03850	ureidoglycolate dehydrogenase
Bathy05g03860	predicted protein
Bathy05g03870	aminophospholipid ATPase
Bathy05g03880	predicted protein
Bathy05g03890	predicted protein
Bathy05g03900	predicted protein
Bathy05g03910	unknown protein
Bathy05g03920	predicted protein
Bathy05g03930	predicted protein
Bathy05g03940	novel protein containing EGF-like domains
Bathy05g03950	predicted protein
Bathy05g03960	unnamed protein product
Bathy05g03970	predicted protein
Bathy05g03980	ORF73
Bathy05g03990	tubulin-specific chaperone c, putative
Bathy05g04000	predicted protein
Bathy05g04010	predicted protein
