"Gene" "Common ID or description"
"1083" "ostta02g04260" "ENTH/VHS                  "
"1084" "ostta02g04270" "Cytochrome b5-like heme/steroid binding domain              "
"1085" "ostta02g04280" "unnamed product                 "
"1086" "ostta02g04290" "Rpn11/EIF3F C-terminal domain                "
"1087" "ostta02g04300" "RWP-RK domain                 "
"1088" "ostta02g04310" "DnaJ domain                 "
"1089" "ostta02g04320" "Synaptobrevin                  "
"1090" "ostta02g04325" "Magnesium-dependent phosphatase-1, eukaryotic/arcaheal type               "
"1091" "ostta02g04330" "Magnesium-dependent phosphatase-1, eukaryotic/arcaheal type               "
"1092" "ostta02g04340" "Short-chain dehydrogenase/reductase SDR                "
"1093" "ostta02g04350" "Phytase-like domain                 "
"1094" "ostta02g04360" "Pyruvate, phosphate dikinase                "
"1095" "ostta02g04390" "Ribosomal protein L15e, conserved site              "
"1096" "ostta02g04400" "EGF-like, conserved site                "
"1097" "ostta02g04410" "unnamed product                 "
"1098" "ostta02g04420" "unnamed product                 "
"1099" "ostta02g04430" "Tetratricopeptide-like helical                 "
"1100" "ostta02g04440" "Methyltransferase type 11                "
"1101" "ostta02g04450" "NADP-binding domain                 "
"1102" "ostta02g04460" "Beta-ketoacyl synthase, active site               "
"1103" "ostta02g04470" "AMP deaminase                 "
"1104" "ostta02g04480" "unnamed product                 "
"1105" "ostta02g04490" "unnamed product                 "
"1106" "ostta02g04500" "Mitochondrial substrate/solute carrier                "
"1107" "ostta02g04510" "unnamed product                 "
"1108" "ostta02g04520" "unnamed product                 "
"1109" "ostta02g04530" "unnamed product                 "
"1110" "ostta02g04540" "Phosphomannose isomerase, type I, conserved site             "
"1111" "ostta02g04550" "Patatin/Phospholipase A2-related                 "
"1112" "ostta02g04560" "Translation elongation/initiation factor/Ribosomal, beta-barrel               "
"1113" "ostta02g04570" "Glycoside hydrolase, catalytic domain               "
"1114" "ostta02g04580" "WW domain                 "
"1115" "ostta02g04590" "unnamed product                 "
"1116" "ostta02g04600" "Glycine-tRNA ligase, alpha subunit               "
"1117" "ostta02g04610" "RelA/SpoT                  "
"1118" "ostta02g04620" "Nucleotide-diphospho-sugar transferase                 "
"1119" "ostta02g04630" "unnamed product                 "
"1120" "ostta02g04640" "unnamed product                 "
"1121" "ostta02g04650" "Ribosomal protein L9, C-terminal               "
"1122" "ostta02g04660" "Polyketide synthase, KR                "
"1123" "ostta02g04670" "WD40/YVTN repeat-like-containing domain                "
"1124" "ostta02g04680" "Ribosomal protein S1, RNA-binding domain              "
"1125" "ostta02g04700" "Plastid lipid-associated protein/fibrillin conserved domain              "
"1126" "ostta02g04710" "Peroxisome biogenesis factor 1 N-terminal              "
"1127" "ostta02g04720" "unnamed product                 "
"1128" "ostta02g04730" "unnamed product                 "
"1129" "ostta02g04740" "Lipopolysaccharide-modifying protein                 "
"1130" "ostta02g04750" "unnamed product                 "
"1131" "ostta02g04760" "Mitochondrial substrate/solute carrier                "
"1132" "ostta02g04770" "unnamed product                 "
"1133" "ostta02g04780" "unnamed product                 "
"1134" "ostta02g04790" "Metridin-like ShK toxin                "
"1135" "ostta02g04800" "Chlorophyll A-B binding protein, plant              "
"1136" "ostta02g04810" "Glycoside hydrolase, catalytic domain               "
"1137" "ostta02g04815" "hypothetical protein n/a  hypothetical protein             "
"1138" "ostta02g04817" "Myb domain, plants n/a  Myb domain, plants           "
"1139" "ostta02g04820" "Chloramphenicol acetyltransferase-like domain                "
"1140" "ostta02g04830" "Protein kinase-like domain                "
"1141" "ostta02g04840" "unnamed product                 "
"1142" "ostta02g04850" "unnamed product                 "
"1143" "ostta02g04860" "Cobalamin vitamin B12 biosynthesis CobW-like, C-terminal             "
"1144" "ostta02g04870" "Pseudouridine synthase, RluC/RluD, conserved site              "
"1145" "ostta02g04880" "Chloroplast envelope membrane protein, CemA              "
"1146" "ostta02g04890" "Chloride channel, voltage gated               "
"1147" "ostta02g04900" "Bicoid-interacting 3                 "
"1148" "ostta02g04905" "hypothetical protein                 "
"1149" "ostta02g04910" "Peroxisome assembly protein 12               "
"1150" "ostta02g04920" "Cytochrome c oxidase subunit Vc              "
"1151" "ostta02g04930" "unnamed product                 "
"1152" "ostta02g04940" "unnamed product                 "
"1153" "ostta02g04950" "Transcription factor IIS, N-terminal               "
"1154" "ostta02g04960" "SGNH hydrolase-type esterase domain               "
"1155" "ostta02g04970" "Glyoxalase-like domain                 "
"1156" "ostta02g04980" "Mog1/PsbP, alpha/beta/alpha sandwich                "
"1157" "ostta02g04990" "Translation elongation factor EFTs/EF1B, dimerisation              "
"1158" "ostta02g05000" "unnamed product                 "
"1159" "ostta02g05010" "Notch domain                 "
"1160" "ostta02g05020" "unnamed product                 "
"1161" "ostta02g05030" "Tetratricopeptide-like helical                 "
"1162" "ostta02g05040" "Na+/H+ antiporter NhaA                "
"1163" "ostta02g05050" "unnamed product                 "
"1164" "ostta02g05060" "Glycoside hydrolase, family 13 N-terminal              "
"1165" "ostta02g05070" "ABC transporter, conserved site               "
"1166" "ostta02g05080" "mRNA capping enzyme                "
"1167" "ostta02g05090" "tRNA-guanine15 transglycosylase-like                 "
"1168" "ostta02g05100" "Uracil-5-methyltransferase n/a  Uracil-5-methyltransferase               "
"1169" "ostta02g05105" "hypothetical protein                 "
"1170" "ostta02g05110" "Zinc finger, DPH-type                "
"1171" "ostta02g05115" "Zinc finger, DPH-type                "
"1172" "ostta02g05120" "Oxidoreductase-like, N-terminal                 "
"1173" "ostta02g05130" "Tetratricopeptide repeat                 "
"1174" "ostta02g05140" "Nucleotide sugar epimerase                "
"1175" "ostta02g05150" "unnamed product                 "
"1176" "ostta02g05160" "Fumarylacetoacetase, C-terminal                 "
"1177" "ostta02g05170" "Protein of unknown function DUF3464              "
"1178" "ostta02g05180" "unnamed product                 "
"1179" "ostta02g05190" "SANT/Myb domain                 "
"1180" "ostta02g05200" "Peptide deformylase                 "
"1181" "ostta02g05210" "ENTH/VHS                  "
"1182" "ostta02g05220" "unnamed product                 "
"1183" "ostta02g05225" "RmlC-like jelly roll fold               "
"1184" "ostta02g05230" "RmlC-like jelly roll fold               "
"1185" "ostta02g05240" "Structure-specific recognition protein                "
"1186" "ostta02g05250" "Histone-fold                  "
"1187" "ostta02g05260" "unnamed product                 "
"1188" "ostta02g05270" "Protein of unknown function DUF1517              "
"1189" "ostta02g05280" "Pseudouridine synthase, RsuA/RluB/C/D/E/F                "
"1190" "ostta02g05290" "unnamed product                 "
"1191" "ostta02g05300" "unnamed product                 "
"1192" "ostta02g05310" "unnamed product                 "
"1193" "ostta02g05320" "unnamed product                 "
"1194" "ostta02g05330" "Methyltransferase FkbM                 "
"1195" "ostta02g05340" "unnamed product                 "
"1196" "ostta02g05350" "Phosphatidylinositol-4-phosphate 5-kinase, core                "
"1197" "ostta02g05360" "Triose-phosphate transporter domain                "
"1198" "ostta02g05370" "Ribosomal protein L11                "
"1199" "ostta02g05380" "Nucleotide-sugar transporter                 "
"1200" "ostta02g05390" "Quinonprotein alcohol dehydrogenase-like superfamily               "
"1201" "ostta02g05400" "Ribonucleoprotein LSM domain, eukaryotic/archaea-type               "
"1202" "ostta02g05410" "unnamed product                 "
"1203" "ostta02g05420" "Lipopolysaccharide-modifying protein                 "
"1204" "ostta02g05430" "unnamed product                 "
"1205" "ostta02g05440" "5'-Nucleotidase/apyrase                  "
"1206" "ostta02g05450" "5'-Nucleotidase/apyrase                  "
"1207" "ostta02g05460" "unnamed product                 "
"1208" "ostta02g05470" "Protein phosphatase methylesterase, eukaryotic               "
"1209" "ostta02g05480" "Ribosomal protein L10/acidic P0               "
"1210" "ostta02g05490" "Major facilitator superfamily domain, general substrate transporter            "
"1211" "ostta02g05500" "unnamed product                 "
"1212" "ostta02g05510" "Fatty acid desaturase, type 1              "
"1213" "ostta02g05520" "Molybdopterin cofactor biosynthesis C MoaC domain             "
"1214" "ostta02g05530" "DNA/RNA helicase, DEAD/DEAH box type, N-terminal             "
"1215" "ostta02g05540" "unnamed product                 "
"1216" "ostta02g05550" "Nucleotide sugar dehydrogenase                "
"1217" "ostta03g00010" "unnamed product                 "
"1218" "ostta03g00020" "Paraquat-inducible protein A n/a  Paraquat-inducible protein A           "
"1219" "ostta03g00030" "unnamed product                 "
"1220" "ostta03g00040" "ABC transporter, conserved site               "
"1221" "ostta03g00050" "unnamed product                 "
"1222" "ostta03g00060" "RNA C5-cytosine methyltransferase                "
"1223" "ostta03g00070" "Ubiquitin-like domain                 "
"1224" "ostta03g00080" "unnamed product                 "
"1225" "ostta03g00090" "Uncharacterised protein family Ycf49               "
"1226" "ostta03g00100" "unnamed product                 "
"1227" "ostta03g00110" "unnamed product                 "
"1228" "ostta03g00120" "Nucleotide-diphospho-sugar transferase                 "
"1229" "ostta03g00130" "unnamed product                 "
"1230" "ostta03g00140" "Oxysterol-binding protein                 "
"1231" "ostta03g00150" "unnamed product                 "
"1232" "ostta03g00160" "NADP-dependent oxidoreductase domain                "
"1233" "ostta03g00170" "P-loop containing nucleoside triphosphate hydrolase              "
"1234" "ostta03g00180" "Lactate dehydrogenase/glycoside hydrolase, family 4 C-terminal             "
"1235" "ostta03g00190" "Bile acid:sodium symporter                "
"1236" "ostta03g00200" "WD40/YVTN repeat-like-containing domain                "
"1237" "ostta03g00210" "unnamed product                 "
"1238" "ostta03g00220" "Ribulose-phosphate binding barrel                "
"1239" "ostta03g00230" "unnamed product                 "
"1240" "ostta03g00240" "Concanavalin A-like lectin/glucanase, subgroup               "
"1241" "ostta03g00250" "Zinc finger, CCCH-type                "
"1242" "ostta03g00260" "Optic atrophy 3-like                "
"1243" "ostta03g00270" "Armadillo-type fold                 "
"1244" "ostta03g00280" "Thioredoxin-like fold                 "
"1245" "ostta03g00290" "Arfaptin homology AH domain/BAR domain              "
"1246" "ostta03g00300" "Steadiness box                 "
"1247" "ostta03g00310" "unnamed product                 "
"1248" "ostta03g00320" "P-loop containing nucleoside triphosphate hydrolase              "
"1249" "ostta03g00330" "Donson                  "
"1250" "ostta03g00340" "unnamed product                 "
"1251" "ostta03g00350" "Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase                "
"1252" "ostta03g00360" "Nucleic acid-binding, OB-fold                "
"1253" "ostta03g00370" "Endoplasmic reticulum, stress-associated Ramp4               "
"1254" "ostta03g00380" "Major facilitator superfamily domain, general substrate transporter            "
"1255" "ostta03g00390" "unnamed product                 "
"1256" "ostta03g00400" "U2 snRNP auxilliary factor, large subunit, splicing factor           "
"1257" "ostta03g00410" "Drug/metabolite transporter                 "
"1258" "ostta03g00420" "HD/PDEase domain                 "
"1259" "ostta03g00430" "Thioredoxin-like fold                 "
"1260" "ostta03g00440" "unnamed product                 "
"1261" "ostta03g00450" "Dimeric alpha-beta barrel                "
"1262" "ostta03g00460" "Janus/Ocnus                  "
"1263" "ostta03g00470" "unnamed product                 "
"1264" "ostta03g00480" "Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site             "
"1265" "ostta03g00490" "U6 snRNA-associated Sm-like protein LSm4/Small nuclear ribonucleoprotein Sm D1/D3          "
"1266" "ostta03g00500" "Decaprenyl diphosphate synthase-like                "
"1267" "ostta03g00510" "BCCT transporter family                "
"1268" "ostta03g00520" "Phospholipid methyltransferase                 "
"1269" "ostta03g00530" "unnamed product                 "
"1270" "ostta03g00540" "P-loop containing nucleoside triphosphate hydrolase              "
"1271" "ostta03g00550" "Histidine phosphatase superfamily, clade-1               "
"1272" "ostta03g00560" "unnamed product                 "
"1273" "ostta03g00570" "Ubiquitin fusion degradation protein UFD1              "
"1274" "ostta03g00580" "Mitochondrial import inner membrane translocase subunit Tim21            "
"1275" "ostta03g00590" "Major facilitator superfamily domain, general substrate transporter            "
"1276" "ostta03g00600" "unnamed product                 "
"1277" "ostta03g00610" "3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal                "
"1278" "ostta03g00620" "Triose phosphate/phosphoenolpyruvate translocator                "
"1279" "ostta03g00630" "unnamed product                 "
"1280" "ostta03g00640" "Peptidase S1C                 "
"1281" "ostta03g00650" "Aromatic-ring hydroxylase-like                 "
"1282" "ostta03g00655" "TRAM/LAG1/CLN8 homology domain                "
"1283" "ostta03g00660" "Fructose-bisphosphate aldolase, class-I                "
"1284" "ostta03g00670" "unnamed product                 "
"1285" "ostta03g00680" "Thioredoxin, conserved site                "
"1286" "ostta03g00690" "NOSIC                  "
"1287" "ostta03g00700" "Oxoglutarate/iron-dependent dioxygenase                 "
"1288" "ostta03g00710" "Armadillo-type fold                 "
"1289" "ostta03g00720" "unnamed product                 "
"1290" "ostta03g00730" "Histidine phosphatase superfamily, clade-1               "
"1291" "ostta03g00740" "Leucine-rich repeat, ribonuclease inhibitor subtype              "
"1292" "ostta03g00750" "Rubisco LS methyltransferase, substrate-binding domain              "
"1293" "ostta03g00760" "Transcription factor MYC/MYB N-terminal               "
"1294" "ostta03g00770" "MIF4-like, type 01/02/03                "
"1295" "ostta03g00780" "Polyribonucleotide nucleotidyltransferase                 "
"1296" "ostta03g00790" "NLI interacting factor                "
"1297" "ostta03g00800" "Thioesterase superfamily                 "
"1298" "ostta03g00810" "unnamed product                 "
"1299" "ostta03g00820" "Carbohydrate kinase, FGGY, C-terminal               "
"1300" "ostta03g00830" "Pyridoxal phosphate-dependent transferase, major region, subdomain 2            "
"1301" "ostta03g00840" "SANT/Myb domain                 "
"1302" "ostta03g00850" "Ribosomal protein L18/L5                "
"1303" "ostta03g00860" "Nucleotide-binding, alpha-beta plait                "
"1304" "ostta03g00870" "Glycosyl hydrolase, family 13 catalytic domain             "
"1305" "ostta03g00880" "Prenyltransferase/squalene oxidase                 "
"1306" "ostta03g00887" "Uncharacterised protein family UPF0250               "
"1307" "ostta03g00890" "Uncharacterised protein family UPF0250               "
"1308" "ostta03g00900" "unnamed product                 "
"1309" "ostta03g00910" "unnamed product                 "
"1310" "ostta03g00920" "Serine hydroxymethyltransferase                 "
"1311" "ostta03g00930" "FAD linked oxidase, N-terminal               "
"1312" "ostta03g00940" "WD40 repeat                 "
"1313" "ostta03g00950" "Protein of unknown function DUF2838              "
"1314" "ostta03g00960" "Ankyrin repeat                 "
"1315" "ostta03g00970" "Mitochondrial import inner membrane translocase subunit Tim10/Tim12            "
"1316" "ostta03g00980" "Major facilitator superfamily domain, general substrate transporter            "
"1317" "ostta03g00990" "unnamed product                 "
"1318" "ostta03g01000" "Beta-lactamase-like                  "
"1319" "ostta03g01010" "unnamed product                 "
"1320" "ostta03g01020" "Ribosomal protein S10, eukaryotic/archaeal               "
"1321" "ostta03g01030" "Chloramphenicol acetyltransferase-like domain                "
"1322" "ostta03g01040" "Inositol monophosphatase, metal-binding site               "
"1323" "ostta03g01050" "Frag1/DRAM/Sfk1                  "
"1324" "ostta03g01060" "unnamed product                 "
"1325" "ostta03g01070" "DNA-directed RNA polymerase Rpb11, 13-16kDa subunit, conserved site           "
"1326" "ostta03g01080" "Chaperonin-like RbcX                 "
"1327" "ostta03g01090" "Zinc finger, PHD-finger                "
"1328" "ostta03g01100" "Zinc finger, GATA-type                "
"1329" "ostta03g01110" "Rab-GTPase-TBC domain                 "
"1330" "ostta03g01120" "unnamed product                 "
"1331" "ostta03g01130" "P-loop containing nucleoside triphosphate hydrolase              "
"1332" "ostta03g01140" "Exonuclease, RNase T/DNA polymerase III              "
"1333" "ostta03g01150" "26S proteasome subunit P45               "
"1334" "ostta03g01160" "Orotidine 5'-phosphate decarboxylase, active site              "
"1335" "ostta03g01170" "Ribosomal protein S10                "
"1336" "ostta03g01180" "Serine/threonine- / dual specificity protein kinase, catalytic  domain          "
"1337" "ostta03g01190" "K Homology domain, type 1              "
"1338" "ostta03g01200" "Spermidine/spermine synthases family                "
"1339" "ostta03g01210" "TPMT family                 "
"1340" "ostta03g01220" "FAS1 domain                 "
"1341" "ostta03g01240" "unnamed product                 "
"1342" "ostta03g01250" "unnamed product                 "
"1343" "ostta03g01260" "Protein kinase-like domain                "
"1344" "ostta03g01270" "Rhodanese-like domain                 "
"1345" "ostta03g01280" "Mitochondrial substrate/solute carrier                "
"1346" "ostta03g01290" "unnamed product                 "
"1347" "ostta03g01300" "Tetratricopeptide repeat                 "
"1348" "ostta03g01310" "unnamed product                 "
"1349" "ostta03g01320" "Asparagine synthase, glutamine-hydrolyzing                "
"1350" "ostta03g01330" "unnamed product                 "
"1351" "ostta03g01340" "unnamed product                 "
"1352" "ostta03g01350" "unnamed product                 "
"1353" "ostta03g01360" "unnamed product                 "
"1354" "ostta03g01370" "Alcohol dehydrogenase superfamily, zinc-type               "
"1355" "ostta03g01380" "Zinc finger, HIT-type                "
"1356" "ostta03g01390" "unnamed product                 "
"1357" "ostta03g01400" "Ribosomal protein L13                "
"1358" "ostta03g01410" "Transaldolase                  "
"1359" "ostta03g01420" "hypothetical protein n/a  unnamed product n/a  unnamed product         "
"1360" "ostta03g01430" "unnamed product                 "
"1361" "ostta03g01440" "Plastid lipid-associated protein/fibrillin conserved domain              "
"1362" "ostta03g01450" "Armadillo-type fold                 "
"1363" "ostta03g01460" "WD40 repeat                 "
"1364" "ostta03g01470" "Chaperonin TCP-1, conserved site               "
"1365" "ostta03g01490" "Acyl-CoA N-acyltransferase                 "
"1366" "ostta03g01500" "Armadillo-like helical                 "
"1367" "ostta03g01510" "P-loop containing nucleoside triphosphate hydrolase              "
"1368" "ostta03g01520" "Mpv17/PMP22                  "
"1369" "ostta03g01525" "Domain of unknown function DUF3641              "
"1370" "ostta03g01530" "Domain of unknown function DUF3641              "
"1371" "ostta03g01540" "unnamed product                 "
"1372" "ostta03g01550" "unnamed product                 "
"1373" "ostta03g01560" "Histidine triad HIT protein               "
"1374" "ostta03g01570" "Domain of unknown function DUF292, eukaryotic             "
"1375" "ostta03g01580" "FAD-dependent glycerol-3-phosphate dehydrogenase                "
"1376" "ostta03g01590" "Sel1-like                  "
"1377" "ostta03g01600" "Ribosomal protein L30, ferredoxin-like fold domain             "
"1378" "ostta03g01610" "EMSY N-terminal                 "
"1379" "ostta03g01620" "unnamed product                 "
"1380" "ostta03g01630" "Concanavalin A-like lectin/glucanase, subgroup               "
"1381" "ostta03g01635" "Ribonucleoprotein LSM domain, eukaryotic/archaea-type               "
"1382" "ostta03g01640" "ABC transporter, conserved site               "
"1383" "ostta03g01650" "SOUL haem-binding protein                "
"1384" "ostta03g01660" "unnamed product                 "
"1385" "ostta03g01670" "WD40/YVTN repeat-like-containing domain                "
"1386" "ostta03g01680" "Helicase, C-terminal                 "
"1387" "ostta03g01690" "Tetratricopeptide repeat                 "
"1388" "ostta03g01700" "Methyltransferase domain                 "
"1389" "ostta03g01710" "Triose-phosphate transporter domain                "
"1390" "ostta03g01720" "Oxoglutarate/iron-dependent dioxygenase                 "
"1391" "ostta03g01730" "unnamed product                 "
"1392" "ostta03g01740" "unnamed product                 "
"1393" "ostta03g01750" "Signal transduction response regulator, receiver domain             "
"1394" "ostta03g01760" "unnamed product                 "
"1395" "ostta03g01770" "SNARE associated Golgi protein               "
"1396" "ostta03g01780" "DNA topoisomerase, type IIA, conserved site             "
"1397" "ostta03g01790" "unnamed product                 "
"1398" "ostta03g01800" "ACN9                  "
"1399" "ostta03g01810" "Mitochondrial outer membrane translocase complex, subunit Tom22            "
"1400" "ostta03g01820" "Hyaluronan/mRNA-binding protein                 "
"1401" "ostta03g01830" "WD40/YVTN repeat-like-containing domain                "
"1402" "ostta03g01840" "Urease accessory protein UreD               "
"1403" "ostta03g01850" "unnamed product                 "
"1404" "ostta03g01860" "P-loop containing nucleoside triphosphate hydrolase              "
"1405" "ostta03g01870" "Domain of unknown function DUF1995              "
"1406" "ostta03g01880" "tRNA-dihydrouridine synthase, conserved site               "
"1407" "ostta03g01890" "Phosphatidylinositol 3/4-kinase, conserved site               "
"1408" "ostta03g01900" "Zinc finger, RING/FYVE/PHD-type                "
"1409" "ostta03g01910" "Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24           "
"1410" "ostta03g01920" "Thioredoxin-like fold                 "
"1411" "ostta03g01930" "DnaJ domain, conserved site               "
"1412" "ostta03g01940" "G-patch domain                 "
"1413" "ostta03g01950" "Adipose-regulatory protein, Seipin                "
"1414" "ostta03g01960" "Defective-in-cullin neddylation protein                "
"1415" "ostta03g01970" "Major facilitator superfamily domain, general substrate transporter            "
"1416" "ostta03g01980" "unnamed product                 "
"1417" "ostta03g01990" "Ribonuclease H-like domain                "
"1418" "ostta03g02000" "tRNAIle-lysidine/2-thiocytidine synthase                 "
"1419" "ostta03g02010" "Complex 1 LYR protein               "
"1420" "ostta03g02020" "Protein kinase-like domain                "
"1421" "ostta03g02030" "unnamed product                 "
"1422" "ostta03g02040" "unnamed product                 "
"1423" "ostta03g02050" "Thioredoxin-like fold                 "
"1424" "ostta03g02060" "rRNA processing                 "
"1425" "ostta03g02070" "unnamed product                 "
"1426" "ostta03g02080" "Mog1/PsbP, alpha/beta/alpha sandwich                "
"1427" "ostta03g02090" "Major royal jelly-related                "
"1428" "ostta03g02100" "Translation elongation/initiation factor/Ribosomal, beta-barrel               "
"1429" "ostta03g02110" "unnamed product                 "
"1430" "ostta03g02120" "unnamed product                 "
"1431" "ostta03g02130" "Phosphatidic acid phosphatase type 2/haloperoxidase              "
"1432" "ostta03g02140" "Ubiquitin supergroup                 "
"1433" "ostta03g02150" "Exoribonuclease, phosphorolytic domain 2               "
"1434" "ostta03g02160" "unnamed product                 "
"1435" "ostta03g02170" "Reduced growth phenotype protein 1              "
"1436" "ostta03g02180" "Conserved oligomeric Golgi complex, subunit 2 N-terminal            "
"1437" "ostta03g02190" "EF-hand domain pair                "
"1438" "ostta03g02200" "Serine/threonine-protein kinase, active site               "
"1439" "ostta03g02210" "WD40 repeat                 "
"1440" "ostta03g02220" "DNA-binding domain                 "
"1441" "ostta03g02230" "Membrane insertase OXA1/ALB3/YidC                "
"1442" "ostta03g02240" "YHYH domain                 "
"1443" "ostta03g02250" "2-oxoglutarate dehydrogenase, E1 component               "
"1444" "ostta03g02260" "unnamed product                 "
"1445" "ostta03g02270" "Cyclin C                 "
"1446" "ostta03g02275" "NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3          "
"1447" "ostta03g02280" "NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3          "
"1448" "ostta03g02290" "HSP20-like chaperone                 "
"1449" "ostta03g02300" "Pyridoxal phosphate-dependent transferase, major region, subdomain 2            "
"1450" "ostta03g02310" "DNA/RNA-binding protein Alba-like                "
"1451" "ostta03g02320" "GPI mannosyltransferase                 "
"1452" "ostta03g02330" "Leucine rich repeat 4               "
"1453" "ostta03g02340" "Helicase, C-terminal                 "
"1454" "ostta03g02350" "unnamed product                 "
"1455" "ostta03g02360" "TATA-binding protein interacting TIP20               "
"1456" "ostta03g02370" "Rhodanese-like domain                 "
"1457" "ostta03g02380" "Nucleotide-binding, alpha-beta plait                "
"1458" "ostta03g02390" "Polyprenyl synthetase                 "
"1459" "ostta03g02400" "Kinetochore protein Nuf2                "
"1460" "ostta03g02410" "Nucleotide-binding, alpha-beta plait                "
"1461" "ostta03g02420" "Aspartyl/glutamyl-tRNAAsn/Gln amidotransferase, C subunit               "
"1462" "ostta03g02430" "Leucine-rich repeat                 "
"1463" "ostta03g02440" "GPR1/FUN34/yaaH                  "
"1464" "ostta03g02450" "Armadillo-type fold                 "
"1465" "ostta03g02460" "Protein of unknown function DUF3181              "
"1466" "ostta03g02470" "Acetohydroxy acid isomeroreductase, catalytic               "
"1467" "ostta03g02480" "Ubiquitin-conjugating enzyme/RWD-like                 "
"1468" "ostta03g02490" "Apc13p                  "
"1469" "ostta03g02500" "Mitochondrial substrate/solute carrier                "
"1470" "ostta03g02510" "Ubiquitin-conjugating enzyme/RWD-like                 "
"1471" "ostta03g02520" "Amino acid transporter, transmembrane               "
"1472" "ostta03g02530" "Exoribonuclease, phosphorolytic domain 2               "
"1473" "ostta03g02540" "RNA-recognition motif RRM Nup35-type domain              "
"1474" "ostta03g02550" "NUDIX hydrolase domain-like                "
"1475" "ostta03g02560" "Zinc finger, CHCC-type                "
"1476" "ostta03g02570" "AMP-dependent synthetase/ligase                 "
"1477" "ostta03g02580" "Pentatricopeptide repeat                 "
"1478" "ostta03g02590" "RmlC-like jelly roll fold               "
"1479" "ostta03g02600" "Nucleoporin protein Ndc1-Nup                "
"1480" "ostta03g02610" "tRNA uracil54-C5-methyltransferase,TrmA,  proteobacteria               "
"1481" "ostta03g02620" "SPOUT methyltransferase, predicted                "
"1482" "ostta03g02630" "Exodeoxyribonuclease III xth                "
"1483" "ostta03g02640" "Tetratricopeptide-like helical                 "
"1484" "ostta03g02650" "Ribosome biogenesis protein BRX1               "
"1485" "ostta03g02660" "Major facilitator superfamily domain, general substrate transporter            "
"1486" "ostta03g02670" "Zinc finger, ZZ-type                "
"1487" "ostta03g02680" "Peptidase S54, rhomboid domain               "
"1488" "ostta03g02690" "unnamed product                 "
"1489" "ostta03g02700" "F-box domain                 "
"1490" "ostta03g02710" "unnamed product                 "
"1491" "ostta03g02720" "unnamed product                 "
"1492" "ostta03g02730" "Cation efflux protein                "
"1493" "ostta03g02740" "Basic-leucine zipper domain                "
"1494" "ostta03g02750" "Zinc finger, CCCH-type                "
"1495" "ostta03g02760" "Origin recognition complex, subunit 5              "
"1496" "ostta03g02770" "Ribosomal protein S6, eukaryotic               "
"1497" "ostta03g02780" "unnamed product                 "
"1498" "ostta03g02790" "Cullin repeat-like-containing domain                "
"1499" "ostta03g02800" "unnamed product                 "
"1500" "ostta03g02810" "Prefoldin                  "
"1501" "ostta03g02820" "3-isopropylmalate dehydratase, small subunit               "
"1502" "ostta03g02825" "Thioredoxin-like fold                 "
"1503" "ostta03g02830" "Pyridoxal phosphate-dependent transferase, major region, subdomain 2            "
"1504" "ostta03g02840" "Poly A polymerase, head domain              "
"1505" "ostta03g02850" "POPLD                  "
"1506" "ostta03g02860" "Aminoacyl-tRNA synthetase, class Ia               "
"1507" "ostta03g02870" "DnaJ domain                 "
"1508" "ostta03g02880" "26S proteasome subunit P45               "
"1509" "ostta03g02890" "NADP-binding domain                 "
"1510" "ostta03g02910" "Pinin/SDK/MemA protein                 "
"1511" "ostta03g02920" "Carboxylesterase, type B                "
"1512" "ostta03g02925" "Photosystem II Psp29, biogenesis               "
"1513" "ostta03g02930" "unnamed product                 "
"1514" "ostta03g02940" "Acid phosphatase/vanadium-dependent haloperoxidase-related                "
"1515" "ostta03g02950" "Tetratricopeptide repeat-containing domain                "
"1516" "ostta03g02960" "Ribosomal protein L28                "
"1517" "ostta03g02970" "Vacuolar H+-ATPase G subunit               "
"1518" "ostta03g02980" "Myb domain, plants                "
"1519" "ostta03g03000" "MiaB-like tRNA modifying enzyme, archaeal-type              "
"1520" "ostta03g03010" "Ribosomal RNA large subunit methyltransferase E             "
"1521" "ostta03g03015" "Translation elongation factor P/YeiP, central              "
"1522" "ostta03g03020" "RmlC-like jelly roll fold               "
"1523" "ostta03g03030" "Histidine phosphatase superfamily, clade-2               "
"1524" "ostta03g03040" "Fatty acid desaturase, type 1              "
"1525" "ostta03g03050" "Pyridoxal phosphate-dependent transferase, major region, subdomain 2            "
"1526" "ostta03g03060" "Zinc finger, PHD-finger                "
"1527" "ostta03g03070" "tRNA isopentenyltransferase                 "
"1528" "ostta03g03080" "3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal                "
"1529" "ostta03g03090" "unnamed product                 "
"1530" "ostta03g03100" "GTP-binding protein Obg/CgtA                "
"1531" "ostta03g03110" "unnamed product                 "
"1532" "ostta03g03120" "Basic-leucine zipper domain                "
"1533" "ostta03g03130" "T-complex protein 1 alpha subunit              "
"1534" "ostta03g03140" "tRNA wybutosine-synthesis                 "
