ID	type	annotation
kfl00055_0390p	CDS	hypothetical protein
kfl00056_0010	CDS	putative DNA-directed RNA polymerase large subunit
kfl00056_0020	CDS	hypothetical protein
kfl00056_0030	CDS	hypothetical protein
kfl00056_0040	CDS	hypothetical protein
kfl00056_0050	CDS	Toc75, chloroplast outer envelope translocon protein 
kfl00056_0060	CDS	dual specificity protein phosphatase
kfl00056_0070	CDS	Calcium-binding EF hand family protein
kfl00056_0080	CDS	alpha/beta hydrolase superfamily
kfl00056_0090	CDS	hypothetical protein
kfl00056_0100	CDS	hypothetical protein
kfl00056_0110	CDS	DEAD-like helicases superfamily
kfl00056_0120	CDS	FKBP-type peptidyl-prolyl cis-trans isomerase family protein
kfl00056_0130	CDS	RAD54L, RAD54; DNA repair and recombination protein RAD54 and RAD54-like protein
kfl00056_0140	CDS	ammonium transporter 2
kfl00056_0150	CDS	3-dehydroquinate synthase, putative
kfl00056_0160	CDS	hypothetical protein
kfl00056_0170	CDS	hypothetical protein
kfl00056_0180	CDS	hypothetical protein
kfl00056_0190	CDS	hypothetical protein
kfl00056_0200	CDS	hypothetical protein
kfl00056_0210	CDS	aquaporin
kfl00056_0220	CDS	pleiotropic drug resistance protein,ABC transporter G family
kfl00056_0230	CDS	hypothetical protein
kfl00056_0240	CDS	hypothetical protein
kfl00056_0250	CDS	hypothetical protein
kfl00056_0260	CDS	WNK1; serine/threonine-protein kinase WNK1
kfl00056_0270	CDS	hypothetical protein
kfl00056_0280	CDS	natural resistance-associated macrophage protein 1
kfl00056_0290	CDS	predicted thiol peptidases
kfl00056_0300	CDS	S-adenosylhomocysteine hydrolase
kfl00056_0310	CDS	hypothetical protein
kfl00056_0320	CDS	CCCH-type Zn-finger protein
kfl00056_0330	CDS	hypothetical protein
kfl00056_0340	CDS	hypothetical protein
kfl00056_0350	CDS	intraflagellar transport protein 57
kfl00056_0360	CDS	hypothetical protein
kfl00056_0370	CDS	hypothetical protein
kfl00056_0380	CDS	E3.1.3.2; acid phosphatase
kfl00056_0390	CDS	hypothetical protein
kfl00056_0400	CDS	hypothetical protein
kfl00057_0010	CDS	hypothetical protein
kfl00057_0020	CDS	hypothetical protein
kfl00057_0030	CDS	P-loop containing nucleoside triphosphate hydrolases superfamily protein
kfl00057_0040	CDS	Phosphoglycerate mutase
kfl00057_0050	CDS	RNA recognition motif containing protein
kfl00057_0060	CDS	hypothetical protein
kfl00057_0070	CDS	ISY1; pre-mRNA-splicing factor ISY1
kfl00057_0080	CDS	hypothetical protein
kfl00057_0090	CDS	hypothetical protein
kfl00057_0100	CDS	peptide transporter
kfl00057_0110	CDS	PPP3R, CNB; protein phosphatase 3, regulatory subunit
kfl00057_0120	CDS	small and basic intrinsic protein
kfl00057_0130	CDS	hypothetical protein
kfl00057_0140	CDS	serine hydroxymethyltransferase
kfl00057_0150	CDS	Single-stranded DNA-binding replication protein A (RPA), large (70 kD) subunit and related ssDNA-binding proteins
kfl00057_0160	CDS	hypothetical protein
kfl00057_0165	CDS	Chlororespiratory reduction 41, CRR41
kfl00057_0170	CDS	WD40 repeat protein
kfl00057_0180	CDS	psaE, photosystem I subunit IV
kfl00057_0190	CDS	Ceramidase
kfl00057_0200	CDS	STUB1, CHIP; STIP1 homology and U-box containing protein 1
kfl00057_0210	CDS	eukaryotic translation initiation factor eIF-2B epsilon subunit
kfl00057_0220	CDS	MARCH6, DOA10; E3 ubiquitin-protein ligase MARCH6
kfl00057_0230	CDS	Dual specificity phosphatase
kfl00057_0240	CDS	hypothetical protein
kfl00057_0250	CDS	serine/threonine-protein kinase RIO-like protein
kfl00057_0260	CDS	hypothetical protein
kfl00057_0270	CDS	E2.7.1.36, MVK, mvaK1; mevalonate kinase
kfl00057_0280	CDS	hypothetical protein
kfl00057_0290	CDS	chaperonin-like RbcX protein
kfl00057_0300	CDS	tRNAse Z1
kfl00057_0310	CDS	hypothetical protein
kfl00057_0320	CDS	Putative protein kinase superfamily protein
kfl00057_0330	CDS	hypothetical protein
kfl00057_0340	CDS	hypothetical protein
kfl00057_0350	CDS	hypothetical protein
kfl00057_0360	CDS	RIO-like serine threonine protein kinase
kfl00057_0370	CDS	15-cis-zeta-carotene isomerase
kfl00057_0380	CDS	hypothetical protein
kfl00057_0390	CDS	peroxin 19 family protein
kfl00057_0400	CDS	Vacuolar H+-ATPase V1 sector, subunit E
kfl00057_0410	CDS	40S ribosomal protein S3 family protein
kfl00057_0420	CDS	RNA-binding protein 45A
kfl00057_0430	CDS	putative mitochondrial ribosomal protein L35 precursor
kfl00057_0440	CDS	serine threonine protein kinase
kfl00057_0450	CDS	Lysophospholipase
kfl00057_0460	CDS	psbP-like
kfl00057_0470	CDS	hypothetical protein
kfl00057_0480	CDS	protein kinase family protein, putative, expressed
kfl00057_0490	CDS	hypothetical protein
kfl00057_0500	CDS	hypothetical protein
kfl00057_0510	CDS	hypothetical protein
kfl00057_0520	CDS	RNA helicase nonsense mRNA reducing factor (pNORF1)
kfl00058_0010	CDS	hypothetical protein
kfl00058_0020	CDS	TNNC2; troponin C, skeletal muscle
kfl00058_0030	CDS	hypothetical protein
kfl00058_0040	CDS	hypothetical protein
kfl00058_0050	CDS	myosin heavy chain-related protein
kfl00058_0060	CDS	hypothetical protein
kfl00058_0070	CDS	hypothetical protein
kfl00058_0080	CDS	hypothetical protein
kfl00058_0090	CDS	Signal transduction histidine kinase
kfl00058_0100	CDS	membrane steroid binding protein
kfl00058_0110	CDS	hypothetical protein
kfl00058_0120	CDS	Magnesium chelatase subunit, (CHLD)
kfl00058_0130	CDS	hypothetical protein
kfl00058_0140	CDS	hypothetical protein
kfl00058_0150	CDS	hypothetical protein
kfl00058_0160	CDS	hypothetical protein
kfl00058_0170	CDS	hypothetical protein
kfl00058_0180	CDS	hypothetical protein
kfl00058_0190	CDS	hypothetical protein
kfl00058_0200	CDS	DNA-binding transcription factor
kfl00058_0210	CDS	hypothetical protein
kfl00058_0220	CDS	3-methylcrotonyl-CoA carboxylase beta chain, mitochondrail-like 
kfl00058_0230	CDS	hypothetical protein
kfl00058_0240	CDS	hypothetical protein
kfl00058_0250	CDS	hypothetical protein
kfl00058_0260	CDS	hypothetical protein
kfl00058_0270	CDS	hypothetical protein
kfl00058_0280	CDS	hypothetical protein
kfl00058_0290	CDS	hypothetical protein
kfl00058_0300	CDS	26S proteasome non-ATPase regulatory subunit
kfl00058_0310	CDS	Ketoacyl-CoA reductase
kfl00058_0320	CDS	SNF2 domain containing protein
kfl00058_0330	CDS	hypothetical protein
kfl00058_0340	CDS	hypothetical protein
kfl00058_0350	CDS	hydroxymethylbilane synthase, (HEMC), porphobilinogen deaminase, (PBGD)
kfl00058_0360	CDS	hypothetical protein
kfl00058_0370	CDS	hypothetical protein
kfl00058_0380	CDS	hypothetical protein
kfl00058_0390	CDS	SNF2 domain containing protein
kfl00058_0400	CDS	hypothetical protein
kfl00058_0410	CDS	hypothetical protein
kfl00058_0420	CDS	hypothetical protein
kfl00059_0010p	CDS	hypothetical protein
kfl00059_0020	CDS	amino acid transporter protein
kfl00059_0030	CDS	hypothetical protein
kfl00059_0040	CDS	hypothetical protein
kfl00059_0050	CDS	Lysophospholipase
kfl00059_0060	CDS	hypothetical protein
kfl00059_0070	CDS	hypothetical protein
kfl00059_0080	CDS	hypothetical protein
kfl00059_0090	CDS	hypothetical protein
kfl00059_0100	CDS	polynucleotide phosphorylase (PNPase)
kfl00059_0110	CDS	Nucleotide-sugar transporter family protein
kfl00059_0120	CDS	hypothetical protein
kfl00059_0130	CDS	hypothetical protein
kfl00059_0140	CDS	indole-3-glycerol phosphate synthase-like
kfl00059_0150	CDS	AWPM-19-like family protein
kfl00059_0160	CDS	Glycosyl transferase family 8 protein / putative galacturonosyltransferase,(GAUT)
kfl00059_0170	CDS	cystathionine gamma-synthase
kfl00059_0180	CDS	putative Pentatricopeptide repeat(PPR) domain containing protein
kfl00059_0190	CDS	hypothetical protein
kfl00059_0200	CDS	HMG (high mobility group) box protein
kfl00059_0210	CDS	ALG7; UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
kfl00059_0220	CDS	ZTL; clock-associated PAS protein ZTL
kfl00059_0230	CDS	TOC1, APRR1; pseudo-response regulator 1
kfl00059_0240	CDS	TOUSLED-like kinase
kfl00059_0250	CDS	hypothetical protein
kfl00059_0260	CDS	sucrose transporter
kfl00059_0270	CDS	Glycosyltransferase family 61 protein
kfl00059_0280	CDS	Putative magnesium-protoporphyrin IX monomethyl ester cyclase, (CHL27, Crd1, AcsF)
kfl00059_0290	CDS	hypothetical protein
kfl00059_0300	CDS	hypothetical protein
kfl00059_0310	CDS	hypothetical protein
kfl00059_0320	CDS	F-box domain, cyclin-like
kfl00059_0330	CDS	hypothetical protein
kfl00059_0340	CDS	hypothetical protein
kfl00059_0350	CDS	hypothetical protein
kfl00059_0360	CDS	hypothetical protein
kfl00060_0010	CDS	hypothetical protein
kfl00060_0020	CDS	Translation initiation factor 2, small GTP-binding protein
kfl00060_0030	CDS	hypothetical protein
kfl00060_0040	CDS	Similar to TOC64/TOM64, aspartyl/glutamyl-tRNA amidotransferase subunit A
kfl00060_0050	CDS	initiator tRNA phosphoribosyl transferase family protein
kfl00060_0060	CDS	Serine Threonine protein kinase
kfl00060_0070	CDS	dynamin family protein
kfl00060_0080	CDS	hypothetical protein
kfl00060_0090	CDS	hypothetical protein
kfl00060_0100	CDS	hypothetical protein
kfl00060_0110	CDS	hypothetical protein
kfl00060_0120	CDS	Protein kinase family protein
kfl00060_0130	CDS	hypothetical protein
kfl00060_0140	CDS	E3 ubiquitin ligase involved in syntaxin degradation
kfl00060_0150	CDS	A4GALT; lactosylceramide 4-alpha-galactosyltransferase
kfl00060_0160	CDS	hypothetical protein
kfl00060_0170	CDS	A4GALT; lactosylceramide 4-alpha-galactosyltransferase
kfl00060_0180	CDS	hypothetical protein
kfl00060_0190	CDS	FKBP-type peptidyl-prolyl cis-trans isomerase family protein
kfl00060_0200	CDS	hypothetical protein
kfl00060_0210	CDS	hypothetical protein
kfl00060_0220	CDS	hypothetical protein
kfl00060_0230	CDS	hypothetical protein
kfl00060_0240	CDS	Translation initiation factor SUI1 family protein
kfl00060_0250	CDS	eukaryotic release factor eRF1 domain1/Pelota-like
kfl00060_0260	CDS	hypothetical protein
kfl00060_0270	CDS	hypothetical protein
kfl00060_0280	CDS	hypothetical protein
kfl00060_0290	CDS	hypothetical protein
kfl00060_0300	CDS	hypothetical protein
kfl00060_0310	CDS	hypothetical protein
kfl00060_0320	CDS	Nucleotidyl transferase domain containing protein
kfl00060_0330	CDS	hypothetical protein
kfl00060_0340	CDS	hypothetical protein
kfl00060_0350	CDS	ppgK; polyphosphate glucokinase
kfl00060_0360	CDS	DNA mismatch repair protein - MLH1 family
kfl00060_0370	CDS	hypothetical protein
kfl00060_0380	CDS	BTB/POZ domain containing protein
kfl00060_0390	CDS	hypothetical protein
kfl00061_0010	CDS	hypothetical protein
kfl00061_0020	CDS	ankyrin repeat family protein, zinc finger protein
kfl00061_0030	CDS	Lysyl-tRNA synthetase, class II
kfl00061_0040	CDS	GOT2; aspartate aminotransferase, mitochondrial
kfl00061_0050	CDS	hypothetical protein
kfl00061_0060	CDS	Polyadenylation factor I complex
kfl00061_0070	CDS	NUCLEOPORIN, SUPPRESSOR OF AUXIN RESISTANCE1-like
kfl00061_0080	CDS	hypothetical protein
kfl00061_0090	CDS	hypothetical protein
kfl00061_0100	CDS	hypothetical protein
kfl00061_0110	CDS	hypothetical protein
kfl00061_0120	CDS	pre-mRNA-splicing factor
kfl00061_0130	CDS	hypothetical protein
kfl00061_0140	CDS	AMP-dependent synthetase and ligase family protein
kfl00061_0150	CDS	Dihydrosphingosine Phosphate Lyase
kfl00061_0160	CDS	DNA-directed RNA polymerase II subunit 4,(RPB4)
kfl00061_0170	CDS	putative DNA repair protein (XPGC)
kfl00061_0180	CDS	Protein kinase-like
kfl00061_0190	CDS	WD repeat-containing protein
kfl00061_0200	CDS	Putative DEAD-like helicases superfamily protein
kfl00061_0210	CDS	tryptophan synthase beta-subunit
kfl00061_0220	CDS	DnaJ heat shock family protein
kfl00061_0230	CDS	basic helix-loop-helix protein
kfl00061_0240	CDS	putative DNA helicase, UvrD/REP type
kfl00061_0250	CDS	hypothetical protein
kfl00061_0260	CDS	hypothetical protein
kfl00061_0270	CDS	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)
kfl00061_0280	CDS	POLE1; DNA polymerase epsilon subunit 1
kfl00061_0290	CDS	RING/U-box superfamily protein
kfl00061_0300	CDS	hypothetical protein
kfl00061_0310	CDS	hypothetical protein
kfl00061_0320	CDS	hypothetical protein
kfl00061_0330	CDS	hypothetical protein
kfl00061_0340	CDS	hypothetical protein
kfl00061_0350	CDS	hypothetical protein
kfl00061_0360	CDS	Vacuolar H+-ATPase V1 sector, subunit D
kfl00061_0370	CDS	DNA topoisomerase I
kfl00061_0380	CDS	hypothetical protein
kfl00061_0390	CDS	hypothetical protein
kfl00061_0400	CDS	ARM repeat superfamily protein
kfl00061_0410	CDS	Nucleotide-sugar transporter family protein
kfl00061_0420	CDS	hypothetical protein
kfl00061_0430	CDS	hypothetical protein
kfl00061_0440	CDS	hypothetical protein
kfl00062_0010	CDS	P-loop containing nucleoside triphosphate hydrolases superfamily protein|arsenical pump-driving ATPase
kfl00062_0020	CDS	PPCDC, coaC; phosphopantothenoylcysteine decarboxylase
kfl00062_0030	CDS	PPCDC, coaC; phosphopantothenoylcysteine decarboxylase
kfl00062_0040	CDS	SAWADEE domain containing homeodomain protein
kfl00062_0050	CDS	enolase
kfl00062_0060	CDS	2-phosphoglycolate phosphatase
kfl00062_0070	CDS	hypothetical protein
kfl00062_0080	CDS	hypothetical protein
kfl00062_0090	CDS	mRNAadenosine methylase
kfl00062_0100	CDS	hypothetical protein
kfl00062_0110	CDS	BTB/POZ/Kelch-associated protein
kfl00062_0120	CDS	hypothetical protein
kfl00062_0130	CDS	Putative TFIIF-interacting CTD phosphatase, including NLI-interacting factor (involved in RNA polymerase II regulation)
kfl00062_0140	CDS	Cold shock domain-containing protein
kfl00062_0150	CDS	Calreticulin, calnexin
kfl00062_0160	CDS	COPII vesicle protein
kfl00062_0170	CDS	Clp protease proteolytic subunit,Peptidase S14
kfl00062_0180	CDS	hypothetical protein
kfl00062_0190	CDS	cinnamoyl CoA reductase
kfl00062_0200	CDS	Putative L-ascorbate oxidase
kfl00062_0210	CDS	Late embryogenesis abundant protein
kfl00062_0220	CDS	hypothetical protein
kfl00062_0230	CDS	ER lumen protein retaining receptor
kfl00062_0240	CDS	hypothetical protein
kfl00062_0250	CDS	hypothetical protein
kfl00062_0260	CDS	hypothetical protein
kfl00062_0270	CDS	hypothetical protein
kfl00062_0280	CDS	hypothetical protein
kfl00062_0290	CDS	hypothetical protein
kfl00062_0300	CDS	hypothetical protein
kfl00062_0310	CDS	hypothetical protein
kfl00062_0320	CDS	hypothetical protein
kfl00063_0010	CDS	RWP-RK domain-containing protein
kfl00063_0020	CDS	PLCD; phosphatidylinositol phospholipase C, delta
kfl00063_0030	CDS	4-alpha-glucanotransferase
kfl00063_0040	CDS	hypothetical protein
kfl00063_0050	CDS	hypothetical protein
kfl00063_0060	CDS	hypothetical protein
kfl00063_0070	CDS	hypothetical protein
kfl00063_0080	CDS	hypothetical protein
kfl00063_0090	CDS	BRCT domain-containing protein
kfl00063_0100	CDS	PHD-finger family protein
kfl00063_0110	CDS	sucrose phosphorylase
kfl00063_0120	CDS	hypothetical protein
kfl00063_0130	CDS	hypothetical protein
kfl00063_0140	CDS	hypothetical protein
kfl00063_0150	CDS	hypothetical protein
kfl00063_0160	CDS	Sec14p-like phosphatidylinositol transfer family protein
kfl00063_0170	CDS	hypothetical protein
kfl00063_0180	CDS	chromatin assembly factor-1,(FAS1)
kfl00063_0190	CDS	Seryl-tRNA synthetase, class IIa
kfl00063_0200	CDS	hypothetical protein
kfl00063_0210	CDS	hypothetical protein
kfl00063_0220	CDS	hypothetical protein
kfl00063_0230	CDS	hypothetical protein
kfl00063_0240	CDS	hypothetical protein
kfl00063_0250	CDS	hypothetical protein
kfl00063_0260	CDS	hypothetical protein
kfl00063_0270	CDS	Protein kinase superfamily protein
kfl00063_0280	CDS	hypothetical protein
kfl00063_0290	CDS	Long Chain Base 1-Phosphate Phosphatase
kfl00063_0300	CDS	hypothetical protein
kfl00063_0310	CDS	GTP-binding protein CRFG/NOG1 (ODN superfamily)
kfl00063_0320	CDS	hypothetical protein
kfl00063_0330	CDS	hypothetical protein
kfl00063_0340	CDS	hypothetical protein
kfl00063_0350	CDS	deoxyribonuclease II
kfl00063_0360	CDS	RNA-dependent RNA polymerase
kfl00064_0010	CDS	hypothetical protein
kfl00064_0020	CDS	hypothetical protein
kfl00064_0030	CDS	hypothetical protein
kfl00064_0040	CDS	nucleobase-ascorbate transporter
kfl00064_0050	CDS	mitochondrial ribosomal protein L32, precursor
kfl00064_0060	CDS	hypothetical protein
kfl00064_0070	CDS	major facilitator superfamily protein
kfl00064_0080	CDS	GATA transcription factor
kfl00064_0090	CDS	hypothetical protein
kfl00064_0100	CDS	aquaporin
kfl00064_0110	CDS	1-cysteine peroxiredoxin 1
kfl00064_0120	CDS	hypothetical protein
kfl00064_0130	CDS	Ribonuclease T2 family protein
kfl00064_0140	CDS	ureidoglycolate amidohydrolase
kfl00064_0150	CDS	peroxiredoxin
kfl00064_0160	CDS	hypothetical protein
kfl00064_0170	CDS	hypothetical protein
kfl00064_0180	CDS	hypothetical protein
kfl00064_0190	CDS	hypothetical protein
kfl00064_0200	CDS	Serine/threonine protein phosphatase 2A, regulatory subunit
kfl00064_0210	CDS	hypothetical protein
kfl00064_0220	CDS	GLYCINE DECARBOXYLASE COMPLEX H
kfl00064_0230	CDS	60S ribosomal protein L15 family protein
kfl00064_0240	CDS	Splicing factor 3B subunit 5
kfl00064_0250	CDS	hypothetical protein
kfl00064_0260	CDS	hypothetical protein
kfl00064_0270	CDS	hypothetical protein
kfl00064_0280	CDS	Pyrophosphate-dependent phosphofructo-1-kinase
kfl00064_0290	CDS	SANT/Myb domain containing protein
kfl00064_0300	CDS	amino acid transporter protein
kfl00064_0310	CDS	Lon protease
kfl00064_0320	CDS	RWP-RK domain-containing protein
kfl00064_0330	CDS	hypothetical protein
kfl00064_0340p	CDS	putative retrotransposon protein, DNA/RNA polymerases superfamily
kfl00065_0010p	CDS	small Rab-related GTPase
kfl00065_0020	CDS	AAA+ ATPase
kfl00065_0030	CDS	possible glycosyltransferase
kfl00065_0040	CDS	hypothetical protein
kfl00065_0050	CDS	DNA-directed RNA polymerase II subunit 9 family protein
kfl00065_0060	CDS	hypothetical protein
kfl00065_0070	CDS	GLYOXALASE
kfl00065_0080	CDS	putative Pentatricopeptide repeat(PPR) domain containing protein
kfl00065_0090	CDS	Putative serine-threonine/tyrosine-protein kinase catalytic domain containing protein
kfl00065_0100	CDS	Tetrapyrrole (Corrin/Porphyrin) Methylases family protein
kfl00065_0110	CDS	hypothetical protein
kfl00065_0120	CDS	hypothetical protein
kfl00065_0130	CDS	hypothetical protein
kfl00065_0140	CDS	adaptor complexes medium subunit family domain containing protein
kfl00065_0150	CDS	hypothetical protein
kfl00065_0160	CDS	hypothetical protein
kfl00065_0170	CDS	gatC; aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit C
kfl00065_0180	CDS	hypothetical protein
kfl00065_0190	CDS	eukaryotic translation initiation factor eIF-6
kfl00065_0200	CDS	mitochondrial ribosomal protein L13 precursor
kfl00065_0210	CDS	sucrose synthase
kfl00065_0220	CDS	hypothetical protein
kfl00065_0230	CDS	WD domain containing protein
kfl00065_0240	CDS	hypothetical protein
kfl00065_0250	CDS	pyrroline-5-carboxylate reductase
kfl00065_0260	CDS	chloroplast translation factor EF-Tu
kfl00065_0270	CDS	GSTK1; glutathione S-transferase kappa 1
kfl00065_0280	CDS	hypothetical protein
kfl00065_0290	CDS	OGT; polypeptide N-acetylglucosaminyltransferase
kfl00065_0300	CDS	hypothetical protein
kfl00065_0310	CDS	hypothetical protein
kfl00065_0320	CDS	hypothetical protein
kfl00065_0330	CDS	hypothetical protein
kfl00065_0340	CDS	reduced epidermal fluorescence 4 related protein
kfl00065_0350	CDS	hypothetical protein
kfl00065_0360	CDS	eIF-2alpha kinase GCN2
kfl00065_0370	CDS	putative ubiquitin carboxyl-terminal hydrolase
kfl00065_0380	CDS	hypothetical protein
kfl00066_0010	CDS	Mechanosensitive ion channel protein, putative
kfl00066_0020	CDS	hypothetical protein
kfl00066_0030	CDS	Zinc finger, RING-type domain containing protein
kfl00066_0040	CDS	hypothetical protein
kfl00066_0050	CDS	type-A response regulator
kfl00066_0060	CDS	m3G-cap-specific nuclear import receptor (Snurportin1)
kfl00066_0070	CDS	putative Xeroderma pigmentosum group B protein (XP-B)
kfl00066_0080	CDS	hypothetical protein
kfl00066_0090	CDS	hypothetical protein
kfl00066_0100	CDS	Calcium-dependent lipid-binding protein
kfl00066_0110	CDS	cystathionine beta-synthase (CBS) family protein
kfl00066_0120	CDS	hypothetical protein
kfl00066_0130	CDS	Thymidine kinase
kfl00066_0140	CDS	hypothetical protein
kfl00066_0150	CDS	XS domain-containing protein
kfl00066_0160	CDS	hypothetical protein
kfl00066_0170	CDS	helix-loop-helix DNA-binding superfamily protein
kfl00066_0180	CDS	hypothetical protein
kfl00066_0190	CDS	hypothetical protein
kfl00066_0200	CDS	solute symporter family protein
kfl00066_0210	CDS	Regulator of spindle pole body duplication
kfl00066_0220	CDS	cation/H+ antiporter family
kfl00066_0230	CDS	hypothetical protein
kfl00066_0240	CDS	hypothetical protein
kfl00066_0250	CDS	DNA-directed RNA polymerase II subunit 2
kfl00066_0260	CDS	Structural maintenance of chromosome protein SMC5/Spr18, SMC superfamily
kfl00066_0270	CDS	hypothetical protein
kfl00066_0280	CDS	GTPase-activating protein
kfl00066_0290	CDS	OGT; polypeptide N-acetylglucosaminyltransferase
kfl00066_0300	CDS	hypothetical protein
kfl00066_0310	CDS	short chain dehydrogenase/reductase protein
kfl00066_0320	CDS	UDP-glucose pyrophosphorylase
kfl00066_0330	CDS	hypothetical protein
kfl00066_0340	CDS	hypothetical protein
kfl00066_0350	CDS	hypothetical protein
kfl00066_0360	CDS	hypothetical protein
kfl00066_0370p	CDS	hypothetical protein
kfl00067_0010	CDS	bifunctional phosphatase
kfl00067_0020	CDS	SNRPD2, SMD2; small nuclear ribonucleoprotein D2
kfl00067_0030	CDS	SET domain protein
kfl00067_0040	CDS	hypothetical protein
kfl00067_0050	CDS	ATP-binding region, ATPase-like domain containing protein
kfl00067_0060	CDS	hypothetical protein
kfl00067_0070	CDS	hypothetical protein
kfl00067_0080	CDS	hypothetical protein
kfl00067_0090	CDS	nucleoside triphosphate hydrolases superfamily protein
kfl00067_0100	CDS	hypothetical protein
kfl00067_0110	CDS	ARP protein (REF)
kfl00067_0120	CDS	hypothetical protein
kfl00067_0130	CDS	hypothetical protein
kfl00067_0140	CDS	hypothetical protein
kfl00067_0150	CDS	S-adenosyl-L-methionine-dependent methyltransferase superfamily protein
kfl00067_0160	CDS	hypothetical protein
kfl00067_0170	CDS	brefeldin A-sensitive Golgi protein-like
kfl00067_0180	CDS	hypothetical protein
kfl00067_0190	CDS	hypothetical protein
kfl00067_0200	CDS	cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
kfl00067_0210	CDS	hypothetical protein
kfl00067_0220	CDS	hypothetical protein
kfl00067_0230	CDS	hypothetical protein
kfl00067_0240	CDS	hypothetical protein
kfl00067_0250	CDS	hypothetical protein
kfl00067_0260	CDS	hypothetical protein
kfl00067_0270	CDS	M13 family peptidase
kfl00067_0280	CDS	hypothetical protein
kfl00067_0290	CDS	GTPase-activating protein
kfl00067_0300	CDS	metallo-beta-lactamase domain-containing protein
kfl00067_0310	CDS	hypothetical protein
kfl00067_0320	CDS	hypothetical protein
kfl00067_0330	CDS	hypothetical protein
kfl00067_0340	CDS	udp-galactose transporter
kfl00067_0350	CDS	hypothetical protein
kfl00067_0360	CDS	hypothetical protein
kfl00067_0370	CDS	hypothetical protein
kfl00067_0380	CDS	flagellar associated protein
kfl00067_0390	CDS	hypothetical protein
kfl00067_0400	CDS	hypothetical protein
kfl00067_0410	CDS	gpmA, PGAM; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
kfl00068_0010	CDS	hypothetical protein
kfl00068_0020	CDS	Aldo/keto reductase family protein
kfl00068_0030	CDS	hypothetical protein
kfl00068_0040	CDS	Anaphase-promoting complex ,(APC), subunit 10
kfl00068_0050	CDS	CALM; calmodulin
kfl00068_0060	CDS	Ubiquitin carboxyl-terminal hydrolase
kfl00068_0070	CDS	hypothetical protein
kfl00068_0080	CDS	putative Pentatricopeptide repeat(PPR) domain containing protein
kfl00068_0090	CDS	hypothetical protein
kfl00068_0100	CDS	hypothetical protein
kfl00068_0110	CDS	hypothetical protein
kfl00068_0120	CDS	hypothetical protein
kfl00068_0130	CDS	Clathrin-associated protein medium chain
kfl00068_0140	CDS	hypothetical protein
kfl00068_0150	CDS	RAG1-activating protein-1-related
kfl00068_0160	CDS	NAD(P)-binding Rossmann-fold superfamily protein
kfl00068_0170	CDS	hypothetical protein
kfl00068_0180	CDS	hypothetical protein
kfl00068_0190	CDS	Dihydrolipoamide succinyltransferase subunit (E2 subunit)
kfl00068_0200	CDS	hypothetical protein
kfl00068_0210	CDS	hypothetical protein
kfl00068_0220	CDS	hypothetical protein
kfl00068_0230	CDS	aquaporin
kfl00068_0240	CDS	hypothetical protein
kfl00068_0250	CDS	aquaporin
kfl00068_0260	CDS	peptidase m48 domain protein
kfl00068_0270	CDS	hypothetical protein
kfl00068_0280	CDS	hypothetical protein
kfl00068_0290	CDS	hypothetical protein
kfl00068_0300	CDS	3(2), 5-bisphosphate nucleotidase
kfl00068_0310	CDS	hypothetical protein
kfl00068_0320	CDS	glycyl-tRNA synthetase
kfl00068_0330	CDS	hypothetical protein
kfl00068_0340	CDS	putative Pentatricopeptide repeat(PPR) domain containing protein
kfl00068_0350	CDS	cpFtsY, chloroplast SRP receptor, SRP54
kfl00069_0010	CDS	selD, SEPHS; selenide, water dikinase
kfl00069_0020	CDS	ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
kfl00069_0030	CDS	hypothetical protein
kfl00069_0040	CDS	plastid-lipid associated protein PAP, fibrillin family protein
kfl00069_0050	CDS	putative CAF1 family ribonuclease containing protein
kfl00069_0060	CDS	CTNNBL1; beta-catenin-like protein 1
kfl00069_0070	CDS	hypothetical protein
kfl00069_0080	CDS	hypothetical protein
kfl00069_0090	CDS	hypothetical protein
kfl00069_0100	CDS	hypothetical protein
kfl00069_0110	CDS	hypothetical protein
kfl00069_0120	CDS	40S ribosomal protein S27
kfl00069_0130	CDS	hypothetical protein
kfl00069_0140	CDS	Fucosyltransferase
kfl00069_0150	CDS	short chain dehydrogenase reductase
kfl00069_0160	CDS	hypothetical protein
kfl00069_0170	CDS	hypothetical protein
kfl00069_0180	CDS	putative SNF2 family N-terminal domain containing protein
kfl00069_0190	CDS	hypothetical protein
kfl00069_0200	CDS	hypothetical protein
kfl00069_0210	CDS	hypothetical protein
kfl00069_0220	CDS	hypothetical protein
kfl00069_0230	CDS	hypothetical protein
kfl00069_0240	CDS	hypothetical protein
kfl00069_0250	CDS	hypothetical protein
kfl00069_0260	CDS	hypothetical protein
kfl00069_0270	CDS	short chain dehydrogenase reductase
kfl00069_0280	CDS	hypothetical protein
kfl00069_0290	CDS	Ubiquitin-conjugating enzyme E2
kfl00069_0300	CDS	hypothetical protein
kfl00069_0310	CDS	Concanavalin A-like lectin/glucanase
kfl00069_0320	CDS	hypothetical protein
