proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type
17967	2.1.1.-	Methyltransferases.	\N	\N	\N	Androgen and estrogen metabolism	Lipid Metabolism	METABOLIC
17967	2.1.1.-	Methyltransferases.	\N	\N	\N	Aminophosphonate metabolism	Metabolism of Other Amino Acids	METABOLIC
17967	2.1.1.-	Methyltransferases.	\N	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
17967	2.1.1.-	Methyltransferases.	\N	\N	\N	Ubiquinone biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
17967	2.1.1.-	Methyltransferases.	\N	\N	\N	Histidine metabolism	Amino Acid Metabolism	METABOLIC
17967	2.1.1.-	Methyltransferases.	\N	\N	\N	Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
17967	2.1.1.-	Methyltransferases.	\N	\N	\N	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
17967	2.1.1.-	Methyltransferases.	\N	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
18008	3.1.2.15	Ubiquitin thiolesterase.	Ubiquitin C-terminal thiolester + H(2)O = ubiquitin + a thiol.	\N	\N	\N	\N	\N
18064	5.3.3.8	Dodecenoyl-CoA delta-isomerase.	3-cis-dodecenoyl-CoA = 2-trans-dodecenoyl-CoA.	\N	\N	Fatty acid metabolism	Lipid Metabolism	METABOLIC
18080	6.3.2.6	Phosphoribosylaminoimidazole-succinocarboxamide synthase.	ATP + 1-(5-phosphoribosyl)-4-carboxy-5-aminoimidazole + L-aspartate = ADP + phosphate + 1-(5-phosphoribosyl)-4-(N-succino-carboxamide)- 5-aminoimidazole.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
18087	4.3.2.2	Adenylosuccinate lyase.	N6-(1,2-dicarboxyethyl)AMP = fumarate + AMP.	\N	Succinylpurinemic autism; MIM:103050.	Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
18087	4.3.2.2	Adenylosuccinate lyase.	N6-(1,2-dicarboxyethyl)AMP = fumarate + AMP.	\N	Succinylpurinemic autism; MIM:103050.	Purine metabolism	Nucleotide Metabolism	METABOLIC
18128	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
18128	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
18128	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
18128	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
18128	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
18199	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
18199	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
18202	3.4.21.-	Serine endopeptidases.	\N	\N	\N	\N	\N	\N
18228	5.3.1.1	Triosephosphate isomerase.	D-glyceraldehyde 3-phosphate = glycerone phosphate.	\N	Hemolytic anemia due to triosephosphate isomerase deficiency; MIM:190450.	Carbon fixation	Energy Metabolism	METABOLIC
18228	5.3.1.1	Triosephosphate isomerase.	D-glyceraldehyde 3-phosphate = glycerone phosphate.	\N	Hemolytic anemia due to triosephosphate isomerase deficiency; MIM:190450.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
18228	5.3.1.1	Triosephosphate isomerase.	D-glyceraldehyde 3-phosphate = glycerone phosphate.	\N	Hemolytic anemia due to triosephosphate isomerase deficiency; MIM:190450.	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
18228	5.3.1.1	Triosephosphate isomerase.	D-glyceraldehyde 3-phosphate = glycerone phosphate.	\N	Hemolytic anemia due to triosephosphate isomerase deficiency; MIM:190450.	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
18228	5.3.1.1	Triosephosphate isomerase.	D-glyceraldehyde 3-phosphate = glycerone phosphate.	\N	Hemolytic anemia due to triosephosphate isomerase deficiency; MIM:190450.	Inositol metabolism	Carbohydrate Metabolism	METABOLIC
18246	2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase.	Phosphoenolpyruvate + 3-phosphoshikimate = phosphate + 5-O- (1-carboxyvinyl)-3-phosphoshikimate.	\N	\N	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC
18274	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).	\N	\N	\N	\N	\N
18280	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
18280	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	O-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Peptidoglycan biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - lact series	Metabolism of Complex Lipids	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - neolact series	Metabolism of Complex Lipids	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Globoside metabolism	Metabolism of Complex Lipids	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Chondroitin / heparan sulfate biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Keratan sulfate biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
18303	2.4.1.-	Hexosyltransferases.	\N	\N	\N	N-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
18319	3.3.1.1	Adenosylhomocysteinase.	S-adenosyl-L-homocysteine + H(2)O = adenosine + L-homocysteine.	\N	\N	Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
18319	3.3.1.1	Adenosylhomocysteinase.	S-adenosyl-L-homocysteine + H(2)O = adenosine + L-homocysteine.	\N	\N	Methionine metabolism	Amino Acid Metabolism	METABOLIC
18323	3.1.3.25	Myo-inositol-1(or 4)-monophosphatase.	Myo-inositol 1-monophosphate + H(2)O = myo-inositol + phosphate.	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
18323	3.1.3.25	Myo-inositol-1(or 4)-monophosphatase.	Myo-inositol 1-monophosphate + H(2)O = myo-inositol + phosphate.	\N	\N	Streptomycin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC
18323	3.1.3.25	Myo-inositol-1(or 4)-monophosphatase.	Myo-inositol 1-monophosphate + H(2)O = myo-inositol + phosphate.	\N	\N	\N	\N	\N
18335	3.4.24.56	Insulysin.	Degradation of insulin, glucagon and other polypeptides. No action on proteins.	Zinc.	\N	\N	\N	\N
18337	6.3.5.4	Asparagine synthase (glutamine-hydrolysing).	ATP + L-aspartate + L-glutamine = AMP + diphosphate + L-asparagine + L-glutamate.	\N	\N	Nitrogen metabolism	Energy Metabolism	METABOLIC
18337	6.3.5.4	Asparagine synthase (glutamine-hydrolysing).	ATP + L-aspartate + L-glutamine = AMP + diphosphate + L-asparagine + L-glutamate.	\N	\N	Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
18345	2.7.8.23	Carboxyvinyl-carboxyphosphonate phosphorylmutase.	1-carboxyvinyl carboxyphosphonate = 3-(hydrohydroxyphosphoryl)pyruvate + CO(2).	\N	\N	\N	\N	\N
18398	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	ATP synthesis	Energy Metabolism	METABOLIC
18398	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	  Flagellar assembly	\N	\N
18398	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	  Type III secretion system	SORTING AND DEGRADATION	REGULATORY
18404	3.4.13.20	Beta-Ala-His dipeptidase.	Preferential hydrolysis of the beta-Ala-|-His dipeptide (carnosine), and also anserine, Xaa-|-His dipeptides and other dipeptides including homocarnosine.	Cadmium.	\N	Histidine metabolism	Amino Acid Metabolism	METABOLIC
18404	3.4.13.20	Beta-Ala-His dipeptidase.	Preferential hydrolysis of the beta-Ala-|-His dipeptide (carnosine), and also anserine, Xaa-|-His dipeptides and other dipeptides including homocarnosine.	Cadmium.	\N	beta-Alanine metabolism	Metabolism of Other Amino Acids	METABOLIC
18458	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).	\N	\N	\N	\N	\N
18469	5.3.1.4	L-arabinose isomerase.	L-arabinose = L-ribulose.	\N	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
18481	3.1.-.-	Acting on ester bonds.	\N	\N	\N	\N	\N	\N
18524	6.1.1.3	Threonine--tRNA ligase.	ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + L-threonyl- tRNA(Thr).	\N	\N	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
18524	6.1.1.3	Threonine--tRNA ligase.	ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + L-threonyl- tRNA(Thr).	\N	\N	  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
18533	3.4.-.-	Acting on peptide bonds (peptide hydrolases).	\N	\N	\N	Biotin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
18533	3.4.-.-	Acting on peptide bonds (peptide hydrolases).	\N	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC
18551	4.1.2.11	Hydroxymandelonitrile lyase.	(S)-4-hydroxymandelonitrile = cyanide + 4-hydroxybenzaldehyde.	\N	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
18572	1.11.1.11	L-ascorbate peroxidase.	L-ascorbate + H(2)O(2) = dehydroascorbate + 2 H(2)O.	\N	\N	Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC
18622	3.6.1.3	Adenosinetriphosphatase.	ATP + H(2)O = ADP + phosphate.	\N	Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.	Purine metabolism	Nucleotide Metabolism	METABOLIC
18665	2.1.2.1	Glycine hydroxymethyltransferase.	5,10-methylenetetrahydrofolate + glycine + H(2)O = tetrahydrofolate + L-serine.	Pyridoxal-phosphate.	\N	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
18665	2.1.2.1	Glycine hydroxymethyltransferase.	5,10-methylenetetrahydrofolate + glycine + H(2)O = tetrahydrofolate + L-serine.	Pyridoxal-phosphate.	\N	Methane metabolism	Energy Metabolism	METABOLIC
18665	2.1.2.1	Glycine hydroxymethyltransferase.	5,10-methylenetetrahydrofolate + glycine + H(2)O = tetrahydrofolate + L-serine.	Pyridoxal-phosphate.	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC
18665	2.1.2.1	Glycine hydroxymethyltransferase.	5,10-methylenetetrahydrofolate + glycine + H(2)O = tetrahydrofolate + L-serine.	Pyridoxal-phosphate.	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
18665	2.1.2.1	Glycine hydroxymethyltransferase.	5,10-methylenetetrahydrofolate + glycine + H(2)O = tetrahydrofolate + L-serine.	Pyridoxal-phosphate.	\N	One carbon pool by folate	Metabolism of Cofactors and Vitamins	METABOLIC
18745	1.1.1.22	UDP-glucose 6-dehydrogenase.	UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
18745	1.1.1.22	UDP-glucose 6-dehydrogenase.	UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.	\N	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
18745	1.1.1.22	UDP-glucose 6-dehydrogenase.	UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.	\N	\N	Nucleotide sugars metabolism	Nucleotide Metabolism	METABOLIC
18793	3.6.4.9	Chaperonin ATPase.	ATP + H(2)O = ADP + phosphate.	\N	\N	\N	\N	\N
18872	2.1.1.11	Magnesium-protoporphyrin O-methyltransferase.	S-adenosyl-L-methionine + magnesium protoporphyrin = S-adenosyl-L- homocysteine + magnesium protoporphyrin monomethyl ester.	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
18893	1.6.5.5	NADPH:quinone reductase.	NADPH + quinone = NADP(+) + semiquinone.	Zinc.	\N	\N	\N	\N
18899	3.1.3.16	Serine/threonine specific protein phosphatase.	A phosphoprotein + H(2)O = a protein + phosphate.	\N	\N	\N	\N	\N
18911	6.3.1.1	Aspartate--ammonia ligase.	ATP + L-aspartate + NH(3) = AMP + diphosphate + L-asparagine.	\N	\N	Nitrogen metabolism	Energy Metabolism	METABOLIC
18911	6.3.1.1	Aspartate--ammonia ligase.	ATP + L-aspartate + NH(3) = AMP + diphosphate + L-asparagine.	\N	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
18911	6.3.1.1	Aspartate--ammonia ligase.	ATP + L-aspartate + NH(3) = AMP + diphosphate + L-asparagine.	\N	\N	Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
18940	2.3.1.41	3-oxoacyl-[acyl-carrier protein] synthase.	Acyl-[acyl-carrier protein] + malonyl-[acyl-carrier protein] = 3-oxoacyl-[acyl-carrier protein] + CO(2) + [acyl-carrier protein].	\N	\N	Fatty acid biosynthesis (path 1)	Lipid Metabolism	METABOLIC
18945	5.3.1.4	L-arabinose isomerase.	L-arabinose = L-ribulose.	\N	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
19004	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.	\N	\N	\N	\N	\N
19122	2.1.1.-	Methyltransferases.	\N	\N	\N	Androgen and estrogen metabolism	Lipid Metabolism	METABOLIC
19122	2.1.1.-	Methyltransferases.	\N	\N	\N	Aminophosphonate metabolism	Metabolism of Other Amino Acids	METABOLIC
19122	2.1.1.-	Methyltransferases.	\N	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
19122	2.1.1.-	Methyltransferases.	\N	\N	\N	Ubiquinone biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
19122	2.1.1.-	Methyltransferases.	\N	\N	\N	Histidine metabolism	Amino Acid Metabolism	METABOLIC
19122	2.1.1.-	Methyltransferases.	\N	\N	\N	Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
19122	2.1.1.-	Methyltransferases.	\N	\N	\N	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
19122	2.1.1.-	Methyltransferases.	\N	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
19188	4.1.1.37	Uroporphyrinogen decarboxylase.	Uroporphyrinogen-III = coproporphyrinogen + 4 CO(2).	\N	Porphyria cutanea tarda; MIM:176090. Porphyria, hepatoerythropoietic; MIM:176100.	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
19244	3.1.3.3	Phosphoserine phosphatase.	Phosphoserine + H(2)O = serine + phosphate.	\N	\N	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
19300	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.	\N	\N	\N	\N	\N
19324	2.4.2.-	Pentosyltransferases.	\N	\N	\N	\N	\N	\N
19329	6.4.1.4	Methylcrotonyl-CoA carboxylase.	ATP + 3-methylcrotonyl-CoA + HCO(3)(-) = ADP + phosphate + 3-methylglutaconyl-CoA.	Biotin.	Beta-methylcrotonylglycinuria I; MIM:210200.	Valine, leucine and isoleucine degradation	Amino Acid Metabolism	METABOLIC
19341	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.	\N	\N	\N	\N	\N
19427	2.6.1.62	Adenosylmethionine--8-amino-7-oxononanoate aminotransferase.	S-adenosyl-L-methionine + 8-amino-7-oxononanoate = S-adenosyl-4- methylthio-2-oxobutanoate + 7,8-diaminononanoate.	Pyridoxal-phosphate.	\N	Biotin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
19482	4.4.1.16	Selenocysteine lyase.	L-selenocysteine + reduced acceptor = hydrogen selenide + L-alanine + acceptor.	Pyridoxal-phosphate.	\N	Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
19513	2.3.2.2	Gamma-glutamyltransferase.	(5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid.	\N	Glutathionuria; MIM:231950.	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
19513	2.3.2.2	Gamma-glutamyltransferase.	(5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid.	\N	Glutathionuria; MIM:231950.	Taurine and hypotaurine metabolism	Metabolism of Other Amino Acids	METABOLIC
19513	2.3.2.2	Gamma-glutamyltransferase.	(5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid.	\N	Glutathionuria; MIM:231950.	Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC
19513	2.3.2.2	Gamma-glutamyltransferase.	(5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid.	\N	Glutathionuria; MIM:231950.	Selenoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
19513	2.3.2.2	Gamma-glutamyltransferase.	(5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid.	\N	Glutathionuria; MIM:231950.	Prostaglandin and leukotriene metabolism	Metabolism of Complex Lipids	METABOLIC
19568	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
19568	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
19659	1.1.1.1	Alcohol dehydrogenase.	An alcohol + NAD(+) = an aldehyde or ketone + NADH.	Zinc or Iron.	\N	Bile acid biosynthesis	Lipid Metabolism	METABOLIC
19659	1.1.1.1	Alcohol dehydrogenase.	An alcohol + NAD(+) = an aldehyde or ketone + NADH.	Zinc or Iron.	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
19659	1.1.1.1	Alcohol dehydrogenase.	An alcohol + NAD(+) = an aldehyde or ketone + NADH.	Zinc or Iron.	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
19659	1.1.1.1	Alcohol dehydrogenase.	An alcohol + NAD(+) = an aldehyde or ketone + NADH.	Zinc or Iron.	\N	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
19659	1.1.1.1	Alcohol dehydrogenase.	An alcohol + NAD(+) = an aldehyde or ketone + NADH.	Zinc or Iron.	\N	Fatty acid metabolism	Lipid Metabolism	METABOLIC
19690	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).	\N	\N	\N	\N	\N
19692	3.5.2.3	Dihydroorotase.	(S)-dihydroorotate + H(2)O = N-carbamoyl-L-aspartate.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
19699	4.4.1.14	1-aminocyclopropane-1-carboxylate synthase.	S-adenosyl-L-methionine = 1-aminocyclopropane-1-carboxylate + methylthioadenosine.	Pyridoxal-phosphate.	\N	Propanoate metabolism	Carbohydrate Metabolism	METABOLIC
19705	2.4.1.83	Dolichyl-phosphate beta-D-mannosyltransferase.	GDP-mannose + dolichyl phosphate = GDP + dolichyl D-mannosyl phosphate.	\N	\N	N-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
19708	4.2.1.2	Fumarate hydratase.	(S)-malate = fumarate + H(2)O.	\N	Fumarase deficiency; MIM:136850.	Reductive carboxylate cycle (CO2 fixation)	Energy Metabolism	METABOLIC
19708	4.2.1.2	Fumarate hydratase.	(S)-malate = fumarate + H(2)O.	\N	Fumarase deficiency; MIM:136850.	Citrate cycle (TCA cycle)	Carbohydrate Metabolism	METABOLIC
19761	6.1.1.14	Glycine--tRNA ligase.	ATP + glycine + tRNA(Gly) = AMP + diphosphate + glycyl-tRNA(Gly).	\N	\N	  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
19761	6.1.1.14	Glycine--tRNA ligase.	ATP + glycine + tRNA(Gly) = AMP + diphosphate + glycyl-tRNA(Gly).	\N	\N	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
19762	2.6.1.62	Adenosylmethionine--8-amino-7-oxononanoate aminotransferase.	S-adenosyl-L-methionine + 8-amino-7-oxononanoate = S-adenosyl-4- methylthio-2-oxobutanoate + 7,8-diaminononanoate.	Pyridoxal-phosphate.	\N	Biotin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
19835	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	  RNA polymerase	TRANSCRIPTION	REGULATORY
19835	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
19835	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
19937	3.6.1.3	Adenosinetriphosphatase.	ATP + H(2)O = ADP + phosphate.	\N	Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.	Purine metabolism	Nucleotide Metabolism	METABOLIC
19949	1.16.1.1	Mercury (II) reductase.	Hg + NADP(+) + H(+) = Hg(2+) + NADPH.	\N	\N	\N	\N	\N
19979	1.3.3.6	Acyl-CoA oxidase.	Acyl-CoA + O(2) = trans-2,3-dehydroacyl-CoA + H(2)O(2).	FAD.	\N	Fatty acid metabolism	Lipid Metabolism	METABOLIC
20007	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.	\N	\N	\N	\N	\N
20015	5.1.3.1	Ribulose-phosphate 3-epimerase.	D-ribulose 5-phosphate = D-xylulose 5-phosphate.	\N	\N	Pentose phosphate pathway	Carbohydrate Metabolism	METABOLIC
20015	5.1.3.1	Ribulose-phosphate 3-epimerase.	D-ribulose 5-phosphate = D-xylulose 5-phosphate.	\N	\N	Carbon fixation	Energy Metabolism	METABOLIC
20015	5.1.3.1	Ribulose-phosphate 3-epimerase.	D-ribulose 5-phosphate = D-xylulose 5-phosphate.	\N	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
20066	3.4.22.-	Cysteine endopeptidases.	\N	\N	\N	\N	\N	\N
20143	6.2.1.3	Long-chain-fatty-acid--CoA ligase.	ATP + a long-chain carboxylic acid + CoA = AMP + diphosphate + an acyl-CoA.	\N	\N	Fatty acid metabolism	Lipid Metabolism	METABOLIC
20183	1.2.4.1	Pyruvate dehydrogenase (lipoamide).	Pyruvate + lipoamide = S-acetyldihydrolipoamide + CO(2).	Thiamine pyrophosphate.	Ataxia with lactic acidosis I; MIM:208800.	Valine, leucine and isoleucine biosynthesis	Amino Acid Metabolism	METABOLIC
20183	1.2.4.1	Pyruvate dehydrogenase (lipoamide).	Pyruvate + lipoamide = S-acetyldihydrolipoamide + CO(2).	Thiamine pyrophosphate.	Ataxia with lactic acidosis I; MIM:208800.	Butanoate metabolism	Carbohydrate Metabolism	METABOLIC
20183	1.2.4.1	Pyruvate dehydrogenase (lipoamide).	Pyruvate + lipoamide = S-acetyldihydrolipoamide + CO(2).	Thiamine pyrophosphate.	Ataxia with lactic acidosis I; MIM:208800.	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
20183	1.2.4.1	Pyruvate dehydrogenase (lipoamide).	Pyruvate + lipoamide = S-acetyldihydrolipoamide + CO(2).	Thiamine pyrophosphate.	Ataxia with lactic acidosis I; MIM:208800.	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
20227	3.4.-.-	Acting on peptide bonds (peptide hydrolases).	\N	\N	\N	Biotin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
20227	3.4.-.-	Acting on peptide bonds (peptide hydrolases).	\N	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC
20262	2.7.1.37	Protein kinase.	ATP + a protein = ADP + a phosphoprotein.	\N	\N	\N	\N	\N
20308	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N
20547	4.2.1.9	Dihydroxy-acid dehydratase.	2,3-dihydroxy-3-methylbutanoate = 3-methyl-2-oxobutanoate + H(2)O.	\N	\N	Pantothenate and CoA biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
20547	4.2.1.9	Dihydroxy-acid dehydratase.	2,3-dihydroxy-3-methylbutanoate = 3-methyl-2-oxobutanoate + H(2)O.	\N	\N	Valine, leucine and isoleucine biosynthesis	Amino Acid Metabolism	METABOLIC
20574	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
20574	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
20608	2.7.7.8	Polyribonucleotide nucleotidyltransferase.	{RNA}(N+1) + phosphate = {RNA}(N) + a nucleoside diphosphate.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC
20608	2.7.7.8	Polyribonucleotide nucleotidyltransferase.	{RNA}(N+1) + phosphate = {RNA}(N) + a nucleoside diphosphate.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
20657	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	ATP synthesis	Energy Metabolism	METABOLIC
20657	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	  Flagellar assembly	\N	\N
20657	3.6.3.14	H(+)-transporting two-sector ATPase.	ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).	\N	\N	  Type III secretion system	SORTING AND DEGRADATION	REGULATORY
