Gene ID	GO	KOG	ENZYME
ostta14g00160	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00160" target="_blank">ostta14g00160</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008318" target="_blank">protein prenyltransferase activity (GO:0008318)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004663" target="_blank">Rab geranylgeranyltransferase activity (GO:0004663)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0529" target="_blank">KOG0529</a>	
ostta14g00170	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00170" target="_blank">ostta14g00170</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">N-acetyltransferase activity (GO:0008080)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a>		
ostta14g00180	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00180" target="_blank">ostta14g00180</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>		
ostta14g00200	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00200" target="_blank">ostta14g00200</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030785" target="_blank">[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity (GO:0030785)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1337" target="_blank">KOG1337</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.127" target="_blank">2.1.1.127</a>
ostta14g00230	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00230" target="_blank">ostta14g00230</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG4629" target="_blank">KOG4629</a>	
ostta14g00250	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00250" target="_blank">ostta14g00250</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005992" target="_blank">trehalose biosynthetic process (GO:0005992)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004805" target="_blank">trehalose-phosphatase activity (GO:0004805)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1050" target="_blank">KOG1050</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.12" target="_blank">3.1.3.12</a>
ostta14g00260	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00260" target="_blank">ostta14g00260</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a>		
ostta14g00270	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00270" target="_blank">ostta14g00270</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006505" target="_blank">GPI anchor metabolic process (GO:0006505)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016788" target="_blank">hydrolase activity, acting on ester bonds (GO:0016788)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0031227" target="_blank">intrinsic component of endoplasmic reticulum membrane (GO:0031227)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003923" target="_blank">GPI-anchor transamidase activity (GO:0003923)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051336" target="_blank">regulation of hydrolase activity (GO:0051336)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3724" target="_blank">KOG3724</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.-.-.-" target="_blank">3.-.-.-</a>
ostta14g00280	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00280" target="_blank">ostta14g00280</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003993" target="_blank">acid phosphatase activity (GO:0003993)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank">KOG3720</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.2" target="_blank">3.1.3.2</a>
ostta14g00290	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00290" target="_blank">ostta14g00290</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2270" target="_blank">KOG2270</a>	
ostta14g00300	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00300" target="_blank">ostta14g00300</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008380" target="_blank">RNA splicing (GO:0008380)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004842" target="_blank">ubiquitin-protein transferase activity (GO:0004842)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051438" target="_blank">regulation of ubiquitin-protein transferase activity (GO:0051438)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051443" target="_blank">positive regulation of ubiquitin-protein transferase activity (GO:0051443)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051444" target="_blank">negative regulation of ubiquitin-protein transferase activity (GO:0051444)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0272" target="_blank">KOG0272</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=6.3.2.19" target="_blank">6.3.2.19</a>
ostta14g00330	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00330" target="_blank">ostta14g00330</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016071" target="_blank">mRNA metabolic process (GO:0016071)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3460" target="_blank">KOG3460</a>	
ostta14g00340	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00340" target="_blank">ostta14g00340</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006779" target="_blank">porphyrin-containing compound biosynthetic process (GO:0006779)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004851" target="_blank">uroporphyrin-III C-methyltransferase activity (GO:0004851)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1527" target="_blank">KOG1527</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.107" target="_blank">2.1.1.107</a>
ostta14g00350	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00350" target="_blank">ostta14g00350</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0034" target="_blank">KOG0034</a>	
ostta14g00360	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00360" target="_blank">ostta14g00360</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016740" target="_blank">transferase activity (GO:0016740)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0033741" target="_blank">adenylyl-sulfate reductase (glutathione) activity (GO:0033741)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0189" target="_blank">KOG0189</a>	
ostta14g00370	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00370" target="_blank">ostta14g00370</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008026" target="_blank">(GO:0008026)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0923" target="_blank">KOG0923</a>	
ostta14g00410	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00410" target="_blank">ostta14g00410</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>		
ostta14g00420	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00420" target="_blank">ostta14g00420</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008413" target="_blank">8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity (GO:0008413)</a>		
ostta14g00440	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00440" target="_blank">ostta14g00440</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3505" target="_blank">KOG3505</a>	
ostta14g00460	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00460" target="_blank">ostta14g00460</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008535" target="_blank">respiratory chain complex IV assembly (GO:0008535)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>		
ostta14g00500	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00500" target="_blank">ostta14g00500</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004639" target="_blank">phosphoribosylaminoimidazolesuccinocarboxamide synthase activity (GO:0004639)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2835" target="_blank">KOG2835</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=6.3.2.6" target="_blank">6.3.2.6</a>
ostta14g00520	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00520" target="_blank">ostta14g00520</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016671" target="_blank">oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019538" target="_blank">protein metabolic process (GO:0019538)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008113" target="_blank">peptide-methionine (S)-S-oxide reductase activity (GO:0008113)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1635" target="_blank">KOG1635</a>	
ostta14g00525	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00525" target="_blank">ostta14g00525</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016671" target="_blank">oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019538" target="_blank">protein metabolic process (GO:0019538)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008113" target="_blank">peptide-methionine (S)-S-oxide reductase activity (GO:0008113)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1635" target="_blank">KOG1635</a>	
ostta14g00540	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00540" target="_blank">ostta14g00540</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0044237" target="_blank">cellular metabolic process (GO:0044237)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008446" target="_blank">GDP-mannose 4,6-dehydratase activity (GO:0008446)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019673" target="_blank">GDP-mannose metabolic process (GO:0019673)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1372" target="_blank">KOG1372</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=4.2.1.47" target="_blank">4.2.1.47</a>
ostta14g00590	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00590" target="_blank">ostta14g00590</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0019787" target="_blank">ubiquitin-like protein transferase activity (GO:0019787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043687" target="_blank">post-translational protein modification (GO:0043687)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051246" target="_blank">regulation of protein metabolic process (GO:0051246)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004842" target="_blank">ubiquitin-protein transferase activity (GO:0004842)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051438" target="_blank">regulation of ubiquitin-protein transferase activity (GO:0051438)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051443" target="_blank">positive regulation of ubiquitin-protein transferase activity (GO:0051443)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051444" target="_blank">negative regulation of ubiquitin-protein transferase activity (GO:0051444)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0894" target="_blank">KOG0894</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=6.3.2.19" target="_blank">6.3.2.19</a>
ostta14g00620	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00620" target="_blank">ostta14g00620</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019843" target="_blank">rRNA binding (GO:0019843)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG4655" target="_blank">KOG4655</a>	
ostta14g00630	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00630" target="_blank">ostta14g00630</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004667" target="_blank">prostaglandin-D synthase activity (GO:0004667)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1695" target="_blank">KOG1695</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=5.3.99.2" target="_blank">5.3.99.2</a>
ostta14g00645	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00645" target="_blank">ostta14g00645</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>		
ostta14g00650	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00650" target="_blank">ostta14g00650</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>		
ostta14g00660	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00660" target="_blank">ostta14g00660</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0019787" target="_blank">ubiquitin-like protein transferase activity (GO:0019787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043687" target="_blank">post-translational protein modification (GO:0043687)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051246" target="_blank">regulation of protein metabolic process (GO:0051246)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004842" target="_blank">ubiquitin-protein transferase activity (GO:0004842)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051438" target="_blank">regulation of ubiquitin-protein transferase activity (GO:0051438)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051443" target="_blank">positive regulation of ubiquitin-protein transferase activity (GO:0051443)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051444" target="_blank">negative regulation of ubiquitin-protein transferase activity (GO:0051444)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0417" target="_blank">KOG0417</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=6.3.2.19" target="_blank">6.3.2.19</a>
ostta14g00690	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00690" target="_blank">ostta14g00690</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1423" target="_blank">KOG1423</a>	
ostta14g00700	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00700" target="_blank">ostta14g00700</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016117" target="_blank">carotenoid biosynthetic process (GO:0016117)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016705" target="_blank">oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)</a>		
ostta14g00710	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00710" target="_blank">ostta14g00710</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0118" target="_blank">KOG0118</a>	
ostta14g00720	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00720" target="_blank">ostta14g00720</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3090" target="_blank">KOG3090</a>	
ostta14g00730	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00730" target="_blank">ostta14g00730</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0018064" target="_blank">protein-histidine N-methyltransferase activity (GO:0018064)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2920" target="_blank">KOG2920</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.85" target="_blank">2.1.1.85</a>
ostta14g00740	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00740" target="_blank">ostta14g00740</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0374" target="_blank">KOG0374</a>	
ostta14g00750	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00750" target="_blank">ostta14g00750</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006364" target="_blank">rRNA processing (GO:0006364)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0032040" target="_blank">small-subunit processome (GO:0032040)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004842" target="_blank">ubiquitin-protein transferase activity (GO:0004842)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051438" target="_blank">regulation of ubiquitin-protein transferase activity (GO:0051438)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051443" target="_blank">positive regulation of ubiquitin-protein transferase activity (GO:0051443)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051444" target="_blank">negative regulation of ubiquitin-protein transferase activity (GO:0051444)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0306" target="_blank">KOG0306</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=6.3.2.19" target="_blank">6.3.2.19</a>
ostta14g00760	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00760" target="_blank">ostta14g00760</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009654" target="_blank">photosystem II oxygen evolving complex (GO:0009654)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">photosynthesis (GO:0015979)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019898" target="_blank">extrinsic component of membrane (GO:0019898)</a>		
ostta14g00780	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00780" target="_blank">ostta14g00780</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006364" target="_blank">rRNA processing (GO:0006364)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030688" target="_blank">preribosome, small subunit precursor (GO:0030688)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3911" target="_blank">KOG3911</a>	
ostta14g00800	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00800" target="_blank">ostta14g00800</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005778" target="_blank">peroxisomal membrane (GO:0005778)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007031" target="_blank">peroxisome organization (GO:0007031)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0317" target="_blank">KOG0317</a>	
ostta14g00810	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00810" target="_blank">ostta14g00810</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003755" target="_blank">peptidyl-prolyl cis-trans isomerase activity (GO:0003755)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0543" target="_blank">KOG0543</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=5.2.1.8" target="_blank">5.2.1.8</a>
ostta14g00820	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00820" target="_blank">ostta14g00820</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000287" target="_blank">magnesium ion binding (GO:0000287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016740" target="_blank">transferase activity (GO:0016740)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030976" target="_blank">thiamine pyrophosphate binding (GO:0030976)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003984" target="_blank">acetolactate synthase activity (GO:0003984)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1184" target="_blank">KOG1184</a>	
ostta14g00880	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00880" target="_blank">ostta14g00880</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3162" target="_blank">KOG3162</a>	
ostta14g00890	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00890" target="_blank">ostta14g00890</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016272" target="_blank">prefoldin complex (GO:0016272)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051082" target="_blank">unfolded protein binding (GO:0051082)</a>		
ostta14g00900	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00900" target="_blank">ostta14g00900</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003755" target="_blank">peptidyl-prolyl cis-trans isomerase activity (GO:0003755)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0549" target="_blank">KOG0549</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=5.2.1.8" target="_blank">5.2.1.8</a>
ostta14g00920	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/OsttaV2/current/ostta14g00920" target="_blank">ostta14g00920</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004518" target="_blank">nuclease activity (GO:0004518)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006289" target="_blank">nucleotide-excision repair (GO:0006289)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0338" target="_blank">KOG0338</a>	
