Gene ID	GO	KO	PFAM
ME000195S02624	ME000195S02624	<a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016705" target="_blank">oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00067" target="_blank">PF00067</a>
ME000195S02625	ME000195S02625	<a href="http://amigo.geneontology.org/amigo/term/GO:0015098" target="_blank">molybdate ion transmembrane transporter activity (GO:0015098)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015689" target="_blank">molybdate ion transport (GO:0015689)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF16983" target="_blank">PF16983</a>
ME000195S02626	ME000195S02626	<a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004827" target="_blank">proline-tRNA ligase activity (GO:0004827)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006433" target="_blank">prolyl-tRNA aminoacylation (GO:0006433)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01881" target="_blank">K01881</a>	<a href="http://pfam.xfam.org/family/PF03129" target="_blank">PF03129</a> <a href="http://pfam.xfam.org/family/PF09180" target="_blank">PF09180</a>
ME000195S02629	ME000195S02629	<a href="http://amigo.geneontology.org/amigo/term/GO:0008759" target="_blank">UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity (GO:0008759)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009245" target="_blank">lipid A biosynthetic process (GO:0009245)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03331" target="_blank">PF03331</a>
ME000195S02632	ME000195S02632	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003918" target="_blank">DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006265" target="_blank">DNA topological change (GO:0006265)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00521" target="_blank">PF00521</a>
ME000195S02634	ME000195S02634	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003918" target="_blank">DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006265" target="_blank">DNA topological change (GO:0006265)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00521" target="_blank">PF00521</a>
ME000195S02636	ME000195S02636	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02971" target="_blank">K02971</a>	<a href="http://pfam.xfam.org/family/PF01249" target="_blank">PF01249</a>
ME000451S07502	ME000451S07502	<a href="http://amigo.geneontology.org/amigo/term/GO:0016811" target="_blank">hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006672" target="_blank">ceramide metabolic process (GO:0006672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K04711" target="_blank">K04711</a>	<a href="http://pfam.xfam.org/family/PF05875" target="_blank">PF05875</a>
ME000451S07504	ME000451S07504	<a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">photosynthesis (GO:0015979)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009522" target="_blank">photosystem I (GO:0009522)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009538" target="_blank">photosystem I reaction center (GO:0009538)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02693" target="_blank">K02693</a>	<a href="http://pfam.xfam.org/family/PF02427" target="_blank">PF02427</a>
ME000451S07505	ME000451S07505	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10661" target="_blank">K10661</a>	<a href="http://pfam.xfam.org/family/PF12906" target="_blank">PF12906</a>
ME000451S07507	ME000451S07507	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14552" target="_blank">K14552</a>	<a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a>
ME000237S03665	ME000237S03665	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06062" target="_blank">K06062</a>	<a href="http://pfam.xfam.org/family/PF00439" target="_blank">PF00439</a>
ME1126437C07650	ME1126437C07650	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13185" target="_blank">PF13185</a>
ME000076S09645	ME000076S09645	<a href="http://amigo.geneontology.org/amigo/term/GO:0004109" target="_blank">coproporphyrinogen oxidase activity (GO:0004109)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006779" target="_blank">porphyrin-containing compound biosynthetic process (GO:0006779)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00228" target="_blank">K00228</a>	<a href="http://pfam.xfam.org/family/PF01218" target="_blank">PF01218</a>
ME000076S09649	ME000076S09649	<a href="http://amigo.geneontology.org/amigo/term/GO:0016301" target="_blank">kinase activity (GO:0016301)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00781" target="_blank">PF00781</a>
ME000076S09650	ME000076S09650	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13649" target="_blank">PF13649</a> <a href="http://pfam.xfam.org/family/PF08241" target="_blank">PF08241</a> <a href="http://pfam.xfam.org/family/PF08242" target="_blank">PF08242</a> <a href="http://pfam.xfam.org/family/PF13489" target="_blank">PF13489</a> <a href="http://pfam.xfam.org/family/PF13847" target="_blank">PF13847</a> <a href="http://pfam.xfam.org/family/PF01209" target="_blank">PF01209</a>
ME000076S09651	ME000076S09651	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
ME000076S09652	ME000076S09652	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13649" target="_blank">PF13649</a> <a href="http://pfam.xfam.org/family/PF08241" target="_blank">PF08241</a> <a href="http://pfam.xfam.org/family/PF08242" target="_blank">PF08242</a> <a href="http://pfam.xfam.org/family/PF13847" target="_blank">PF13847</a> <a href="http://pfam.xfam.org/family/PF13489" target="_blank">PF13489</a> <a href="http://pfam.xfam.org/family/PF01209" target="_blank">PF01209</a>
ME000076S09663	ME000076S09663	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
ME000076S09666	ME000076S09666	<a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00071" target="_blank">PF00071</a> <a href="http://pfam.xfam.org/family/PF08477" target="_blank">PF08477</a> <a href="http://pfam.xfam.org/family/PF00025" target="_blank">PF00025</a>
ME000076S09668	ME000076S09668	<a href="http://amigo.geneontology.org/amigo/term/GO:0015109" target="_blank">chromate transmembrane transporter activity (GO:0015109)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015703" target="_blank">chromate transport (GO:0015703)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02417" target="_blank">PF02417</a>
ME000076S09669	ME000076S09669	<a href="http://amigo.geneontology.org/amigo/term/GO:0004867" target="_blank">serine-type endopeptidase inhibitor activity (GO:0004867)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009611" target="_blank">response to wounding (GO:0009611)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00280" target="_blank">PF00280</a>
ME000076S09673	ME000076S09673	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0018580" target="_blank">nitronate monooxygenase activity (GO:0018580)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00088" target="_blank">K00088</a>	<a href="http://pfam.xfam.org/family/PF00478" target="_blank">PF00478</a> <a href="http://pfam.xfam.org/family/PF00571" target="_blank">PF00571</a> <a href="http://pfam.xfam.org/family/PF01070" target="_blank">PF01070</a> <a href="http://pfam.xfam.org/family/PF03060" target="_blank">PF03060</a>
ME000076S09674	ME000076S09674	<a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016705" target="_blank">oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K24543" target="_blank">K24543</a>	<a href="http://pfam.xfam.org/family/PF00067" target="_blank">PF00067</a>
ME000076S09679	ME000076S09679	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01585" target="_blank">PF01585</a>
ME000076S09680	ME000076S09680	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a> <a href="http://pfam.xfam.org/family/PF11721" target="_blank">PF11721</a> <a href="http://pfam.xfam.org/family/PF12819" target="_blank">PF12819</a>
ME000076S09685	ME000076S09685	<a href="http://amigo.geneontology.org/amigo/term/GO:0015031" target="_blank">protein transport (GO:0015031)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19995" target="_blank">K19995</a>	<a href="http://pfam.xfam.org/family/PF04144" target="_blank">PF04144</a>
ME000076S09686	ME000076S09686	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K08829" target="_blank">K08829</a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
ME000076S09687	ME000076S09687	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02964" target="_blank">K02964</a>	<a href="http://pfam.xfam.org/family/PF00416" target="_blank">PF00416</a>
ME000076S09691	ME000076S09691	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00004" target="_blank">PF00004</a>
ME000076S09692	ME000076S09692	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06118" target="_blank">K06118</a>	<a href="http://pfam.xfam.org/family/PF16363" target="_blank">PF16363</a> <a href="http://pfam.xfam.org/family/PF01370" target="_blank">PF01370</a>
ME000076S09693	ME000076S09693	<a href="http://amigo.geneontology.org/amigo/term/GO:0004177" target="_blank">aminopeptidase activity (GO:0004177)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030145" target="_blank">manganese ion binding (GO:0030145)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14213" target="_blank">K14213</a>	<a href="http://pfam.xfam.org/family/PF00557" target="_blank">PF00557</a> <a href="http://pfam.xfam.org/family/PF05195" target="_blank">PF05195</a>
ME000076S09698	ME000076S09698	<a href="http://amigo.geneontology.org/amigo/term/GO:0016151" target="_blank">nickel cation binding (GO:0016151)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006807" target="_blank">nitrogen compound metabolic process (GO:0006807)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03190" target="_blank">K03190</a>	<a href="http://pfam.xfam.org/family/PF01774" target="_blank">PF01774</a>
ME000076S09699	ME000076S09699	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016151" target="_blank">nickel cation binding (GO:0016151)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043419" target="_blank">urea catabolic process (GO:0043419)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01427" target="_blank">K01427</a>	<a href="http://pfam.xfam.org/family/PF01979" target="_blank">PF01979</a> <a href="http://pfam.xfam.org/family/PF00699" target="_blank">PF00699</a> <a href="http://pfam.xfam.org/family/PF00547" target="_blank">PF00547</a>
ME000425S07176	ME000425S07176	<a href="http://amigo.geneontology.org/amigo/term/GO:0003755" target="_blank">peptidyl-prolyl cis-trans isomerase activity (GO:0003755)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01802" target="_blank">K01802</a>	<a href="http://pfam.xfam.org/family/PF00254" target="_blank">PF00254</a>
ME000425S07179	ME000425S07179	<a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">biosynthetic process (GO:0009058)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF04715" target="_blank">PF04715</a>
ME000425S07180	ME000425S07180	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12872" target="_blank">K12872</a>	<a href="http://pfam.xfam.org/family/PF16131" target="_blank">PF16131</a> <a href="http://pfam.xfam.org/family/PF00076" target="_blank">PF00076</a>
ME000425S07181	ME000425S07181	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a> <a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a>
ME000425S07183	ME000425S07183	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00856" target="_blank">PF00856</a>
ME000425S07184	ME000425S07184	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K18886" target="_blank">K18886</a>	<a href="http://pfam.xfam.org/family/PF03492" target="_blank">PF03492</a>
ME000425S07187	ME000425S07187	<a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00474" target="_blank">PF00474</a>
ME000425S07188	ME000425S07188	<a href="http://amigo.geneontology.org/amigo/term/GO:0016747" target="_blank">transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02458" target="_blank">PF02458</a>
ME000425S07191	ME000425S07191	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K18886" target="_blank">K18886</a>	<a href="http://pfam.xfam.org/family/PF03492" target="_blank">PF03492</a>
ME000425S07193	ME000425S07193	<a href="http://amigo.geneontology.org/amigo/term/GO:0017056" target="_blank">structural constituent of nuclear pore (GO:0017056)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006913" target="_blank">nucleocytoplasmic transport (GO:0006913)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005643" target="_blank">nuclear pore (GO:0005643)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14297" target="_blank">K14297</a>	<a href="http://pfam.xfam.org/family/PF12110" target="_blank">PF12110</a> <a href="http://pfam.xfam.org/family/PF04096" target="_blank">PF04096</a>
ME000425S07194	ME000425S07194	<a href="http://amigo.geneontology.org/amigo/term/GO:0016757" target="_blank">transferase activity, transferring glycosyl groups (GO:0016757)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF04577" target="_blank">PF04577</a>
ME000425S07195	ME000425S07195	<a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03106" target="_blank">PF03106</a>
ME000425S07201	ME000425S07201	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13356" target="_blank">K13356</a>	<a href="http://pfam.xfam.org/family/PF07993" target="_blank">PF07993</a> <a href="http://pfam.xfam.org/family/PF03015" target="_blank">PF03015</a> <a href="http://pfam.xfam.org/family/PF01370" target="_blank">PF01370</a>
ME000425S07202	ME000425S07202	<a href="http://amigo.geneontology.org/amigo/term/GO:0004594" target="_blank">pantothenate kinase activity (GO:0004594)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015937" target="_blank">coenzyme A biosynthetic process (GO:0015937)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03630" target="_blank">PF03630</a>
ME000425S07204	ME000425S07204	<a href="http://amigo.geneontology.org/amigo/term/GO:0042578" target="_blank">phosphoric ester hydrolase activity (GO:0042578)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02383" target="_blank">PF02383</a>
ME000425S07205	ME000425S07205	<a href="http://amigo.geneontology.org/amigo/term/GO:0022904" target="_blank">respiratory electron transport chain (GO:0022904)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03949" target="_blank">K03949</a>	<a href="http://pfam.xfam.org/family/PF04716" target="_blank">PF04716</a>
ME000425S07206	ME000425S07206	<a href="http://amigo.geneontology.org/amigo/term/GO:0004807" target="_blank">triose-phosphate isomerase activity (GO:0004807)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01803" target="_blank">K01803</a>	<a href="http://pfam.xfam.org/family/PF00121" target="_blank">PF00121</a>
ME000425S07210	ME000425S07210	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02045" target="_blank">K02045</a>	<a href="http://pfam.xfam.org/family/PF00005" target="_blank">PF00005</a>
ME000730S09340	ME000730S09340	<a href="http://amigo.geneontology.org/amigo/term/GO:0006904" target="_blank">vesicle docking involved in exocytosis (GO:0006904)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19998" target="_blank">K19998</a>	<a href="http://pfam.xfam.org/family/PF00995" target="_blank">PF00995</a>
ME000730S09342	ME000730S09342	<a href="http://amigo.geneontology.org/amigo/term/GO:0006904" target="_blank">vesicle docking involved in exocytosis (GO:0006904)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20182" target="_blank">K20182</a>	<a href="http://pfam.xfam.org/family/PF00995" target="_blank">PF00995</a>
ME000730S09343	ME000730S09343	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K24139" target="_blank">K24139</a>	<a href="http://pfam.xfam.org/family/PF03547" target="_blank">PF03547</a>
ME000730S09345	ME000730S09345	<a href="http://amigo.geneontology.org/amigo/term/GO:0006904" target="_blank">vesicle docking involved in exocytosis (GO:0006904)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20182" target="_blank">K20182</a>	<a href="http://pfam.xfam.org/family/PF00995" target="_blank">PF00995</a>
ME000730S09346	ME000730S09346	<a href="http://amigo.geneontology.org/amigo/term/GO:0016620" target="_blank">oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02800" target="_blank">PF02800</a> <a href="http://pfam.xfam.org/family/PF00044" target="_blank">PF00044</a>
ME000730S09349	ME000730S09349	<a href="http://amigo.geneontology.org/amigo/term/GO:0009116" target="_blank">nucleoside metabolic process (GO:0009116)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00760" target="_blank">K00760</a>	<a href="http://pfam.xfam.org/family/PF00156" target="_blank">PF00156</a>
