Gene ID	GO	KO
kfl00042_0010	kfl00042_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0015074" target="_blank">DNA integration (GO:0015074)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00042_0020	kfl00042_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">electron transfer activity (GO:0009055)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050660" target="_blank">flavin adenine dinucleotide binding (GO:0050660)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
kfl00042_0030	kfl00042_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19758" target="_blank">K19758</a>
kfl00042_0050	kfl00042_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003755" target="_blank">peptidyl-prolyl cis-trans isomerase activity (GO:0003755)</a>	
kfl00042_0090	kfl00042_0090	<a href="http://amigo.geneontology.org/amigo/term/GO:0006511" target="_blank">ubiquitin-dependent protein catabolic process (GO:0006511)</a>	
kfl00042_0100	kfl00042_0100	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000287" target="_blank">magnesium ion binding (GO:0000287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03979" target="_blank">K03979</a>
kfl00042_0110	kfl00042_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00042_0120	kfl00042_0120	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0031072" target="_blank">heat shock protein binding (GO:0031072)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051082" target="_blank">unfolded protein binding (GO:0051082)</a>	
kfl00042_0130	kfl00042_0130	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00042_0170	kfl00042_0170	<a href="http://amigo.geneontology.org/amigo/term/GO:0018106" target="_blank">peptidyl-histidine phosphorylation (GO:0018106)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016310" target="_blank">phosphorylation (GO:0016310)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">phosphorelay signal transduction system (GO:0000160)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004673" target="_blank">protein histidine kinase activity (GO:0004673)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000156" target="_blank">phosphorelay response regulator activity (GO:0000156)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a>	
kfl00042_0180	kfl00042_0180	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016301" target="_blank">kinase activity (GO:0016301)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05305" target="_blank">K05305</a>
kfl00042_0190	kfl00042_0190	<a href="http://amigo.geneontology.org/amigo/term/GO:0006529" target="_blank">asparagine biosynthetic process (GO:0006529)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004066" target="_blank">asparagine synthase (glutamine-hydrolyzing) activity (GO:0004066)</a>	
kfl00042_0220	kfl00042_0220	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00042_0230	kfl00042_0230	<a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">N-acetyltransferase activity (GO:0008080)</a>	
kfl00042_0240	kfl00042_0240	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004190" target="_blank">aspartic-type endopeptidase activity (GO:0004190)</a>	
kfl00042_0250	kfl00042_0250	<a href="http://amigo.geneontology.org/amigo/term/GO:0000105" target="_blank">histidine biosynthetic process (GO:0000105)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000107" target="_blank">imidazoleglycerol-phosphate synthase activity (GO:0000107)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016833" target="_blank">oxo-acid-lyase activity (GO:0016833)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016763" target="_blank">transferase activity, transferring pentosyl groups (GO:0016763)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01663" target="_blank">K01663</a>
kfl00043_0020	kfl00043_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20403" target="_blank">K20403</a>
kfl00043_0050	kfl00043_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004713" target="_blank">protein tyrosine kinase activity (GO:0004713)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	
kfl00043_0070	kfl00043_0070	<a href="http://amigo.geneontology.org/amigo/term/GO:0038032" target="_blank">termination of G protein-coupled receptor signaling pathway (GO:0038032)</a>	
kfl00043_0080	kfl00043_0080	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00043_0100	kfl00043_0100	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006098" target="_blank">pentose-phosphate shunt (GO:0006098)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004616" target="_blank">phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00020" target="_blank">K00020</a>
kfl00043_0130	kfl00043_0130	<a href="http://amigo.geneontology.org/amigo/term/GO:0009451" target="_blank">RNA modification (GO:0009451)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006396" target="_blank">RNA processing (GO:0006396)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0001522" target="_blank">pseudouridine synthesis (GO:0001522)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009982" target="_blank">pseudouridine synthase activity (GO:0009982)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11131" target="_blank">K11131</a>
kfl00043_0140	kfl00043_0140	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00043_0150	kfl00043_0150	<a href="http://amigo.geneontology.org/amigo/term/GO:0006231" target="_blank">dTMP biosynthetic process (GO:0006231)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006545" target="_blank">glycine biosynthetic process (GO:0006545)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009165" target="_blank">nucleotide biosynthetic process (GO:0009165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006730" target="_blank">one-carbon metabolic process (GO:0006730)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004146" target="_blank">dihydrofolate reductase activity (GO:0004146)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004799" target="_blank">thymidylate synthase activity (GO:0004799)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13998" target="_blank">K13998</a>
kfl00043_0180	kfl00043_0180	<a href="http://amigo.geneontology.org/amigo/term/GO:0030163" target="_blank">protein catabolic process (GO:0030163)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03061" target="_blank">K03061</a>
kfl00043_0200	kfl00043_0200	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	
kfl00043_0210	kfl00043_0210	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a>	
kfl00043_0220	kfl00043_0220	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006979" target="_blank">response to oxidative stress (GO:0006979)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004601" target="_blank">peroxidase activity (GO:0004601)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00434" target="_blank">K00434</a>
kfl00043_0240	kfl00043_0240	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016811" target="_blank">hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)</a>	
kfl00043_0250	kfl00043_0250	<a href="http://amigo.geneontology.org/amigo/term/GO:0006396" target="_blank">RNA processing (GO:0006396)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12586" target="_blank">K12586</a>
kfl00043_0260	kfl00043_0260	<a href="http://amigo.geneontology.org/amigo/term/GO:0006139" target="_blank">nucleobase-containing compound metabolic process (GO:0006139)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004003" target="_blank">(GO:0004003)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008026" target="_blank">(GO:0008026)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016817" target="_blank">hydrolase activity, acting on acid anhydrides (GO:0016817)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016818" target="_blank">hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11136" target="_blank">K11136</a>
kfl00043_0290	kfl00043_0290	<a href="http://amigo.geneontology.org/amigo/term/GO:0005543" target="_blank">phospholipid binding (GO:0005543)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00043_0320	kfl00043_0320	<a href="http://amigo.geneontology.org/amigo/term/GO:0009451" target="_blank">RNA modification (GO:0009451)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0001522" target="_blank">pseudouridine synthesis (GO:0001522)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009982" target="_blank">pseudouridine synthase activity (GO:0009982)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06173" target="_blank">K06173</a>
kfl00043_0330	kfl00043_0330	<a href="http://amigo.geneontology.org/amigo/term/GO:0006813" target="_blank">potassium ion transport (GO:0006813)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005249" target="_blank">voltage-gated potassium channel activity (GO:0005249)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K21867" target="_blank">K21867</a>
kfl00043_0350	kfl00043_0350	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
kfl00043_0360	kfl00043_0360	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">electron transfer activity (GO:0009055)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016705" target="_blank">oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)</a>	
kfl00043_0370	kfl00043_0370	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	
kfl00043_0380	kfl00043_0380	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K23113" target="_blank">K23113</a>
kfl00043_0390	kfl00043_0390	<a href="http://amigo.geneontology.org/amigo/term/GO:0030163" target="_blank">protein catabolic process (GO:0030163)</a>	
kfl00043_0400	kfl00043_0400	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004750" target="_blank">ribulose-phosphate 3-epimerase activity (GO:0004750)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01783" target="_blank">K01783</a>
kfl00044_0010	kfl00044_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0006357" target="_blank">regulation of transcription by RNA polymerase II (GO:0006357)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016592" target="_blank">mediator complex (GO:0016592)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15151" target="_blank">K15151</a>
kfl00044_0020	kfl00044_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0000184" target="_blank">nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14326" target="_blank">K14326</a>
kfl00044_0030	kfl00044_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008937" target="_blank">ferredoxin-NAD(P) reductase activity (GO:0008937)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17892" target="_blank">K17892</a>
kfl00044_0050	kfl00044_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006284" target="_blank">base-excision repair (GO:0006284)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10801" target="_blank">K10801</a>
kfl00044_0070	kfl00044_0070	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00044_0080	kfl00044_0080	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	
kfl00044_0110	kfl00044_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a>	
kfl00044_0120	kfl00044_0120	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
kfl00044_0150	kfl00044_0150	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00044_0170	kfl00044_0170	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00616" target="_blank">K00616</a>
kfl00044_0180	kfl00044_0180	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00044_0190	kfl00044_0190	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	
kfl00044_0200	kfl00044_0200	<a href="http://amigo.geneontology.org/amigo/term/GO:0006855" target="_blank">drug transmembrane transport (GO:0006855)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015297" target="_blank">antiporter activity (GO:0015297)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015238" target="_blank">(GO:0015238)</a>	
kfl00044_0210	kfl00044_0210	<a href="http://amigo.geneontology.org/amigo/term/GO:0006811" target="_blank">ion transport (GO:0006811)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005216" target="_blank">ion channel activity (GO:0005216)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00044_0220	kfl00044_0220	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00044_0240	kfl00044_0240	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11511" target="_blank">K11511</a>
kfl00044_0270	kfl00044_0270	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11314" target="_blank">K11314</a>
kfl00044_0280	kfl00044_0280	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006833" target="_blank">water transport (GO:0006833)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">transporter activity (GO:0005215)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K09872" target="_blank">K09872</a>
kfl00044_0290	kfl00044_0290	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14774" target="_blank">K14774</a>
kfl00044_0300	kfl00044_0300	<a href="http://amigo.geneontology.org/amigo/term/GO:0033014" target="_blank">tetrapyrrole biosynthetic process (GO:0033014)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004655" target="_blank">porphobilinogen synthase activity (GO:0004655)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01698" target="_blank">K01698</a>
kfl00044_0310	kfl00044_0310	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
kfl00044_0320	kfl00044_0320	<a href="http://amigo.geneontology.org/amigo/term/GO:0007010" target="_blank">cytoskeleton organization (GO:0007010)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015629" target="_blank">actin cytoskeleton (GO:0015629)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003779" target="_blank">actin binding (GO:0003779)</a>	
kfl00044_0350	kfl00044_0350	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00044_0370	kfl00044_0370	<a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007017" target="_blank">microtubule-based process (GO:0007017)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051258" target="_blank">protein polymerization (GO:0051258)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005874" target="_blank">microtubule (GO:0005874)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005198" target="_blank">structural molecule activity (GO:0005198)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10390" target="_blank">K10390</a>
