Gene ID	GO	KOG	ENZYME
Naga_100552g2	<a href="http://www.nannochloropsis.org/gene/Naga_100552g2" target="_blank">Naga_100552g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">N-acetyltransferase activity (GO:0008080)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG4135" target="_blank">KOG4135</a>	
Naga_100552g4	<a href="http://www.nannochloropsis.org/gene/Naga_100552g4" target="_blank">Naga_100552g4</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004168" target="_blank">dolichol kinase activity (GO:0004168)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2468" target="_blank">KOG2468</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.108" target="_blank">2.7.1.108</a>
Naga_100862g3	<a href="http://www.nannochloropsis.org/gene/Naga_100862g3" target="_blank">Naga_100862g3</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0627" target="_blank">KOG0627</a>	
Naga_101108g2	<a href="http://www.nannochloropsis.org/gene/Naga_101108g2" target="_blank">Naga_101108g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0748" target="_blank">KOG0748</a>	
Naga_100532g1	<a href="http://www.nannochloropsis.org/gene/Naga_100532g1" target="_blank">Naga_100532g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0748" target="_blank">KOG0748</a>	
Naga_100532g3	<a href="http://www.nannochloropsis.org/gene/Naga_100532g3" target="_blank">Naga_100532g3</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">cell redox homeostasis (GO:0045454)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015035" target="_blank">protein disulfide oxidoreductase activity (GO:0015035)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">electron transfer activity (GO:0009055)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0911" target="_blank">KOG0911</a>	
Naga_100741g3	<a href="http://www.nannochloropsis.org/gene/Naga_100741g3" target="_blank">Naga_100741g3</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1540" target="_blank">KOG1540</a>	
Naga_100741g2	<a href="http://www.nannochloropsis.org/gene/Naga_100741g2" target="_blank">Naga_100741g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008616" target="_blank">queuosine biosynthetic process (GO:0008616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008479" target="_blank">queuine tRNA-ribosyltransferase activity (GO:0008479)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006400" target="_blank">tRNA modification (GO:0006400)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3908" target="_blank">KOG3908</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.4.2.29" target="_blank">2.4.2.29</a>
Naga_100407g1	<a href="http://www.nannochloropsis.org/gene/Naga_100407g1" target="_blank">Naga_100407g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003995" target="_blank">acyl-CoA dehydrogenase activity (GO:0003995)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016627" target="_blank">oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050660" target="_blank">flavin adenine dinucleotide binding (GO:0050660)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0139" target="_blank">KOG0139</a>	
Naga_100426g5	<a href="http://www.nannochloropsis.org/gene/Naga_100426g5" target="_blank">Naga_100426g5</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004806" target="_blank">triglyceride lipase activity (GO:0004806)</a>		
Naga_100306g1	<a href="http://www.nannochloropsis.org/gene/Naga_100306g1" target="_blank">Naga_100306g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0990" target="_blank">KOG0990</a>	
Naga_100306g3	<a href="http://www.nannochloropsis.org/gene/Naga_100306g3" target="_blank">Naga_100306g3</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0019898" target="_blank">extrinsic component of membrane (GO:0019898)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">photosynthesis (GO:0015979)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009654" target="_blank">photosystem II oxygen evolving complex (GO:0009654)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>		
Naga_100306g5	<a href="http://www.nannochloropsis.org/gene/Naga_100306g5" target="_blank">Naga_100306g5</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">transporter activity (GO:0005215)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0236" target="_blank">KOG0236</a>	
Naga_100306g7	<a href="http://www.nannochloropsis.org/gene/Naga_100306g7" target="_blank">Naga_100306g7</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004663" target="_blank">Rab geranylgeranyltransferase activity (GO:0004663)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0366" target="_blank">KOG0366</a>	
Naga_102887g1	<a href="http://www.nannochloropsis.org/gene/Naga_102887g1" target="_blank">Naga_102887g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0042578" target="_blank">phosphoric ester hydrolase activity (GO:0042578)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1458" target="_blank">KOG1458</a>	
Naga_100404g4	<a href="http://www.nannochloropsis.org/gene/Naga_100404g4" target="_blank">Naga_100404g4</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0019538" target="_blank">protein metabolic process (GO:0019538)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016671" target="_blank">oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008113" target="_blank">peptide-methionine (S)-S-oxide reductase activity (GO:0008113)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1635" target="_blank">KOG1635</a>	
Naga_100660g2	<a href="http://www.nannochloropsis.org/gene/Naga_100660g2" target="_blank">Naga_100660g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>		
Naga_100286g1	<a href="http://www.nannochloropsis.org/gene/Naga_100286g1" target="_blank">Naga_100286g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1826" target="_blank">KOG1826</a>	
Naga_100445g1	<a href="http://www.nannochloropsis.org/gene/Naga_100445g1" target="_blank">Naga_100445g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0953" target="_blank">KOG0953</a>	
Naga_101719g1	<a href="http://www.nannochloropsis.org/gene/Naga_101719g1" target="_blank">Naga_101719g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">transporter activity (GO:0005215)</a>		
Naga_101733g1	<a href="http://www.nannochloropsis.org/gene/Naga_101733g1" target="_blank">Naga_101733g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0055" target="_blank">KOG0055</a>	
Naga_100480g1	<a href="http://www.nannochloropsis.org/gene/Naga_100480g1" target="_blank">Naga_100480g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008236" target="_blank">serine-type peptidase activity (GO:0008236)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a>		
Naga_101020g1	<a href="http://www.nannochloropsis.org/gene/Naga_101020g1" target="_blank">Naga_101020g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0004591" target="_blank">oxoglutarate dehydrogenase (succinyl-transferring) activity (GO:0004591)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0451" target="_blank">KOG0451</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.2.4.2" target="_blank">1.2.4.2</a>
Naga_101271g1	<a href="http://www.nannochloropsis.org/gene/Naga_101271g1" target="_blank">Naga_101271g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>		
Naga_102359g1	<a href="http://www.nannochloropsis.org/gene/Naga_102359g1" target="_blank">Naga_102359g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004713" target="_blank">protein tyrosine kinase activity (GO:0004713)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0192" target="_blank">KOG0192</a>	
Naga_100875g2	<a href="http://www.nannochloropsis.org/gene/Naga_100875g2" target="_blank">Naga_100875g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0001681" target="_blank">sialate O-acetylesterase activity (GO:0001681)</a>		<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.53" target="_blank">3.1.1.53</a>
Naga_101551g1	<a href="http://www.nannochloropsis.org/gene/Naga_101551g1" target="_blank">Naga_101551g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005777" target="_blank">peroxisome (GO:0005777)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2629" target="_blank">KOG2629</a>	
Naga_102301g1	<a href="http://www.nannochloropsis.org/gene/Naga_102301g1" target="_blank">Naga_102301g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2451" target="_blank">KOG2451</a>	
Naga_100644g2	<a href="http://www.nannochloropsis.org/gene/Naga_100644g2" target="_blank">Naga_100644g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0018024" target="_blank">histone-lysine N-methyltransferase activity (GO:0018024)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1337" target="_blank">KOG1337</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.43" target="_blank">2.1.1.43</a>
Naga_100063g4	<a href="http://www.nannochloropsis.org/gene/Naga_100063g4" target="_blank">Naga_100063g4</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006511" target="_blank">ubiquitin-dependent protein catabolic process (GO:0006511)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005839" target="_blank">proteasome core complex (GO:0005839)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004175" target="_blank">endopeptidase activity (GO:0004175)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004298" target="_blank">threonine-type endopeptidase activity (GO:0004298)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0173" target="_blank">KOG0173</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.4.25.1" target="_blank">3.4.25.1</a>
Naga_100063g5	<a href="http://www.nannochloropsis.org/gene/Naga_100063g5" target="_blank">Naga_100063g5</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016769" target="_blank">transferase activity, transferring nitrogenous groups (GO:0016769)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">biosynthetic process (GO:0009058)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0257" target="_blank">KOG0257</a>	
Naga_100063g7	<a href="http://www.nannochloropsis.org/gene/Naga_100063g7" target="_blank">Naga_100063g7</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008026" target="_blank">(GO:0008026)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0334" target="_blank">KOG0334</a>	
Naga_100063g16	<a href="http://www.nannochloropsis.org/gene/Naga_100063g16" target="_blank">Naga_100063g16</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3569" target="_blank">KOG3569</a>	
Naga_100063g17	<a href="http://www.nannochloropsis.org/gene/Naga_100063g17" target="_blank">Naga_100063g17</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0044237" target="_blank">cellular metabolic process (GO:0044237)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1429" target="_blank">KOG1429</a>	
Naga_100063g18	<a href="http://www.nannochloropsis.org/gene/Naga_100063g18" target="_blank">Naga_100063g18</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3183" target="_blank">KOG3183</a>	
Naga_100063g19	<a href="http://www.nannochloropsis.org/gene/Naga_100063g19" target="_blank">Naga_100063g19</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0019538" target="_blank">protein metabolic process (GO:0019538)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016706" target="_blank">2-oxoglutarate-dependent dioxygenase activity (GO:0016706)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019798" target="_blank">procollagen-proline dioxygenase activity (GO:0019798)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016222" target="_blank">procollagen-proline 4-dioxygenase complex (GO:0016222)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004656" target="_blank">procollagen-proline 4-dioxygenase activity (GO:0004656)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1591" target="_blank">KOG1591</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.14.11.2" target="_blank">1.14.11.2</a>
Naga_100063g20	<a href="http://www.nannochloropsis.org/gene/Naga_100063g20" target="_blank">Naga_100063g20</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>		
Naga_100063g22	<a href="http://www.nannochloropsis.org/gene/Naga_100063g22" target="_blank">Naga_100063g22</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006520" target="_blank">cellular amino acid metabolic process (GO:0006520)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004354" target="_blank">glutamate dehydrogenase (NADP+) activity (GO:0004354)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2250" target="_blank">KOG2250</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.4.1.4" target="_blank">1.4.1.4</a>
Naga_100063g25	<a href="http://www.nannochloropsis.org/gene/Naga_100063g25" target="_blank">Naga_100063g25</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>		
Naga_100063g26	<a href="http://www.nannochloropsis.org/gene/Naga_100063g26" target="_blank">Naga_100063g26</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016773" target="_blank">phosphotransferase activity, alcohol group as acceptor (GO:0016773)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0891" target="_blank">KOG0891</a>	
Naga_100280g1	<a href="http://www.nannochloropsis.org/gene/Naga_100280g1" target="_blank">Naga_100280g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0891" target="_blank">KOG0891</a>	
Naga_100280g3	<a href="http://www.nannochloropsis.org/gene/Naga_100280g3" target="_blank">Naga_100280g3</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0601" target="_blank">KOG0601</a>	
Naga_100280g5	<a href="http://www.nannochloropsis.org/gene/Naga_100280g5" target="_blank">Naga_100280g5</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a>		
Naga_100280g7	<a href="http://www.nannochloropsis.org/gene/Naga_100280g7" target="_blank">Naga_100280g7</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1280" target="_blank">KOG1280</a>	
Naga_100280g8	<a href="http://www.nannochloropsis.org/gene/Naga_100280g8" target="_blank">Naga_100280g8</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007017" target="_blank">microtubule-based process (GO:0007017)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005874" target="_blank">microtubule (GO:0005874)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051258" target="_blank">protein polymerization (GO:0051258)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005198" target="_blank">structural molecule activity (GO:0005198)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1375" target="_blank">KOG1375</a>	
Naga_101251g2	<a href="http://www.nannochloropsis.org/gene/Naga_101251g2" target="_blank">Naga_101251g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016779" target="_blank">nucleotidyltransferase activity (GO:0016779)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006396" target="_blank">RNA processing (GO:0006396)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2159" target="_blank">KOG2159</a>	
Naga_100765g2	<a href="http://www.nannochloropsis.org/gene/Naga_100765g2" target="_blank">Naga_100765g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0385" target="_blank">KOG0385</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.6.4.-" target="_blank">3.6.4.-</a>
Naga_100040g1	<a href="http://www.nannochloropsis.org/gene/Naga_100040g1" target="_blank">Naga_100040g1</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG0385" target="_blank">KOG0385</a>	
Naga_100040g2	<a href="http://www.nannochloropsis.org/gene/Naga_100040g2" target="_blank">Naga_100040g2</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0050660" target="_blank">flavin adenine dinucleotide binding (GO:0050660)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016614" target="_blank">oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008812" target="_blank">choline dehydrogenase activity (GO:0008812)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1238" target="_blank">KOG1238</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.1.99.1" target="_blank">1.1.99.1</a>
Naga_100040g4	<a href="http://www.nannochloropsis.org/gene/Naga_100040g4" target="_blank">Naga_100040g4</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006511" target="_blank">ubiquitin-dependent protein catabolic process (GO:0006511)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG1415" target="_blank">KOG1415</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.4.19.12" target="_blank">3.4.19.12</a>
Naga_100040g5	<a href="http://www.nannochloropsis.org/gene/Naga_100040g5" target="_blank">Naga_100040g5</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003678" target="_blank">DNA helicase activity (GO:0003678)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2680" target="_blank">KOG2680</a>	
Naga_100040g9	<a href="http://www.nannochloropsis.org/gene/Naga_100040g9" target="_blank">Naga_100040g9</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a>		
Naga_100040g11	<a href="http://www.nannochloropsis.org/gene/Naga_100040g11" target="_blank">Naga_100040g11</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008112" target="_blank">nicotinamide N-methyltransferase activity (GO:0008112)</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG2920" target="_blank">KOG2920</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.1" target="_blank">2.1.1.1</a>
