Cre01.g000050.t1.1	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)
Cre03.g145687.t1.1	Involved in removal of Okazaki fragment and base excision repair (BER); Class II member of Rad2 nuclease family; homologous to eukaryotic FEN-1 (Flap Endnuclease-1) [PMID: 17992532].  Previously annotated as FEN1.  Resembles the Xeroderma pignmentosum gro	Involved in removal of Okazaki fragment and base excision repair (BER); Class II member of Rad2 nuclease family; homologous to eukaryotic FEN-1 (Flap Endnuclease-1) [PMID: 17992532].  Previously annotated as FEN1.  Resembles the Xeroderma pignmentosum gro
Cre03.g145747.t1.1	Putative chorismate synthase (EC 4.2.3.5); predicted by Target-P to be mitochondrial, but by homology to be plastidic.  Catalyzes the seventh and final step of the shikimate pathway (PMID: 12242393; PMID: 16963634).  Previously annotated as SHKH1	Putative chorismate synthase (EC 4.2.3.5); predicted by Target-P to be mitochondrial, but by homology to be plastidic.  Catalyzes the seventh and final step of the shikimate pathway (PMID: 12242393; PMID: 16963634).  Previously annotated as SHKH1
Cre03.g145787.t1.1	Small heat shock protein containing an alpha-crystallin domain; N-terminus by TargetP weakly predicted to be chloroplast transit peptide; PMID: 16143837	Small heat shock protein containing an alpha-crystallin domain; N-terminus by TargetP weakly predicted to be chloroplast transit peptide; PMID: 16143837
Cre03.g145887.t1.1	TatC-like sec-independent protein translocon subunit.  Expressed Protein. Similar to thylakoid membrane sec-independent protein translocator. Involved in the twin-arginine translocation pathway.  Probably chloroplastic.  Previously annotated as TATC
Cre03.g145907.t1.1	Putative ribosomal RNA methyltransferase in the RrmJ/FtsJ family; previously annotated as TRM7	Putative ribosomal RNA methyltransferase in the RrmJ/FtsJ family; previously annotated as TRM7
Cre03.g146127.t1.1	Flagellar Associated Protein of unknown function, found in the flagellar proteome [PMID: 15998802]	Flagellar Associated Protein of unknown function, found in the flagellar proteome [PMID: 15998802]
Cre03.g146167.t1.1	Conserved expressed protein; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]	Conserved expressed protein; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]
Cre03.g146187.t1.1	Third step of ornithine biosynthesis pathway; NAGPR, N-acetyl-gamma-glutamyl-phosphate reductase, chloroplast precursor; ARGC1 (AGPR) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase).  Previously annotated as ARG1 on the assumption th	Third step of ornithine biosynthesis pathway; NAGPR, N-acetyl-gamma-glutamyl-phosphate reductase, chloroplast precursor; ARGC1 (AGPR) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase).  Previously annotated as ARG1 on the assumption th
Cre03.g146207.t1.1	Putative phosphatase, induced during phosphate deficiency, regulated by the PSR1 transcription factor [PMID: 16400166].	Putative phosphatase, induced during phosphate deficiency, regulated by the PSR1 transcription factor [PMID: 16400166].
Cre03.g146247.t1.1	NADH:ubiquinone oxidoreductase 18 kD-like subunit. Complex I AQDQ subunit, mitochondrial [=NDUFS4]. gi|34334026|gb|AAQ64640.1| [PMID: 15710684; PMID: 15450959]
Cre03.g146467.t1.1	Expressed Protein. Conserved protein similar to TRS31, a component of the TRAPP complex involved in ER to Golgi vesicle transport.	Expressed Protein. Conserved protein similar to TRS31, a component of the TRAPP complex involved in ER to Golgi vesicle transport.
Cre03.g146487.t1.1	Homolog of XPO1 proteins and CRM1 (yeast). Involved in exporting mRNA, protein and ribosomal subunits to the cytoplasm	Homolog of XPO1 proteins and CRM1 (yeast). Involved in exporting mRNA, protein and ribosomal subunits to the cytoplasm
Cre03.g146507.t1.1	Similar to serine palmitoyltransferase, first step in sphingolipid biosynthesis	Similar to serine palmitoyltransferase, first step in sphingolipid biosynthesis
Cre03.g146527.t1.1	Glutamate-5-semialdehyde (GSA) dehydrogenase (EC 1.2.1.41); glutamate-5-phosphate reductase; lacks glutamate kinase domain typically associated with this enzyme (delta 1-pyrroline-5-carboxylate synthetase) in plants; glutamate kinase is encoded by a separ	Glutamate-5-semialdehyde (GSA) dehydrogenase (EC 1.2.1.41); glutamate-5-phosphate reductase; lacks glutamate kinase domain typically associated with this enzyme (delta 1-pyrroline-5-carboxylate synthetase) in plants; glutamate kinase is encoded by a separ
Cre03.g146767.t1.1	The substrate of this oxidase is unsure, as the similarity is to both glyoxal oxidases and galactose oxidases, found in fungi, bacteria, animals and plants (both use the same Tyr radical / metal mechanism); the plant homologues are secreted, but the fate 	The substrate of this oxidase is unsure, as the similarity is to both glyoxal oxidases and galactose oxidases, found in fungi, bacteria, animals and plants (both use the same Tyr radical / metal mechanism); the plant homologues are secreted, but the fate 
Cre03.g146867.t1.1	Flagellar Associated Protein with ankyrin repeats, found in the flagellar proteome [PMID: 15998802]. Identified by Abe et al. 2004 [PMID: 15459796] as NSG7, a gene expressed during nitrogen-starved gametogenesis.
Cre03.g146867.t2.1	Flagellar Associated Protein with ankyrin repeats, found in the flagellar proteome [PMID: 15998802]. Identified by Abe et al. 2004 [PMID: 15459796] as NSG7, a gene expressed during nitrogen-starved gametogenesis.	Flagellar Associated Protein with ankyrin repeats, found in the flagellar proteome [PMID: 15998802]. Identified by Abe et al. 2004 [PMID: 15459796] as NSG7, a gene expressed during nitrogen-starved gametogenesis.
Cre03.g148250.t1.1	Conserved expressed protein with significant homology to putative male sterility protein in plants - DNA binding protein
Cre03.g148750.t1.2	Chlorophyllase I, chloroplast precursor, putative; chlorophyllase protein; pfam07224; orthologous to AtCLH1; coronatine (methyl jasmonate) -induced protein 1 (CORI1) [PMID: 10611389]; chloroplast transit peptide 1-46, borderline probability using ChloroP
Cre03.g148900.t1.1	Uses NADPH and non-covalently-bound FAD to catalyse the oxygenation of nucleophilic nitrogen, sulphur, phosphorous and selenium atoms; important for xenobiotic detoxification
Cre03.g148950.t1.2	Putative organellar polyribonucleotide phosphorylase/nucleotidyltransferase.  RNA binding protein with S1 domain.  Green-lineage conserved protein.  Previously annotated as CGL43
Cre03.g149100.t1.2	Citrate synthase (EC 2.3.3.1), glyoxysomal/microbody form; similarity to Arabidopsis citrate synthase glyoxysomal precursor (GenBank Q9LXS6); PMID: 19214701
Cre03.g149350.t1.1	Putative RWP-RK domain transcription factor [PMID: 15785851]. Tandem pair with RWP11 with which there is amino acid homology around the RWP-RK domain and some intron conservation. Part of the model is tentative.
Cre03.g149400.t1.1	Putative RWP-RK domain transcription factor [PMID: 15785851]. Tandem pair with RWP4 with which there is amino acid homology around the RWP-RK domain and some intron conservation. Part of the model is tentative.
Cre03.g149600.t1.1	Protein domain similar to membrane guanylyl cyclase [Oryzias latipes]
Cre03.g149650.t1.1	Homologue in higher plants participates in abscisic acid biosynthesis; could play a similar role (PMID: 16327238), related to carotenoid 9,10-9',10' cleavage dioxygenase
Cre03.g149800.t1.1	Microtubule associated protein also known as MOR1 and XMAP215/Dis1
Cre03.g150400.t1.2	GPI transamidase subunit PIG-U.  PIG-U is thought to represent a fifth subunit in GPI transamidase complex and may be involved in the recognition of either the GPI attachment signal or the lipid portion of GPI.  Protein involved in blue light signaling in
Cre03.g150950.t1.1	Glycosyltransferase, probably a dolichol-phosphate mannosyltransferase
Cre03.g151000.t1.2	Dual-specificity protein phosphatase homolog.  PTEN-related phosphatase
Cre03.g151100.t1.1	Identified by comparative genomics as being present only in organisms having cilia, including non-motile cilia; may have role in sensing, structure and/or assembly (SSA)
Cre03.g151200.t1.2	Conserved expressed protein
Cre03.g151250.t1.1	Similar to LanC lantibiotic synthetase component C.  Previously annotated as LANC1
Cre03.g151700.t1.2	Conserved expressed protein
Cre03.g151700.t2.1	Conserved expressed protein
Cre03.g151750.t1.2	Small nuclear ribonucleoprotein, LSm6 (SmF-like).  Previously annotated as SMP6A
Cre03.g151900.t1.2	Pseudogene tandem duplicate of LZY1B [PMID: 1552907]; Genbank S90875
Cre03.g151950.t1.2	Late zygote protein; the mRNA appears at about 90 min post fusion; possibly secreted; cysteine-rich; originally called class V [PMID: 1552907; Genbank S90874]
Cre03.g152000.t1.2	Molybdenum cofactor sulfurase, similar to N-terminus of Arabidopsis ABA3
Cre03.g152050.t1.2	Glyoxal or galactose oxidase; possibly an inactive isoform: may lack the conserved Cys residue whose linkage to Tyr forms the metal-binding radical [PMID: 15581579]; the substrate of this family of oxidases is unsure, as the similarity is to both glyoxal 
Cre03.g152100.t1.2	Putative homologue of yeast 5'-3' exoribonucleases Xrn1p(cytoplasmic) and Rat1p (nuclear) [PMID: 18493045]
Cre03.g152400.t1.1	Conserved in plants and parasites
Cre03.g153050.t1.1	Putative RWP-RK domain transcription factor [PMID: 15785851]; model is very tentative
Cre03.g153950.t1.1	Transient potential receptor channel
Cre03.g154250.t1.1	MAP3K6
Cre03.g154350.t1.2	Cytochrome c oxidase subunit Iia (2a). In C. reinhardtii, subunit II is nuclear encoded with the N-terminal and C-terminal parts of the protein encoded by separate genes - N-terminus by COX2A and C-terminus by COX2B; respiratory complex IV; terminal oxida
Cre03.g154550.t1.1	Putative pyrroline-5-carboxylate reductase (EC 1.5.1.2); similarity to wheat P5CR (GenBank AAW82908)
Cre03.g154850.t1.1	Ubiquinone biosynthesis protein COQ4 homolog
Cre03.g155200.t1.1	Putative chorismate mutase (EC 5.4.99.5), eukaryotic type (AroQ), similar to the rice putative chorismate mutase (GenBank NP_916250); predicted mitochondrial by Target-P, but plastidic by homology
Cre03.g155550.t1.2	DnaJ-like protein; perhaps targeted to chloroplast, since it contains N-terminal extension which is predicted by ChloroP to be cp transit peptide; contains N-terminal J-domain (pfam00226), C-terminus shows weak homology with Desulfovibrio vulgaris Q727D7
Cre03.g155650.t1.2	Expressed Protein. Clathrin light chain, vesicle coat protein.
Cre03.g156700.t1.1	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802].  Possible kinesin
Cre03.g156750.t1.2	T-complex protein 1, epsilon subunit (TCP-1-epsilon) (CCT-epsilon) (TCPE); subunit of cytosolic chaperonin complex; found in the flagellar proteome [PMID: 15998802]
Cre03.g156900.t1.2	Chlorophyll a-b binding protein of LHCII
Cre03.g156950.t1.1	Subunit 8 of mitochondrial Complex III (ubiquinol:cytochrome c oxidoreductase)[PMID: 15710684]; (homolog of human QCRQ, bovine subunit VII and yeast QCR8)
Cre03.g157000.t1.1	Belongs to the family of exostosin-like glycosyltransferases
Cre03.g157300.t1.2	Putative CAF1 (POP2), likely catalytic component of the CCR4-NOT core complex, which in the nucleus seems to be a general transcription factor, and in the cytoplasm the major mRNA deadenylase involved in mRNA turnover.
Cre03.g157700.t1.2	Cytochrome c oxidase, subunit 5c (mitochondrial precursor)(homolog of complex V subunit 5c of A. thaliana (At3g62400, At2g47380); PMID: 15710684. No counterpart in fungi or animals.
Cre03.g157800.t1.1	Conserved expressed thioredoxin-like protein, unusual active site WCNAC
Cre03.g158000.t1.2	Glutamate-1-semialdehyde aminotransferase (GSA-AT); Glutamate-1-semialdehyde 2,1-aminomutase, chloroplast precursor; PMID: 16126849; PMID: 15890644; PMID: 12228605; PMID: 10872234; PMID: 10080695; PMID: 8989881; PMID: 8155881; PMID: 1985889; predicted chl
Cre03.g158250.t1.2	Conserved Protein. Thylakoid membrane protein translocase. Involved in translocating plastid stromal proteins into the thylakoid lumen.  Previously annotated as SECY2
Cre03.g158300.t1.1	Putative tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)
Cre03.g158400.t1.2	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre03.g158900.t1.2	Dihydrolipoamide acetyltransferase (EC 2.3.1.12), E2 component of pyruvate dehydrogenase complex, probably plastidic, based on Target-P prediction and similarity to Arabidopsis LTA2 (GenBank NP_189215)
Cre03.g159200.t1.1	Putative ubiquitin-protein ligase (E3, HECT domain); HECT-domain-containing protein, ubiquitin-transferase family
Cre03.g159500.t1.2	Pyridoxal-dependent decarboxylase acting on ornithine to produce putrescine, first step in polyamine biosynthesis(PMID: 11950995); fully active, based on conservation of important residues (PMID: 16847581), in particular a conserved lysine residue which i
Cre03.g159500.t2.1	Pyridoxal-dependent decarboxylase acting on ornithine to produce putrescine, first step in polyamine biosynthesis(PMID: 11950995); fully active, based on conservation of important residues (PMID: 16847581), in particular a conserved lysine residue which i
Cre03.g159500.t3.1	Pyridoxal-dependent decarboxylase acting on ornithine to produce putrescine, first step in polyamine biosynthesis(PMID: 11950995); fully active, based on conservation of important residues (PMID: 16847581), in particular a conserved lysine residue which i
Cre03.g159500.t4.1	Pyridoxal-dependent decarboxylase acting on ornithine to produce putrescine, first step in polyamine biosynthesis(PMID: 11950995); fully active, based on conservation of important residues (PMID: 16847581), in particular a conserved lysine residue which i
Cre03.g159500.t5.1	Pyridoxal-dependent decarboxylase acting on ornithine to produce putrescine, first step in polyamine biosynthesis(PMID: 11950995); fully active, based on conservation of important residues (PMID: 16847581), in particular a conserved lysine residue which i
Cre03.g159650.t1.2	Putative GTP-binding protein 1, GP-1, elongation factor Tu domains
Cre03.g159750.t1.2	Expressed Protein. Similar to VPS36, a UBA and VPS36-domain protein, component of ESCRT-II complex, involved in ubiquitin-mediated internalization into multi-vesicular bodies (late endosomes).
Cre03.g160050.t1.2	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; identified in the flagellar basal body proteome [PMID: 15137946]; upregulated by deflagellation
Cre03.g160350.t1.2	Protein of unknown function with ankyrin repeats
Cre03.g160400.t1.2	Regulator of sulfur deficiency responses; putative membrane protein belonging to the SLC13A transporter family; predicted to enter the secretory pathway (TargetP v1.1); candidate plasma membrane sulfate sensor; NCBI accessions U47541 (mRNA), Q39593 and AA
Cre03.g160450.t1.2	AY597210, PMID: 15302820.  Previously annotated as PF15
Cre03.g160550.t1.1	Putative Mn transporter, CDF family, related to plant Mn transporters, PMID: 15710683. Cis-acting regulatory elements were characterized by Fei et al. 2009 [PMID: 19351705].
Cre03.g160750.t1.1	Putative Mn transporter, CDF family, related to plant Mn transporters, PMID: 15710683
Cre03.g160800.t1.2	Putative Mn transporter, CDF family, related to plant Mn transporters, PMID: 15710683
Cre03.g161250.t1.2	Cytochrome P450, CYP197 superfamily, CYP197B family.  Previously annotated as CYP748A1
Cre03.g161400.t1.2	Tryptophan synthase beta subunit [PMID: 9625698]; the enzyme is a tetramer of two alpha dna two beta subunits; the beta subunit performs final reaction L-serine + 1-(indol-3-yl)glycerol 3-phosphate => L-tryptophan + glyceraldehyde 3-phosphate; reduction i
Cre03.g161550.t1.2	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre03.g162100.t1.2	Conserved protein similar to Protein-L-isoaspartate(D-aspartate) O-methyltransferase proteins.  Previously annotated as PIMT2
Cre03.g162250.t1.2	Damaged DNA binding / exodeoxyribonuclease III.  Green-lineage conserved expressed protein - similar to hypothetical protein in Arabidopsis.  Previously annotated as CGL35
Cre03.g162800.t1.2	Low-CO2-inducible gene encoding 21 kDa transmembrane protein; Burow et al. 1996 [PMID: 8756610]; SOSUI prediction: signal peptide in N-terminal end and 3 transmembrane helices. Regulated by CO2 through MYB-transcription factor LCR1 [PMID: 15155888] and CC
Cre03.g162850.t1.1	Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; transcript upregulated during flagellar regeneration [PMID: 15738400]
Cre03.g163000.t1.2	Found in basal body proteome [PMID: 15964273]. Human homolog FLJ35779 gene product found in centrosome proteome [Andersen].
Cre03.g163300.t1.2	DNA replication initiation factor.  Homologous to CDT1, which functions with CDC6 to activate replication origins.  Previously annotated as CDT1
Cre03.g163350.t1.2	2-dehydropantoate 2-reductase/ketopantoate reductase (KPR).  Previously annotated as PANE
Cre03.g163500.t1.2	Conserved protein
Cre03.g163900.t1.1	PWR motif protein; belongs to a family of 4 genes with no clear homologues in other organisms, except for a similarity with DUF506 proteins (plant-specific, unknown function). The family name comes from the perfectly conserved PWR motif shared between the
Cre03.g163950.t1.1	Cysteine dioxygenase
Cre03.g164000.t1.2	Protein withunknown function, chloroplast location proposed; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]
Cre03.g164250.t1.1	Flagellar Associated Protein, similar to protein kinases, found in the flagellar proteome [PMID: 15998802]
Cre03.g164600.t1.2	P-type ATPase/cation transporter, plasma membrane.  Probably hydrogen exporting.  Previously annotated as PMH1
Cre03.g164650.t1.2	Putative methyltransferase.  Identified by comparative genomics as being present only in organisms having motile (MOT) cilia.  ChromoDB SDG3418
Cre03.g165000.t1.2	Translation elongation factor EFG/EF2 related to membrane GTP-binding protein LepA.  Previously annotated as LPA1
Cre03.g165100.t1.2	Chloroplast-targeted; usually encoded in chloroplast genome
Cre03.g165200.t1.1	An ubiquitin-activating enzyme E1-like protein, that activates two different ubiquitin-like proteins, Apg12 and Apg8, and assigns them to specific E2 enzymes, Apg10 and Apg3, respectively
Cre03.g165400.t1.2	Putative mitochondrial inner membrane protein, required for assembly of cytochrome c oxidase (mitochondrial complex IV); similar to cytochrome c oxidase assembly factor 16 of yeast.
Cre03.g165700.t1.1	Pyruvate decarboxylase [EC 4.1.1.1]; requires thiamine pyrophosphate (TPP) (vitamin B1) as a cofactor.  Homologous with the alpha subunit of the E1 component of the mitochondrial pyruvate dehydrogenase complex (mtPDC) that catalyzes the oxidative decarbox
Cre03.g166050.t1.2	Selenium binding protein. GI:15485720. AJ401228.1. Over 50% identical with selenium binding protein of Medicago, Oryza and Arabidopsis [PMID: 12026169].  Acclimation to changing CO2 concentrations and light intensities was studied by Yamano et al. 2008 [P
Cre03.g166650.t1.1	DEAD/DEAH box DNA/RNA helicase.  Green-lineage-and-diatoms conserved protein with DEAD/DEAH box helicase domain and proline rich domain.  Previously annotated CGLD3
Cre03.g166700.t1.1	Nucleates and catalyzes long chain actin filament formation from actin-profilin precursor complexes.
Cre03.g166750.t1.2	Putative tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)
Cre03.g166900.t1.1	Cytochrome P450, CYP4 superfamily.  Previously annotated as CYP767A1
Cre03.g166900.t2.1	Cytochrome P450, CYP4 superfamily.  Previously annotated as CYP767A1
Cre03.g166950.t1.2	Phosphoglycerate/bisphosphoglycerate mutase family protein (PGAM) [EC 5.4.2.1]l
Cre03.g167150.t1.2	Uses NADPH and non-covalently-bound FAD to catalyse the oxygenation of nucleophilic nitrogen, sulphur, phosphorous and selenium atoms; important for xenobiotic detoxification; one of the many Arabidopsis homologues is essential for Systemic Acquired Resis
Cre03.g167550.t1.1	Found in basal body proteome [PMID: 15964273]. Human homolog cep290 localizes to centrosome, and is also called 3H11 antigen.
Cre03.g167600.t1.2	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; identified in the flagellar basal body proteome [PMID: 15137946]; upregulated by deflagellation
Cre03.g168200.t1.2	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]
Cre03.g168450.t1.2	T-complex protein 1, theta subunit (TCP-1-theta) (CCT-theta) (TCPQ); subunit 8 of cytosolic chaperonin complex
Cre03.g168550.t1.1	Amino acid/polyamine transporter; belongs to AAAP family of amino acid/auxin permeases; most similar to plant relatives and Ostreococcus AOT3; probably organelle-targeted
Cre03.g168700.t1.2	Phosphoglycolate phosphatase (EC 3.1.3.18), chloroplast precursor with putative stromal localization; CO2-responsive gene; matches with published cDNA [GenBank AB091101, PMID: 11581250].  Probably a 4-nitrophenylphosphatase.  Identified by Kerk et al. 200
Cre03.g169400.t1.2	UDP-D-glucuronic acid decarboxylase or dTDP-glucose 4,6-dehydratase.  This is an NAD dependent epimerase/dehydratase family protein (see NED series)
Cre03.g169550.t1.1	Alternative oxidase, mitochondrial precursor (see gi|9930474|gb|AAG02081.1|AF285187_1[9930474])
Cre03.g170350.t1.2	Expressed Protein. Similar to SEC12, regulatory component of the COP-II coat protein complex. GEF for SAR-GTPase.
Cre03.g170600.t1.1	Found in basal body proteome [PMID: 15964273]. Contains multiple SFI repeats, a conserved centrin-binding motif found in the yeast spindle pole body protein SFI1
Cre03.g170750.t1.2	Small nucleolar ribonucleoprotein U3 component
Cre03.g171050.t1.1	Glycosyl hydrolase
Cre03.g171300.t1.2	Probable glycolate oxidase, (S)-2-hydroxy-acid oxidase (EC 1.1.3.15); based on similarity to spinach glycolate oxidase (Swissprot P05414); PMID: 19214701
Cre03.g171350.t1.2	Expressed Protein. Similar to Sec61-alpha, subunit of the ER-protein translocase.
Cre03.g171550.t1.1	Identified by comparative genomics as being present only in organisms having cilia, including non-motile cilia; may have role in sensing, structure and/or assembly (SSA)
Cre03.g171800.t1.2	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre03.g171900.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre03.g171950.t1.1	Phosphoenolpyruvate carboxylase, isoform 2 [PMID: 15941397, Accession number AAS01721].  Previously annotated as PEPC2
Cre03.g172050.t1.1	RNA polymerase II used in nucleotide excision in other organisms
Cre03.g172300.t1.2	Similar to mitochondrial phosphate carrier, mitochondrial inner membrane protein, transfers inorganic phosphate into matrix; this is a minor isoform generated by an intron in exon one, with non-canonical splice sites (CT/CG); different N-terminal sequence
Cre03.g172500.t1.1	Alternative oxidase, possibly chloroplast-localized.  Previously annotated as PTOX2
Cre03.g172550.t1.2	Protein-/Histone-arginine N-methyltransferase; protein arginine N-methyltransferase (ChromDB PRMT3401).  Previously annotated as PRMT1.  ChromoDB PRMT3401.  Ribosomal L11 methyltransferase-like
Cre03.g172650.t1.2	Epsilon tubulin (TUE) [gi:20514387, PMID: 12429830], corresponds to BLD2 locus on linkage group III
Cre03.g172850.t1.2	O-acetylserine sulfhydrylase (EC 2.5.1.47); cysteine synthase; O-acetylserine (Thiol)-lyase; Target-P predicts mitochondrial targeting; homology predicts plastid targeting.  Previously annotated as OASTL3
Cre03.g172950.t1.2	Centromere/microtubule binding protein (centromere binding factor 5), putative; Pseudouridine synthase, putative (PSI1); Homologue of AtNAP57 and yeast CBF5, pseudouridine synthases involved in rRNA biogenesis and localized in the nucleolus (TruB) [PMID: 
Cre03.g173200.t1.2	Sulfhydryl oxidase.  Erv1/Alr family; possibly mitochondrial; also called Augmenter of liver regeneration in mammals = ALR.  Previously incorrectly annotated/switched as ERV1 (should have been ERV2)
Cre03.g173350.t1.2	Protein of unknown function with ankyrin repeats; two splice variants are expected, a less abundant splicing isoform (PMID: 12836870) and a shorter, most abundant splicing isoform (PMID: 12836870)
Cre03.g173350.t2.1	Protein of unknown function with ankyrin repeats; two splice variants are expected, a less abundant splicing isoform (PMID: 12836870) and a shorter, most abundant splicing isoform (PMID: 12836870)
Cre03.g173800.t1.2	Pyridoxal kinase, involved in vitamin B6 biosynthesis.  Previously annotated as PDXK1
Cre03.g173800.t2.1	Pyridoxal kinase, involved in vitamin B6 biosynthesis.  Previously annotated as PDXK1
Cre03.g174000.t1.1	Translation elongation factor EFG/EF2 related to GTP binding protein LepA.  Previously annotated as LPA2
Cre03.g174050.t1.2	Putative ABC transporter, MRP subfamily, membrane protein PMID: 15710683
Cre03.g174250.t1.2	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802].  Looks like U2 small nuclear ribonucleoprotein A
Cre03.g174350.t1.2	PWR motif protein; belongs to a family of 4 genes with no clear homologues in other organisms, except for a similarity with DUF506 proteins (plant-specific, unknown function). The family name comes from the perfectly conserved PWR motif shared between the
Cre03.g174400.t1.2	Cysteine dioxygenase
Cre03.g174750.t1.2	Peptidyl-prolyl cis-trans isomerase (rotamase), cyclophilin type [PMID: 15051864, PMID: 15047905]; chloroplast thylakoid lumen; similar to At1g74070 (AtCYP26-2
Cre03.g175000.t1.2	Homologue of S. cerevisiae Rrp45, which is a core component of the exosome, a complex of multiple 3'-5' exoribonucleases involved in RNA processing and RNA degradation. Homologue of RNase PH.  Previously annotated as RNPH3.  Discussed by Zimmer et al. 200
Cre03.g175050.t1.1	Transient potential receptor channel
Cre03.g175200.t1.2	Expressed protein. Similar to Toc75, component of the translocating apparatus of the plastid outer membrane.  
Cre03.g175400.t1.2	Phosphoglucose isomerase (PGI), phosphohexose isomerase, glucose-6-phosphate isomerase [EC:5.3.1.9]
Cre03.g175400.t2.1	Phosphoglucose isomerase (PGI), phosphohexose isomerase, glucose-6-phosphate isomerase [EC:5.3.1.9]
Cre03.g176250.t1.2	Vacuolar H+ ATPase V0 sector, subunit D, similar to gi|12585473|sp|Q9LX65|VATH_ARATH[12585473] from Arabidopsis
Cre03.g176350.t1.2	Plastid-lipid associated protein PAP/fibrillin family-like protein. Arabidopsis homologue is in plastoglobuli [PMID: 16461379].  Previously annotated as PLAP5
Cre03.g176350.t2.1	Plastid-lipid associated protein PAP/fibrillin family-like protein. Arabidopsis homologue is in plastoglobuli [PMID: 16461379].  Previously annotated as PLAP5
Cre03.g176700.t1.1	Putative mitochondrial ribosomal protein S29
Cre03.g176800.t1.1	Putative folylpolyglutamate synthase, folate biosynthesis.  Previously annotated as FPGS1
Cre03.g177200.t1.2	RNA-binding protein of the CELF (CUGBP-ETR-3-like factors) family containing three RRM domains; spacer between RRM 2 and RRM 3 is rich in Met and Gly; subunit of the circadian RNA-binding protein CHLAMY1 [PMID: 15190002].  Functional analysis by Voytsekh 
Cre03.g177250.t1.2	Contains a PAP2/haloperoxidase domain found in vanadium chloroperoxidases and related to phosphoesterases; closely related to stress-induced HPX1 and HPX2; all available ESTs are from stress I and S-starvation libraries
Cre03.g177300.t1.2	Contains a PAP2/haloperoxidase domain found in vanadium chloroperoxidases and related to phosphoesterases; closely related to stress-induced HPX1 and HPX2; all available ESTs are from stress I and S-starvation libraries
Cre03.g177700.t1.1	Transcription factor regulating nitrogen metabolism; contains an RWPxRK box (but RWPxRQ); cloning of NIT2 by transposon tagging - PMID: 8394263. mRNA sequence: DQ311647. Note: this allele carries the nit2-137 mutation like all 137c strains
Cre03.g177900.t1.2	Tob38, subunit of 38 kDa of the the TOB complex, that mediates the insertion of beta-barrel proteins into the outer membrane of mitochondria. Also known as TOM37, METAXIN, and SAM38. Similar to yeast Tob38 (YHR083W) and to Arabidopsis Metaxin (At2g19080).
Cre03.g178050.t1.1	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre03.g178100.t1.1	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia.  Putative lipoxygenase.  Contains PLAT/LH2 domain.  Probably an arachidonate 5-lipoxygenase; may also be a hydroperoxide dehydratase.  Previously annotated as
Cre03.g178150.t1.1	Identical to CALM_CHLRE; contains 4 EF-hand, calcium binding motifs; Calmodulin mediates the control of a large number of enzymes by Ca(2+). Among the enzymes to be stimulated by the calmodulin-Ca(2+) complex are a number of protein kinases and phosphatas
Cre03.g178250.t1.2	Mitochondrial NADH:ubiquinone oxidoreductase 13 kD subunit (NDUFS6-like) gi|34334024|gb|AAQ64639.1| [PMID: 15710684; PMID: 15450959]
Cre03.g178350.t1.1	Flagellar Associated Protein similar to calmodulin; found in the flagellar proteome [PMID: 15998802]; transcript upregulated during flagellar regeneration [PMID: 15738400].  Possibly a phospholipid/glycerol acyltransferase 
Cre03.g178450.t1.2	Cochaperonin for CPN60 with MW of the mature protein of 10 kD; heptamers of Cpn10-like cochaperonins bind to one of the two Cpn60 heptameric rings and trigger ATP hydrolysis; CPN10 is closely related to mitochondrial CPN10 from Arabidopsis, thus very like
Cre03.g178500.t1.2	Coiled-coil protein associated with protofilament ribbons of flagellar microtubules [PMID: 10637302].  Previously annotated as RIB43A after the associated Pfam family
Cre03.g178600.t1.1	Similar to DNA topoisomerase I in Arabidopsis, At5g55310.
Cre03.g178650.t1.1	Homology to MCM6 DNA replication protein
Cre03.g179450.t1.1	Scavenger receptor cysteine-rich protein; contains ligand-binding SRCR domain found in speract/scavenger receptor (PMID: 14995912)
