Cre01.g000050.t1.1	RWP14
Cre02.g108950.t1.1	LF1
Cre02.g109050.t1.2	OPR5
Cre02.g109100.t1.1	PDE23
Cre02.g109550.t1.2	HSD1
Cre02.g109650.t1.1	GSP1
Cre02.g109800.t1.1	CPLD32
Cre02.g109850.t1.1	PIGC
Cre02.g109950.t1.2	HLIP1	OHP1
Cre02.g110100.t1.1	MLO1
Cre02.g110200.t1.1	THO1
Cre02.g110250.t1.1	PCD2
Cre02.g110263.t1.1	CSB15
Cre02.g110263.t2.1	CSB15
Cre02.g110263.t3.1	CSB15
Cre02.g110300.t1.2	DNJ25
Cre02.g110600.t1.2	DEG5
Cre02.g110750.t1.2	LHCB7
Cre02.g110800.t1.1	NRT2.6
Cre02.g110950.t1.1	DIC5
Cre02.g111000.t1.2	CGL9	RRA1
Cre02.g111050.t1.1	AMT7
Cre02.g111150.t1.1	ELG26
Cre02.g111450.t1.2	TEF4
Cre02.g111650.t1.2	CGL8
Cre02.g111700.t1.2	EFH1
Cre02.g112000.t1.1	AOT7
Cre02.g112100.t1.1	FAP101
Cre02.g112250.t1.2	CAL2
Cre02.g112300.t1.1	MOT15
Cre02.g112400.t1.1	CHI1
Cre02.g112850.t1.1	COQ6
Cre02.g113200.t1.1	GLN1
Cre02.g113300.t1.1	OPR6
Cre02.g113850.t1.1	PBGD2
Cre02.g114100.t1.1	PDE22
Cre02.g114200.t1.1	CSK3
Cre02.g114250.t1.2	MEN2
Cre02.g114400.t1.2	LAS2
Cre02.g114600.t1.2	PRX2
Cre02.g114700.t1.2	RSP12
Cre02.g114900.t1.1	ANK23
Cre02.g115050.t1.2	RSEP3
Cre02.g115200.t1.2	RPL27A
Cre02.g115250.t1.1	POC1
Cre02.g115300.t1.1	AOT6
Cre02.g115450.t1.1	CYG47
Cre02.g115600.t1.1	MSC7
Cre02.g115650.t1.2	FBA4
Cre02.g115750.t1.1	GPD9
Cre02.g116400.t1.1	DII7
Cre02.g116450.t1.2	RPE2
Cre02.g116550.t1.2	DNJ24
Cre02.g116600.t1.2	ELG23
Cre02.g116600.t2.1	ELG23
Cre02.g116700.t1.2	PTK11
Cre02.g116750.t1.1	ATP1A
Cre02.g116750.t2.1	ATP1A
Cre02.g116850.t1.2	HLM6
Cre02.g116900.t1.2	SETB
Cre02.g116900.t2.1	SETB
Cre02.g116950.t1.2	HDA1
Cre02.g117000.t1.1	CYG21
Cre02.g117300.t1.2	MRPL45
Cre02.g117350.t1.1	MOT11
Cre02.g117500.t1.2	HXK1
Cre02.g117550.t1.2	ANK13
Cre02.g117900.t1.1	HEL11
Cre02.g118000.t1.2	PHR2
Cre02.g118050.t1.2	CYCU1
Cre02.g118250.t1.1	SWB1
Cre02.g118300.t1.2	HEL12
Cre02.g118350.t1.1	MFT14
Cre02.g118450.t1.1	DNJ28
Cre02.g118500.t1.1	COPB2
Cre02.g118600.t1.2	FTSZ1
Cre02.g118650.t1.1	PHC47
Cre02.g118900.t1.2	MYG1
Cre02.g118950.t1.2	PRPS17
Cre02.g119000.t1.1	PEX19
Cre02.g119050.t1.1	CER1
Cre02.g119100.t1.2	CER2
Cre02.g119550.t1.2	NIP1
Cre02.g119600.t1.2	PSD1
Cre02.g119650.t1.1	GNT3
Cre02.g119850.t1.1	PDE9
Cre02.g119900.t1.2	CEP6
Cre02.g120100.t1.2	RBCS1
Cre02.g120150.t1.2	RBCS2
Cre02.g120250.t1.1	STT7
Cre02.g120250.t2.1	STT7
Cre02.g120301.t1.1	SELH1	SELH
Cre02.g141000.t1.1	DCL1
Cre02.g141050.t1.1	AGO1
Cre02.g141100.t1.2	CPL23
Cre02.g141200.t1.2	NIC2
Cre02.g141350.t1.2	DRC10
Cre02.g141400.t1.2	PCK1
Cre02.g141450.t1.2	UBC14
Cre02.g141600.t1.2	EBM3
Cre02.g141606.t1.1	DHC9
Cre02.g141700.t1.1	FAP315
Cre02.g141786.t1.1	PDE25
Cre02.g141806.t1.1	PTK16
Cre02.g141846.t1.1	DMC1
Cre02.g141950.t1.1	MOT19
Cre02.g142000.t1.2	UBC4
Cre02.g142126.t1.1	FAP115
Cre02.g142146.t1.1	CGL102
Cre02.g142186.t1.1	FTSZ2
Cre02.g142400.t1.1	CSB16
Cre02.g142687.t1.1	FAP332
Cre02.g142687.t2.1	FAP332
Cre02.g142800.t1.2	TRXz
Cre02.g142850.t1.2	SMP11
Cre02.g142947.t1.1	CSU1
Cre02.g143000.t1.2	PLSB1
Cre02.g143050.t1.2	RPP2
Cre02.g143200.t1.1	TSA1
Cre02.g143250.t1.2	IDH2
Cre02.g143307.t1.1	CLPC1
Cre02.g143350.t1.1	PDE6
Cre02.g143400.t1.1	PDE27
Cre02.g143500.t1.1	PDE28
Cre02.g143550.t1.2	LCI16	ELI4
Cre02.g143600.t1.1	FEE1
Cre02.g143667.t1.1	PLPA9
Cre02.g144002.t1.1	PUS20
Cre02.g144002.t2.1	PUS20
Cre02.g144050.t1.2	ELG36
Cre02.g144050.t2.1	ELG36
Cre02.g144100.t1.2	ELG12
Cre02.g144250.t1.1	CYP769A1
Cre02.g144350.t1.2	RJL1
Cre02.g144350.t2.1	RJL1
Cre02.g144400.t1.1	MRPS12
Cre02.g144400.t2.1	MRPS12
Cre02.g144450.t1.2	FAP1
Cre02.g144600.t1.1	PTB9
Cre02.g144650.t1.2	PTB12
Cre02.g144700.t1.2	PTB5
Cre02.g144750.t1.1	PTB4
Cre02.g144800.t1.1	LCI8
Cre02.g144850.t1.2	CGLD26
Cre02.g144900.t1.1	MPA4
Cre02.g144950.t1.1	KCN4
Cre02.g145050.t1.2	CMK1
Cre02.g145100.t1.1	FAP39
Cre02.g145150.t1.1	MAM3A
Cre02.g145150.t2.1	MAM3A
Cre02.g145250.t1.2	RPS27E2
Cre02.g145500.t1.2	PTK24
Cre02.g145602.t1.1	CSB17
Cre02.g145700.t1.2	AOT1
Cre02.g145750.t1.1	AOT2
Cre02.g145800.t1.2	MDY3	MDN3
Cre02.g145850.t1.2	FAP112
Cre02.g146050.t1.2	ATO2
Cre02.g146250.t1.2	NFS1	NIFS1
Cre02.g146400.t1.2	CSB2
Cre02.g146450.t1.1	CYG60
Cre02.g146500.t1.1	DYRK1
Cre02.g146600.t1.2	AP4M4
Cre02.g146650.t1.1	SSA11
Cre02.g146900.t1.1	OPR14
Cre02.g146950.t1.1	DBR1
Cre02.g147100.t1.1	FAP265
Cre02.g147650.t1.2	MPI1
Cre02.g147750.t1.2	FAP209
Cre02.g147800.t1.2	SEC14
Cre02.g147850.t1.2	HSLU2
Cre02.g147900.t1.1	PYK5
Cre02.g147900.t2.1	PYK5
Cre02.g147900.t3.1	PYK5
Cre02.g147900.t4.1	PYK5
Cre03.g143727.t1.1	CSU2
Cre03.g143827.t1.1	FBB7
Cre03.g144084.t1.1	RBL7
Cre03.g144164.t1.1	RSEP2
Cre03.g144284.t1.1	CGL110
Cre03.g144564.t1.1	MMP13
Cre03.g144627.t1.1	CGS1
Cre03.g144667.t1.1	ClpT4
Cre03.g144727.t1.1	RBL2
Cre03.g144807.t1.1	MAS1
Cre03.g144847.t1.1	PYK4
Cre03.g145087.t1.1	MTP1
Cre03.g145127.t1.1	DHC13
Cre03.g145207.t1.1	CPLD33
Cre03.g145247.t1.1	TEF11
Cre03.g145387.t1.1	FAP239
Cre03.g145527.t1.1	RBL1
Cre03.g145547.t1.1	CBR1
Cre03.g145567.t1.1	CGL18
Cre03.g145587.t1.1	CPLD1
Cre03.g145607.t1.1	BET3
Cre03.g145767.t1.1	RRP6
Cre03.g145767.t2.1	RRP6
Cre03.g145787.t1.1	HSP22C
Cre03.g145887.t1.1	TATC
Cre03.g146127.t1.1	FAP96
Cre03.g146147.t1.1	PSBS3
Cre03.g146167.t1.1	TEF10a
Cre03.g146207.t1.1	MPA1
Cre03.g146247.t1.1	NUOS4
Cre03.g146467.t1.1	TRS31
Cre03.g146527.t1.1	GSD1
Cre03.g146727.t1.1	GOX9
Cre03.g146747.t1.1	GOX10
Cre03.g146767.t1.1	GOX11
Cre03.g146867.t1.1	FAP17
Cre03.g146867.t2.1	FAP17
Cre03.g148050.t1.1	POLI1
Cre03.g148250.t1.1	CGL58
Cre03.g148450.t1.1	TEH1
Cre03.g148500.t1.2	PWR6
Cre03.g148700.t1.2	PWR7
Cre03.g148900.t1.1	FMO5
Cre03.g148950.t1.2	CGL43
Cre03.g149100.t1.2	CIS2
Cre03.g149250.t1.2	ICL2
Cre03.g149350.t1.1	RWP4
Cre03.g149400.t1.1	RWP11
Cre03.g149600.t1.1	CYG53
Cre03.g149650.t1.1	CCD1
Cre03.g149750.t1.2	DMA2
Cre03.g149800.t1.1	TOG1
Cre03.g150101.t1.1	NRT2.4
Cre03.g150151.t1.1	NRT2.5
Cre03.g150300.t1.2	CAM8
Cre03.g150350.t1.1	CPLD70
Cre03.g150400.t1.2	PIGU
Cre03.g150500.t1.2	SNE10
Cre03.g150950.t1.1	DPM1
Cre03.g151000.t1.2	DSP8
Cre03.g151100.t1.1	SSA15
Cre03.g151200.t1.2	CGLD16
Cre03.g151250.t1.1	LAN1
Cre03.g151700.t1.2	CGL26
Cre03.g151700.t2.1	CGL26
Cre03.g151750.t1.2	SMP6A
Cre03.g151900.t1.2	LZY1A
Cre03.g151950.t1.2	LZY1B
Cre03.g152000.t1.2	MCS1
Cre03.g152050.t1.2	GOX12
Cre03.g152100.t1.2	XRN2
Cre03.g152400.t1.1	EXN1
Cre03.g152900.t1.1	MPA5
Cre03.g152950.t1.1	PUS12
Cre03.g153050.t1.1	RWP1
Cre03.g153700.t1.1	FAP347
Cre03.g153800.t1.1	PIGK
Cre03.g153900.t1.2	FMO11
Cre03.g154250.t1.1	MAPKKK6
Cre03.g154350.t1.2	COX2A
Cre03.g154400.t1.2	MFT15
Cre03.g154425.t1.1	CLASP
Cre03.g154425.t2.1	CLASP
Cre03.g154425.t3.1	CLASP
Cre03.g154550.t1.1	PCR1
Cre03.g154850.t1.1	COQ4
Cre03.g155001.t1.1	ISA1
Cre03.g155200.t1.1	CHM1
Cre03.g155300.t1.1	PHC29
Cre03.g155550.t1.2	DNJ18
Cre03.g155650.t1.2	CLC1
Cre03.g155750.t1.1	PHC65
Cre03.g156150.t1.1	HEL13
Cre03.g156250.t1.2	FAP186
Cre03.g156300.t1.2	FAP405
Cre03.g156350.t1.2	OPR15
Cre03.g156700.t1.1	FAP185
Cre03.g156750.t1.2	CCT5
Cre03.g156900.t1.2	LHCBM5
Cre03.g156950.t1.1	QCR8
Cre03.g157000.t1.1	ELG1
Cre03.g157300.t1.2	CAF1
Cre03.g157700.t1.2	COX5C
Cre03.g157800.t1.1	TRX2
Cre03.g157850.t1.2	TRXL1
Cre03.g158000.t1.2	GSA1
Cre03.g158200.t1.2	HDA2
Cre03.g158250.t1.2	SECY2
Cre03.g158300.t1.1	PTK7
Cre03.g158400.t1.2	FAP218
Cre03.g158750.t1.1	HEL14
Cre03.g158900.t1.2	DLA2
Cre03.g159200.t1.1	UBC8
Cre03.g159500.t1.2	ODC1
Cre03.g159500.t2.1	ODC1
Cre03.g159500.t3.1	ODC1
Cre03.g159500.t4.1	ODC1
Cre03.g159500.t5.1	ODC1
Cre03.g159650.t1.2	EFG6
Cre03.g159750.t1.2	VPS36
Cre03.g160000.t1.2	HDA3
Cre03.g160000.t2.1	HDA3
Cre03.g160050.t1.2	FAP184
Cre03.g160200.t1.2	PFH12
Cre03.g160200.t2.1	PFH12
Cre03.g160300.t1.1	RAMP4
Cre03.g160350.t1.2	ANK7
Cre03.g160400.t1.2	SAC1
Cre03.g160450.t1.2	KAT2
Cre03.g160500.t1.2	TSK1
Cre03.g160550.t1.1	MTP4
Cre03.g160750.t1.1	MTP3
Cre03.g160800.t1.2	MTP2
Cre03.g161150.t1.1	PHC63
Cre03.g161250.t1.2	CYP748A1
Cre03.g161400.t1.2	MAA7
Cre03.g161550.t1.2	FAP55
Cre03.g162050.t1.1	HDA4
Cre03.g162100.t1.2	PIMT2
Cre03.g162250.t1.2	CGL35
Cre03.g162601.t1.1	PGP3
Cre03.g162800.t1.2	LCI1
Cre03.g162850.t1.1	FAP292
Cre03.g163000.t1.2	POC5
Cre03.g163300.t1.2	CDT1
Cre03.g163350.t1.2	PAN5
Cre03.g163500.t1.2	CGLD21
Cre03.g163900.t1.1	PWR3
Cre03.g163950.t1.1	CDO2
Cre03.g164000.t1.2	ANR1
Cre03.g164050.t1.1	KIN15-1
Cre03.g164050.t2.1	KIN15-1
Cre03.g164101.t1.1	LSM7
Cre03.g164250.t1.1	FAP262
Cre03.g164600.t1.2	PMA3
Cre03.g164650.t1.2	MOT1
Cre03.g164950.t1.1	SRS3
Cre03.g165000.t1.2	LPA1
Cre03.g165050.t1.2	PMA4
Cre03.g165100.t1.2	PSAI
Cre03.g165200.t1.1	ATG7
Cre03.g165400.t1.2	COX16
Cre03.g165700.t1.1	PDC3
Cre03.g165900.t1.1	PGM17
Cre03.g166050.t1.2	SBD1
Cre03.g166650.t1.1	CGLD3
Cre03.g166700.t1.1	FOR1
Cre03.g166750.t1.2	PTK3
Cre03.g166900.t1.1	CYP767A1
Cre03.g166900.t2.1	CYP767A1
Cre03.g166950.t1.2	PGM5
Cre03.g167000.t1.2	UBC3
Cre03.g167050.t1.1	PDX3
Cre03.g167150.t1.2	FMO1
Cre03.g167550.t1.1	CEP290
Cre03.g167600.t1.2	FAP61
Cre03.g167778.t1.1	FAP382
Cre03.g168200.t1.2	FAP69
Cre03.g168450.t1.2	CCT8
Cre03.g168550.t1.1	AOT3
Cre03.g168800.t1.1	KIN4-1
Cre03.g168900.t1.2	FMO12
Cre03.g169400.t1.2	UXS1
Cre03.g169550.t1.1	AOX2
Cre03.g169601.t1.1	CSB18
Cre03.g169750.t1.2	FAP371
Cre03.g169850.t1.2	TSC1
Cre03.g170300.t1.2	SUB5
Cre03.g170300.t2.1	SUB5
Cre03.g170350.t1.2	SEC12
Cre03.g170600.t1.1	POC4
Cre03.g170750.t1.2	RNP3
Cre03.g170850.t1.1	MMP19
Cre03.g171050.t1.1	GHL1
Cre03.g171300.t1.2	GYX1
Cre03.g171350.t1.2	SEC61A
Cre03.g171550.t1.1	SSA13
Cre03.g171650.t1.2	HEL16
Cre03.g171800.t1.2	FAP123
Cre03.g171900.t1.1	FAP56
Cre03.g171950.t1.1	PEPC2
Cre03.g172000.t1.2	KAR1
Cre03.g172050.t1.1	TFB4
Cre03.g172100.t1.2	PDF1A
Cre03.g172300.t1.2	MPC5
Cre03.g172500.t1.1	PTOX2
Cre03.g172550.t1.2	PRMT1
Cre03.g172650.t1.2	BLD2
Cre03.g172850.t1.2	OASTL3
Cre03.g172950.t1.2	PUS21
Cre03.g173132.t1.1	CSB19
Cre03.g173200.t1.2	ERV2
Cre03.g173350.t1.2	ANK22b	ANK22
Cre03.g173350.t2.1	ANK22	ANK22b
Cre03.g173700.t1.1	KIL14
Cre03.g173800.t1.2	PDX2
Cre03.g173800.t2.1	PDX2
Cre03.g174000.t1.1	EFG11
Cre03.g174050.t1.2	MRP4
Cre03.g174250.t1.2	FAP111
Cre03.g174350.t1.2	PWR2
Cre03.g174400.t1.2	CDO1
Cre03.g174450.t1.1	PWR1
Cre03.g174476.t1.2	CYCC1
Cre03.g174500.t1.1	HDZ1
Cre03.g174650.t1.2	CSB20
Cre03.g174750.t1.2	CYN26	CYN26-2
Cre03.g174850.t1.2	CGL111
Cre03.g174950.t1.1	TGL7
Cre03.g175000.t1.2	RPH3
Cre03.g175200.t1.2	TOC75
Cre03.g175250.t1.2	SQS1
Cre03.g175250.t2.1	SQS1
Cre03.g175351.t1.1	LMR2
Cre03.g175400.t1.2	PGI1
Cre03.g175400.t2.1	PGI1
Cre03.g175800.t1.1	RRM16
Cre03.g176250.t1.2	ATPVD1
Cre03.g176350.t1.2	PLAP5
Cre03.g176350.t2.1	PLAP5
Cre03.g176550.t1.1	PRMT5
Cre03.g176600.t1.2	FAP374
Cre03.g176651.t1.1	MYSM1
Cre03.g176700.t1.1	CPL4
Cre03.g176800.t1.1	FPG1
Cre03.g176833.t1.1	NAP1
Cre03.g177200.t1.2	CRB3
Cre03.g177700.t1.1	NIT2
Cre03.g177900.t1.2	TOB38
Cre03.g178050.t1.1	MOT51
Cre03.g178150.t1.1	CAM1
Cre03.g178200.t1.1	CCT10
Cre03.g178250.t1.2	NUOS6
Cre03.g178350.t1.1	FAP272
Cre03.g178450.t1.2	CPN10
Cre03.g178500.t1.2	RIB43
Cre03.g178600.t1.1	TOP1
Cre03.g178650.t1.1	MCM6
Cre03.g178900.t1.1	PRD1
Cre03.g178950.t1.2	HEL17
Cre03.g179100.t1.2	UFD1b
Cre03.g179350.t1.2	MFT16
Cre03.g179400.t1.2	MFT17
Cre03.g179450.t1.1	SRR7
Cre03.g179500.t1.2	PFH13
Cre03.g179550.t1.1	TF2H2
Cre03.g179800.t1.2	LCI24
Cre03.g180100.t1.2	UNG2
Cre03.g180250.t1.2	INO1
Cre03.g180300.t1.2	SIR3
Cre03.g180350.t1.2	CKS1
Cre03.g180450.t1.2	FAP215
Cre03.g180550.t1.2	FPN2
Cre03.g180600.t1.1	FPN3
Cre03.g180650.t1.1	DEG7
Cre03.g180750.t1.2	METE
Cre03.g180800.t1.1	HDA16
Cre03.g180850.t1.2	SEC23A
Cre03.g181150.t1.1	DLL1
Cre03.g181250.t1.1	CGLD13
Cre03.g181300.t1.2	SHKG1
Cre03.g181350.t1.1	MRPL17
Cre03.g181400.t1.1	ADC1
Cre03.g181500.t1.2	STA11	DPE1
Cre03.g182100.t1.1	ITPK1
Cre03.g182150.t1.2	TEF8
Cre03.g182300.t1.1	PGM7
Cre03.g182500.t1.2	SRP72
Cre03.g182550.t1.1	PNO3
Cre03.g182551.t1.2	PCY1
Cre03.g182600.t1.1	CPL1
Cre03.g182650.t1.2	PGA1
Cre03.g182800.t1.1	AGT2
Cre03.g183050.t1.2	MGT1
Cre03.g183100.t1.2	TIM22B
Cre03.g183200.t1.2	CPC1
Cre03.g183650.t1.1	GDP4
Cre03.g183700.t1.1	GSL3
Cre03.g183750.t1.1	OPR16
Cre03.g183850.t1.2	FDX6
Cre03.g184250.t1.2	CAM9
Cre03.g184550.t1.2	CPLD28
Cre03.g184600.t1.1	RWP7
Cre03.g184651.t1.1	RAD51D
Cre03.g184950.t1.1	MAW3
Cre03.g185000.t1.1	CALS2
Cre03.g185050.t1.1	FAP53
Cre03.g185200.t1.2	CPL3
Cre03.g185250.t1.2	SSS2
Cre03.g185350.t1.1	CALS1
Cre03.g185400.t1.1	MAW2
Cre03.g185500.t1.1	FAP160	VIP1
Cre03.g185550.t1.2	SEBP1
Cre03.g185600.t1.1	OGD3
Cre03.g185650.t1.2	FAP251
Cre03.g185850.t1.1	CPK2
Cre03.g186200.t1.2	PCT1
Cre03.g186300.t1.2	DII2
Cre03.g186400.t1.1	SCR1
Cre03.g186400.t2.1	SCR1
Cre03.g186450.t1.1	LNM1
Cre03.g186500.t1.1	HAT2
Cre03.g187050.t1.2	PHT3
Cre03.g187200.t1.2	DLL2
Cre03.g187350.t1.1	UNI3
Cre03.g187450.t1.2	RPI1
Cre03.g187700.t1.1	HEL19
Cre03.g188200.t1.2	RPH2
Cre03.g188250.t1.2	STA6
Cre03.g188300.t1.1	RBO1
Cre03.g188400.t1.1	RBO2
Cre03.g188450.t1.2	PTX2
Cre03.g188500.t1.2	VPS46
Cre03.g188550.t1.1	HEL20
Cre03.g188600.t1.2	RBL11
Cre03.g188650.t1.2	PLAP2
Cre03.g188700.t1.2	PLAP6
Cre03.g188750.t1.1	HEL21
Cre03.g189000.t1.1	RAD54A
Cre03.g189050.t1.1	EAM1
Cre03.g189250.t1.2	RAB11
Cre03.g189300.t1.1	PLAP10
Cre03.g189400.t1.2	TSS2
Cre03.g189550.t1.1	ZIP3
Cre03.g189800.t1.2	CYN38
Cre03.g189950.t1.2	HOP
Cre03.g190100.t1.1	EIF3B
Cre03.g190150.t1.1	CGL1
Cre03.g190250.t1.2	SUB6
Cre03.g190500.t1.2	GLC2A
Cre03.g190800.t1.1	TMPK
Cre03.g190850.t1.2	ECH1
Cre03.g190950.t1.2	TUA1
Cre03.g191050.t1.2	RAN1
Cre03.g191200.t1.2	RME3
Cre03.g191250.t1.2	LCI34
Cre03.g191300.t1.2	LCI35
Cre03.g191950.t1.2	CGLD31
Cre03.g192000.t1.2	SEC13L
Cre03.g192050.t1.1	FTR1
Cre03.g192201.t1.1	PHC51
Cre03.g192250.t1.1	PHC69
Cre03.g192450.t1.1	CYA3
Cre03.g192550.t1.1	RAD50
Cre03.g192600.t1.1	THK1
Cre03.g192900.t1.1	OPR17
Cre03.g193000.t1.1	HAD5
Cre03.g193300.t1.2	CPLD56
Cre03.g193350.t1.1	DSP7
Cre03.g193500.t1.2	CGLD15
Cre03.g193550.t1.1	MRPL46
Cre03.g193750.t1.1	GCST
Cre03.g193800.t1.1	TSN1
Cre03.g193850.t1.2	SCLA1
Cre03.g194100.t1.2	MAPKKK3
Cre03.g194200.t1.2	PDH2
Cre03.g194400.t1.2	EIF3I
Cre03.g194450.t1.1	CGL24
Cre03.g194650.t1.1	FAP121
Cre03.g194700.t1.1	AGL1
Cre03.g194850.t1.2	MDN1	MDY1
Cre03.g194900.t1.1	CYA4
Cre03.g194950.t1.1	RPOD
Cre03.g195200.t1.2	CGL76
Cre03.g195350.t1.1	PIMT1
Cre03.g195450.t1.1	POC11
Cre03.g195500.t1.2	TGL9
Cre03.g195500.t2.1	TGL9
Cre03.g195650.t1.2	PRPS10
Cre03.g196250.t1.1	CEP3
Cre03.g196600.t1.1	RAD17
Cre03.g196651.t1.1	RAD10
Cre03.g197050.t1.2	HTV2
Cre03.g197400.t1.2	SLP1
Cre03.g197500.t1.2	MOT6
Cre03.g197500.t2.1	MOT6
Cre03.g197700.t1.2	HLM8
Cre03.g197750.t1.2	GPX3
Cre03.g198100.t1.2	BET1
Cre03.g198150.t1.1	ALB3.3
Cre03.g198200.t1.1	GSL4
Cre03.g198850.t1.2	TL19
Cre03.g198950.t1.2	CGL30
Cre03.g199000.t1.2	PHOT1
Cre03.g199250.t1.1	CYG51
Cre03.g199250.t2.1	CYG51
Cre03.g199311.t1.1	VPS16
Cre03.g199400.t1.1	ORC2
Cre03.g199423.t1.1	PYR4
Cre03.g199450.t1.2	MINE2
Cre03.g199500.t1.2	FAP129
Cre03.g199700.t1.1	PGM11
Cre03.g199800.t1.1	HYDA1
Cre03.g199900.t1.2	EIF4E
Cre03.g200050.t1.2	CAL1
Cre03.g200250.t1.2	ICL3
Cre03.g200543.t1.1	MCP15
Cre03.g200550.t1.2	HYD3
Cre03.g200600.t1.1	KIN14A-1
Cre03.g200600.t2.1	KIN14A-1
Cre03.g200650.t1.1	CHI2
Cre03.g200655.t1.1	DEG4
Cre03.g200655.t2.1	DEG4
Cre03.g200700.t1.2	FAP166
Cre03.g200767.t1.1	CSR9
Cre03.g200800.t1.1	CYG61
Cre03.g200879.t1.1	CSR10
Cre03.g200879.t2.1	CSR10
Cre03.g200950.t1.2	FAP273
Cre03.g201050.t1.2	ZNJ2
Cre03.g201100.t1.2	FHL1
Cre03.g201103.t1.1	RAA7
Cre03.g201200.t1.1	FAP283
Cre03.g201300.t1.1	SSA10
Cre03.g201400.t1.2	PPP16
Cre03.g201550.t1.2	MMP20
Cre03.g201552.t1.1	MMP8
Cre03.g201552.t2.1	MMP8
Cre03.g201664.t1.1	GIT2
Cre03.g201900.t1.1	RSP1
Cre03.g202000.t1.2	KIN4-2
Cre03.g202100.t1.1	OPR18
Cre03.g202150.t1.1	DMC2
Cre03.g202337.t1.1	MOT28
Cre03.g202400.t1.2	MCP10
Cre03.g202550.t1.1	ELG11
Cre03.g202673.t1.1	CSC2
Cre03.g202950.t1.1	TRX14
Cre03.g203450.t1.2	RPS21
Cre03.g203451.t1.1	CYA5
Cre03.g203600.t1.2	GDP6
Cre03.g203700.t1.1	DEGO
Cre03.g203730.t1.2	DEGO1
Cre03.g203750.t1.2	COG3
Cre03.g203850.t1.2	ATS1
Cre03.g204050.t1.1	ELG6
Cre03.g204100.t1.1	ELG5
Cre03.g204150.t1.2	IFT80
Cre03.g204250.t1.2	SAH1
Cre03.g204350.t1.2	CLPR4
Cre03.g204500.t1.1	CSE17
Cre03.g204577.t1.1	DNJ31
Cre03.g204601.t1.1	CPK3	FAP278
Cre03.g204650.t1.2	NUOB4
Cre03.g204689.t1.1	PDE21
Cre03.g204800.t1.2	RTA2
Cre03.g205000.t1.1	IDA3
Cre03.g205050.t1.2	DGTT4
Cre03.g205200.t1.2	CSB21
Cre03.g205250.t1.1	ELG4
Cre03.g205300.t1.1	EXN7
Cre03.g205350.t1.1	EXN8
Cre03.g205697.t1.1	FAP350
Cre03.g205850.t1.2	MFT6
Cre03.g205900.t1.2	DCA1
Cre03.g206350.t1.1	OPR19
Cre03.g206550.t1.2	CPLD2
Cre03.g206600.t1.2	AAD1
Cre03.g206800.t1.1	HXT1
Cre03.g206929.t1.1	EGY1
Cre03.g207050.t1.2	RPL29
Cre03.g207250.t1.2	GLN4
Cre03.g207550.t1.2	ADH8
Cre03.g207600.t1.2	NSG6
Cre03.g207600.t2.1	NSG6
Cre03.g207700.t1.1	FPS1
Cre03.g207713.t1.1	ISA3
Cre03.g207800.t1.2	ADH5
Cre03.g207900.t1.1	CYCA1
Cre03.g208050.t1.2	HAD1
Cre03.g208100.t1.1	RNB1
Cre03.g208721.t1.1	CGL92
Cre03.g211521.t1.1	FAP165
Cre03.g212305.t1.1	FAP181
Cre03.g213201.t1.1	CCS2
Cre03.g213425.t1.1	COX23
Cre04.g211600.t1.1	SNF1
Cre04.g211800.t1.2	RPL23
Cre04.g211850.t1.2	ELIP5
Cre04.g211900.t1.1	ELG37
Cre04.g211950.t1.1	ELG32
Cre04.g212400.t1.1	UBC15
Cre04.g212500.t1.2	CGL42
Cre04.g212550.t1.1	TTL7
Cre04.g213100.t1.1	CGLD7
Cre04.g213400.t1.2	SUB7
Cre04.g213450.t1.2	VPS2A
Cre04.g213950.t1.1	SRR23
Cre04.g214050.t1.2	SULTR4
Cre04.g214100.t1.2	SIRB
Cre04.g214150.t1.1	THI4
Cre04.g214250.t1.1	AGO2
Cre04.g214250.t2.1	AGO2
Cre04.g214350.t1.1	POLA1
Cre04.g214500.t1.1	IDH3
Cre04.g214501.t1.1	PNP1
Cre04.g214502.t1.1	UGE
Cre04.g214650.t1.1	GSL1
Cre04.g214750.t1.1	VMP7
Cre04.g214800.t1.2	VMP6
Cre04.g215000.t1.2	BKT1
Cre04.g215050.t1.2	CHYB
Cre04.g215150.t1.2	SSS1
Cre04.g215150.t2.1	SSS1
Cre04.g215250.t1.1	FAP26
Cre04.g215400.t1.2	AKC3
Cre04.g215850.t1.2	IPA1
Cre04.g215950.t1.1	CYN57
Cre04.g216203.t1.1	FAP339
Cre04.g216250.t1.2	FAP276
Cre04.g216350.t1.2	CPLD3
Cre04.g216600.t1.2	RPT6
Cre04.g216700.t1.2	PHO5
Cre04.g216850.t1.2	TUA2
Cre04.g216902.t1.1	DAW1
Cre04.g216902.t2.1	DAW1
Cre04.g217350.t1.2	KUP4
Cre04.g217500.t1.2	URN3
Cre04.g217550.t1.1	EIF3C
Cre04.g217907.t1.1	FAP79
Cre04.g217908.t1.1	FAP79
Cre04.g217913.t1.1	MCP19
Cre04.g217914.t1.1	FAP57
Cre04.g217914.t2.1	FAP57
Cre04.g217915.t1.1	NAR1.3
Cre04.g217921.t1.1	COPB1
Cre04.g217931.t1.1	PFH14
Cre04.g217932.t1.1	PRPL35
Cre04.g217939.t1.1	FAD5C
Cre04.g217949.t1.1	AXL6
Cre04.g217951.t1.1	LCI33
